"dataset","valAccuracy","bottleneck","nhidden","nblocks","blockForm","testAccuracy","learningrate"
"cylinder-bands",0.815254229307175,0.5,512,3,"diavolo",0.7734375,0.1
"cylinder-bands",0.806779646873474,0.5,1024,3,"rect",0.78125,0.1
"cylinder-bands",0.767796629667282,0.25,1024,2,"diavolo",0.8125,0.1
"cylinder-bands",0.767796605825424,0.25,512,2,"diavolo",0.734375,0.1
"cylinder-bands",0.747457635402679,0.25,256,3,"rect",0.796875,0.1
"cylinder-bands",0.744067794084549,0.25,1024,4,"rect",0.7890625,0.1
"cylinder-bands",0.744067788124084,0.25,256,4,"rect",0.71875,0.1
"cylinder-bands",0.738983035087585,0.5,256,2,"rect",0.7890625,0.1
"cylinder-bands",0.737288159132004,0.5,512,3,"rect",0.78125,0.1
"cylinder-bands",0.737288117408752,0.5,512,8,"diavolo",0.75,0.1
"cylinder-bands",0.733898323774338,0.5,256,4,"diavolo",0.734375,0.1
"cylinder-bands",0.733898282051086,0.25,1024,4,"diavolo",0.7578125,0.1
"cylinder-bands",0.733898282051086,0.5,512,3,"rect",0.6875,0.01
"cylinder-bands",0.73050844669342,0.25,512,2,"rect",0.75,0.01
"cylinder-bands",0.728813529014587,0.5,256,8,"diavolo",0.6953125,0.01
"cylinder-bands",0.720338970422745,0.5,512,16,"rect",0.6875,0.01
"cylinder-bands",0.720338970422745,0.25,1024,3,"rect",0.734375,0.01
"cylinder-bands",0.716949105262756,0.5,256,3,"diavolo",0.71875,0.1
"cylinder-bands",0.715254235267639,0.5,256,3,"diavolo",0.6953125,0.01
"cylinder-bands",0.715254199504852,0.5,1024,2,"rect",0.703125,0.01
"cylinder-bands",0.713559323549271,0.25,1024,2,"rect",0.609375,0.01
"cylinder-bands",0.711864411830902,0.25,512,4,"rect",0.796875,0.01
"cylinder-bands",0.711864405870438,0.25,512,16,"diavolo",0.75,0.01
"cylinder-bands",0.711864405870438,0.25,512,2,"rect",0.703125,0.1
"cylinder-bands",0.706779670715332,0.25,256,8,"diavolo",0.734375,0.1
"cylinder-bands",0.706779664754868,0.25,256,4,"rect",0.7421875,0.01
"cylinder-bands",0.706779634952545,0.5,1024,2,"rect",0.7734375,0.1
"cylinder-bands",0.703389793634415,0.25,512,8,"diavolo",0.7265625,0.01
"cylinder-bands",0.703389793634415,0.5,256,2,"diavolo",0.7421875,0.1
"cylinder-bands",0.700000005960465,0.25,1024,4,"diavolo",0.6171875,0.01
"cylinder-bands",0.696610146760941,0.25,512,4,"diavolo",0.7109375,0.1
"cylinder-bands",0.694915294647217,0.25,1024,2,"diavolo",0.625,0.01
"cylinder-bands",0.693220335245133,0.5,256,8,"rect",0.6875,0.01
"cylinder-bands",0.689830493927002,0.5,256,4,"rect",0.6796875,0.1
"cylinder-bands",0.688135600090027,0.25,1024,3,"rect",0.71875,0.1
"cylinder-bands",0.688135588169098,0.25,1024,16,"rect",0.765625,0.01
"cylinder-bands",0.686440706253052,0.5,1024,8,"diavolo",0.7109375,0.01
"cylinder-bands",0.684745764732361,0.5,256,3,"rect",0.640625,0.1
"cylinder-bands",0.683050853013992,0.5,1024,4,"diavolo",0.6328125,0.01
"cylinder-bands",0.679661023616791,0.25,512,4,"diavolo",0.6015625,0.01
"cylinder-bands",0.679661011695862,0.5,1024,4,"rect",0.71875,0.01
"cylinder-bands",0.677966117858887,0.25,256,4,"diavolo",0.7578125,0.1
"cylinder-bands",0.677966111898422,0.25,256,16,"diavolo",0.6796875,0.01
"cylinder-bands",0.677966099977493,0.5,512,16,"diavolo",0.625,0.01
"cylinder-bands",0.6779660820961,0.5,256,8,"rect",0.7109375,0.1
"cylinder-bands",0.676271200180054,0.25,512,8,"rect",0.671875,0.01
"cylinder-bands",0.676271200180054,0.25,512,3,"rect",0.7734375,0.1
"cylinder-bands",0.672881364822388,0.5,256,4,"rect",0.6796875,0.01
"cylinder-bands",0.669491529464722,0.5,1024,8,"rect",0.7265625,0.01
"cylinder-bands",0.667796617746353,0.25,1024,2,"rect",0.7109375,0.1
"cylinder-bands",0.667796611785889,0.5,1024,3,"rect",0.75,0.01
"cylinder-bands",0.666101711988449,0.25,1024,3,"diavolo",0.734375,0.1
"cylinder-bands",0.666101694107056,0.5,256,2,"diavolo",0.7109375,0.01
"cylinder-bands",0.659322029352188,0.5,256,8,"diavolo",0.75,0.1
"cylinder-bands",0.655932188034058,0.5,512,3,"diavolo",0.6953125,0.01
"cylinder-bands",0.654237270355225,0.25,256,2,"diavolo",0.65625,0.01
"cylinder-bands",0.650847470760346,0.5,1024,2,"diavolo",0.6953125,0.1
"cylinder-bands",0.64915252327919,0.5,512,8,"rect",0.65625,0.01
"cylinder-bands",0.649152517318726,0.25,256,3,"rect",0.71875,0.01
"cylinder-bands",0.644067823886871,0.25,512,3,"diavolo",0.6875,0.01
"cylinder-bands",0.644067823886871,0.25,256,2,"rect",0.71875,0.01
"cylinder-bands",0.64406778216362,0.5,512,2,"rect",0.7421875,0.1
"cylinder-bands",0.640677958726883,0.5,512,4,"rect",0.6171875,0.01
"cylinder-bands",0.637288123369217,0.25,256,2,"diavolo",0.7265625,0.1
"cylinder-bands",0.637288117408753,0.5,512,2,"rect",0.6875,0.01
"cylinder-bands",0.635593205690384,0.5,512,2,"diavolo",0.609375,0.01
"cylinder-bands",0.627118641138077,0.5,256,2,"rect",0.71875,0.01
"cylinder-bands",0.625423729419708,0.5,256,16,"rect",0.703125,0.01
"cylinder-bands",0.625423717498779,0.5,1024,4,"diavolo",0.7734375,0.1
"cylinder-bands",0.622033911943436,0.5,1024,16,"rect",0.7421875,0.01
"cylinder-bands",0.620338988304138,0.5,512,4,"diavolo",0.7578125,0.01
"cylinder-bands",0.61864407658577,0.25,256,8,"diavolo",0.6328125,0.01
"cylinder-bands",0.615254253149032,0.25,256,3,"diavolo",0.7421875,0.1
"cylinder-bands",0.613559347391128,0.5,1024,3,"diavolo",0.53125,0.01
"cylinder-bands",0.611864393949509,0.5,1024,4,"rect",0.671875,0.1
"cylinder-bands",0.610169529914856,0.25,256,4,"diavolo",0.7109375,0.01
"cylinder-bands",0.601694917678833,0.25,512,3,"rect",0.7109375,0.01
"cylinder-bands",0.600000005960464,0.5,256,3,"rect",0.6796875,0.01
"cylinder-bands",0.59830510020256,0.25,1024,3,"diavolo",0.5859375,0.01
"cylinder-bands",0.591525435447693,0.5,256,4,"diavolo",0.703125,0.01
