"dataset","bottleneck","testAccuracy","nblocks","learningrate","nhidden","blockForm","valAccuracy"
"haberman-survival",0.25,0.684210538864136,2,0.01,512,"diavolo",0.796875
"haberman-survival",0.25,0.723684191703796,8,0.01,512,"diavolo",0.79375
"haberman-survival",0.25,0.763157844543457,3,0.01,512,"diavolo",0.790625
"haberman-survival",0.5,0.736842095851898,3,0.01,1024,"rect",0.784375
"haberman-survival",0.25,0.749999940395355,8,0.01,256,"diavolo",0.775
"haberman-survival",0.5,0.75,4,0.01,256,"rect",0.759375
"haberman-survival",0.25,0.710526287555695,2,0.01,1024,"diavolo",0.75625
"haberman-survival",0.5,0.736842036247253,2,0.1,512,"diavolo",0.75625
"haberman-survival",0.25,0.736842095851898,2,0.1,1024,"diavolo",0.75625
"haberman-survival",0.5,0.75,2,0.1,1024,"diavolo",0.753125
"haberman-survival",0.25,0.723684191703796,2,0.01,512,"rect",0.75
"haberman-survival",0.5,0.710526347160339,16,0.01,1024,"rect",0.746875
"haberman-survival",0.5,0.763157904148102,3,0.1,256,"diavolo",0.746875
"haberman-survival",0.25,0.697368383407593,2,0.1,256,"diavolo",0.746875
"haberman-survival",0.5,0.723684191703796,16,0.01,256,"rect",0.740625
"haberman-survival",0.25,0.671052575111389,4,0.1,256,"rect",0.740625
"haberman-survival",0.25,0.763157844543457,3,0.1,1024,"diavolo",0.740625
"haberman-survival",0.25,0.736842095851898,3,0.1,512,"rect",0.740625
"haberman-survival",0.25,0.736842095851898,2,0.1,1024,"rect",0.740625
"haberman-survival",0.25,0.776315748691559,8,0.1,256,"diavolo",0.7375
"haberman-survival",0.5,0.763157844543457,3,0.01,1024,"diavolo",0.7375
"haberman-survival",0.5,0.723684191703796,3,0.1,512,"rect",0.7375
"haberman-survival",0.25,0.710526347160339,4,0.1,1024,"diavolo",0.734375
"haberman-survival",0.5,0.697368443012238,2,0.01,256,"diavolo",0.734375
"haberman-survival",0.25,0.723684251308441,4,0.01,1024,"rect",0.734375
"haberman-survival",0.25,0.723684251308441,16,0.1,256,"diavolo",0.73125
"haberman-survival",0.25,0.75,4,0.01,256,"diavolo",0.73125
"haberman-survival",0.5,0.684210538864136,4,0.01,256,"diavolo",0.73125
"haberman-survival",0.25,0.736842095851898,4,0.1,512,"rect",0.73125
"haberman-survival",0.5,0.710526287555695,2,0.1,512,"rect",0.728125
"haberman-survival",0.25,0.723684191703796,8,0.01,1024,"diavolo",0.728125
"haberman-survival",0.5,0.710526287555695,4,0.01,1024,"diavolo",0.728125
"haberman-survival",0.25,0.710526287555695,3,0.1,256,"rect",0.728125
"haberman-survival",0.25,0.736842036247253,2,0.1,512,"diavolo",0.728125
"haberman-survival",0.5,0.671052634716034,3,0.1,512,"diavolo",0.725
"haberman-survival",0.25,0.710526287555695,8,0.1,1024,"diavolo",0.725
"haberman-survival",0.5,0.736842095851898,8,0.1,256,"rect",0.725
"haberman-survival",0.5,0.684210538864136,8,0.1,256,"diavolo",0.725
"haberman-survival",0.25,0.684210538864136,4,0.01,512,"diavolo",0.725
"haberman-survival",0.5,0.723684191703796,4,0.1,512,"rect",0.725
"haberman-survival",0.5,0.723684191703796,2,0.1,1024,"rect",0.725
"haberman-survival",0.25,0.684210538864136,3,0.01,1024,"rect",0.725
"haberman-survival",0.5,0.736842095851898,16,0.1,1024,"diavolo",0.721875
"haberman-survival",0.5,0.697368443012238,8,0.01,1024,"rect",0.721875
"haberman-survival",0.5,0.723684191703796,4,0.1,512,"diavolo",0.721875
"haberman-survival",0.25,0.736842095851898,2,0.01,1024,"rect",0.721875
"haberman-survival",0.25,0.75,2,0.01,256,"rect",0.721875
"haberman-survival",0.25,0.592105269432068,4,0.01,512,"rect",0.721875
"haberman-survival",0.25,0.736842095851898,8,0.1,256,"rect",0.71875
"haberman-survival",0.5,0.776315748691559,4,0.1,1024,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,16,0.1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,16,0.1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,16,0.1,512,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,16,0.1,512,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,16,1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,16,1,1024,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,16,1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,16,1,1024,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,16,1,512,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,16,1,512,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,16,1,512,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,16,1,512,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,16,1,256,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,16,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,16,1,256,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,16,1,256,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,8,0.1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,8,0.1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,8,1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,8,1,1024,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,8,1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,8,1,1024,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,8,1,512,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,8,1,512,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,8,1,512,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,8,1,512,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,8,1,256,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,8,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,8,1,256,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,8,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,4,0.01,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,4,0.1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,1024,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,1024,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,1024,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,512,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,512,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,512,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,512,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,256,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,4,1,256,"diavolo",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,256,"rect",0.71875
"haberman-survival",0.5,0.736842095851898,4,1,256,"diavolo",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,1024,"rect",0.71875
"haberman-survival",0.25,0.736842095851898,3,1,1024,"diavolo",0.71875
