"dataset","nblocks","blockForm","learningrate","valAccuracy","nhidden","testAccuracy","bottleneck"
"heart-cleveland",8,"rect",0.01,0.663636326789856,1024,0.565789461135864,0.5
"heart-cleveland",4,"diavolo",0.01,0.66136360168457,1024,0.592105209827423,0.5
"heart-cleveland",4,"diavolo",0.01,0.659090936183929,1024,0.64473682641983,0.25
"heart-cleveland",2,"diavolo",0.01,0.659090936183929,512,0.631578922271729,0.25
"heart-cleveland",4,"diavolo",0.01,0.659090876579285,512,0.460526317358017,0.25
"heart-cleveland",3,"rect",0.1,0.645454579591751,256,0.592105269432068,0.5
"heart-cleveland",3,"diavolo",0.1,0.643181800842285,256,0.539473712444305,0.25
"heart-cleveland",8,"diavolo",0.01,0.640909081697464,1024,0.631578981876373,0.25
"heart-cleveland",3,"diavolo",0.01,0.636363631486893,256,0.657894730567932,0.25
"heart-cleveland",4,"rect",0.01,0.634090900421143,1024,0.578947365283966,0.5
"heart-cleveland",2,"rect",0.01,0.631818175315857,256,0.592105269432068,0.5
"heart-cleveland",3,"diavolo",0.01,0.627272725105286,1024,0.565789461135864,0.5
"heart-cleveland",8,"diavolo",0.1,0.625,512,0.605263113975525,0.25
"heart-cleveland",16,"diavolo",0.01,0.622727274894714,1024,0.592105209827423,0.5
"heart-cleveland",2,"diavolo",0.01,0.620454549789429,1024,0.605263113975525,0.25
"heart-cleveland",16,"rect",0.01,0.613636374473572,1024,0.605263113975525,0.5
"heart-cleveland",4,"diavolo",0.01,0.613636374473572,512,0.526315808296204,0.5
"heart-cleveland",2,"rect",0.01,0.613636374473572,1024,0.565789461135864,0.25
"heart-cleveland",2,"diavolo",0.01,0.613636374473572,1024,0.565789461135864,0.5
"heart-cleveland",16,"diavolo",0.01,0.613636368513107,1024,0.526315748691559,0.25
"heart-cleveland",2,"diavolo",0.1,0.611363649368286,512,0.64473682641983,0.25
"heart-cleveland",4,"diavolo",0.1,0.609090918302536,512,0.605263113975525,0.5
"heart-cleveland",3,"rect",0.1,0.606818199157715,512,0.618421077728271,0.25
"heart-cleveland",2,"rect",0.1,0.606818199157715,256,0.60526317358017,0.25
"heart-cleveland",16,"diavolo",0.01,0.60681819319725,256,0.513157904148102,0.5
"heart-cleveland",4,"diavolo",0.1,0.604545474052429,512,0.644736766815186,0.25
"heart-cleveland",4,"diavolo",0.1,0.602272748947144,256,0.526315808296204,0.5
"heart-cleveland",3,"rect",0.01,0.602272748947144,1024,0.618421077728271,0.25
"heart-cleveland",16,"diavolo",0.1,0.602272742986679,512,0.631578922271729,0.25
"heart-cleveland",2,"rect",0.01,0.602272742986679,512,0.552631616592407,0.25
"heart-cleveland",16,"rect",0.01,0.602272737026215,256,0.513157904148102,0.25
"heart-cleveland",3,"rect",0.01,0.600000023841858,256,0.605263113975525,0.5
"heart-cleveland",3,"diavolo",0.1,0.600000023841858,256,0.592105269432068,0.5
"heart-cleveland",2,"diavolo",0.1,0.597727298736572,1024,0.618421018123627,0.25
"heart-cleveland",2,"rect",0.1,0.593181848526001,1024,0.565789461135864,0.5
"heart-cleveland",2,"diavolo",0.1,0.593181842565537,1024,0.60526317358017,0.5
"heart-cleveland",8,"rect",0.01,0.590909123420715,1024,0.552631556987762,0.25
"heart-cleveland",4,"rect",0.1,0.590909123420715,512,0.60526317358017,0.5
"heart-cleveland",3,"diavolo",0.1,0.590909123420715,1024,0.578947365283966,0.5
"heart-cleveland",2,"rect",0.01,0.590909123420715,1024,0.592105269432068,0.5
"heart-cleveland",4,"diavolo",0.1,0.590909111499786,1024,0.605263113975525,0.25
"heart-cleveland",8,"rect",0.01,0.590909105539322,256,0.513157904148102,0.5
"heart-cleveland",2,"diavolo",0.01,0.588636392354965,256,0.565789461135864,0.5
"heart-cleveland",16,"rect",0.01,0.588636380434036,256,0.539473712444305,0.5
"heart-cleveland",4,"rect",0.1,0.586363655328751,512,0.605263113975525,0.25
"heart-cleveland",2,"rect",0.1,0.586363649368286,512,0.631578922271729,0.5
"heart-cleveland",2,"diavolo",0.1,0.584090930223465,512,0.605263113975525,0.5
"heart-cleveland",2,"rect",0.01,0.579545497894287,512,0.592105269432068,0.5
"heart-cleveland",16,"diavolo",0.01,0.579545474052429,512,0.565789461135864,0.25
"heart-cleveland",2,"diavolo",0.1,0.579545468091965,256,0.592105209827423,0.25
"heart-cleveland",8,"diavolo",0.01,0.577272742986679,256,0.618421077728271,0.5
"heart-cleveland",2,"diavolo",0.1,0.577272737026215,256,0.473684221506119,0.5
"heart-cleveland",4,"diavolo",0.01,0.575000011920929,256,0.513157904148102,0.5
"heart-cleveland",8,"diavolo",0.01,0.575000005960465,512,0.592105269432068,0.25
"heart-cleveland",8,"diavolo",0.1,0.575,256,0.552631556987762,0.5
"heart-cleveland",8,"rect",0.01,0.572727280855179,512,0.526315808296204,0.5
"heart-cleveland",2,"diavolo",0.01,0.572727274894714,512,0.618421018123627,0.5
"heart-cleveland",2,"rect",0.1,0.570454561710358,1024,0.578947365283966,0.25
"heart-cleveland",3,"rect",0.1,0.570454549789429,256,0.60526317358017,0.25
"heart-cleveland",3,"diavolo",0.01,0.568181824684143,512,0.552631556987762,0.5
"heart-cleveland",8,"rect",0.1,0.568181818723679,256,0.60526317358017,0.5
"heart-cleveland",16,"rect",0.01,0.568181812763214,512,0.592105209827423,0.25
"heart-cleveland",8,"rect",0.01,0.568181812763214,512,0.565789461135864,0.25
"heart-cleveland",3,"rect",0.01,0.568181812763214,512,0.539473652839661,0.5
"heart-cleveland",3,"diavolo",0.01,0.568181812763214,512,0.486842095851898,0.25
"heart-cleveland",3,"rect",0.01,0.568181812763214,256,0.592105209827423,0.25
"heart-cleveland",4,"diavolo",0.1,0.565909099578857,1024,0.578947365283966,0.5
"heart-cleveland",16,"diavolo",0.1,0.565909093618393,256,0.618421018123627,0.25
"heart-cleveland",2,"rect",0.01,0.563636362552643,256,0.60526317358017,0.25
"heart-cleveland",3,"diavolo",0.1,0.561363643407822,512,0.60526317358017,0.25
"heart-cleveland",8,"diavolo",0.1,0.559090918302536,256,0.578947365283966,0.25
"heart-cleveland",2,"rect",0.1,0.559090918302536,512,0.631578981876373,0.25
"heart-cleveland",3,"diavolo",0.1,0.556818187236786,512,0.578947365283966,0.5
"heart-cleveland",3,"rect",0.01,0.554545468091965,1024,0.592105269432068,0.5
"heart-cleveland",8,"diavolo",0.1,0.550000017881394,1024,0.592105269432068,0.25
"heart-cleveland",8,"diavolo",0.01,0.550000011920929,1024,0.578947365283966,0.5
"heart-cleveland",16,"diavolo",0.1,0.547727286815643,1024,0.565789461135864,0.5
"heart-cleveland",4,"rect",0.01,0.547727286815643,1024,0.592105269432068,0.25
"heart-cleveland",4,"diavolo",1,0.547727286815643,512,0.565789461135864,0.25
"heart-cleveland",3,"diavolo",0.1,0.547727286815643,1024,0.565789461135864,0.25
"heart-cleveland",4,"diavolo",0.1,0.547727286815643,256,0.592105269432068,0.25
"heart-cleveland",16,"rect",0.01,0.545454567670822,1024,0.473684191703796,0.25
"heart-cleveland",3,"rect",0.1,0.545454567670822,512,0.565789461135864,0.5
"heart-cleveland",16,"rect",0.1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",16,"rect",0.1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",16,"rect",0.1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",16,"rect",0.1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",16,"diavolo",0.1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",16,"diavolo",0.1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",16,"rect",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",16,"rect",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",16,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",16,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",16,"rect",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",16,"rect",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",16,"diavolo",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",16,"diavolo",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",16,"rect",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",16,"rect",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",16,"diavolo",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",16,"diavolo",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",8,"rect",0.1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",8,"rect",0.1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",8,"diavolo",0.1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",8,"rect",0.1,0.545454561710358,256,0.552631556987762,0.25
"heart-cleveland",8,"rect",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",8,"rect",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",8,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",8,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",8,"rect",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",8,"rect",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",8,"diavolo",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",8,"diavolo",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",8,"rect",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",8,"rect",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",8,"diavolo",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",8,"diavolo",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",4,"rect",0.01,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",4,"rect",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",4,"rect",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",4,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",4,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",4,"rect",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",4,"rect",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",4,"diavolo",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",4,"rect",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",4,"rect",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",4,"diavolo",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",4,"diavolo",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",3,"rect",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",3,"rect",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",3,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",3,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",3,"rect",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",3,"rect",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",3,"diavolo",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",3,"diavolo",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",3,"rect",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",3,"rect",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",3,"diavolo",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",3,"diavolo",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",2,"rect",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",2,"rect",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",2,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.25
"heart-cleveland",2,"diavolo",1,0.545454561710358,1024,0.565789461135864,0.5
"heart-cleveland",2,"rect",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",2,"rect",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",2,"diavolo",1,0.545454561710358,512,0.565789461135864,0.25
"heart-cleveland",2,"diavolo",1,0.545454561710358,512,0.565789461135864,0.5
"heart-cleveland",2,"rect",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",2,"rect",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",2,"diavolo",1,0.545454561710358,256,0.565789461135864,0.25
"heart-cleveland",2,"diavolo",1,0.545454561710358,256,0.565789461135864,0.5
"heart-cleveland",4,"rect",0.1,0.543181836605072,256,0.592105269432068,0.25
"heart-cleveland",4,"rect",0.01,0.538636386394501,256,0.565789461135864,0.25
"heart-cleveland",4,"rect",0.01,0.531818211078644,512,0.526315808296204,0.5
"heart-cleveland",2,"rect",0.1,0.529545485973358,256,0.578947365283966,0.5
"heart-cleveland",3,"rect",0.01,0.524999988079071,512,0.552631556987762,0.25
"heart-cleveland",4,"rect",0.1,0.522727304697037,256,0.565789461135864,0.5
"heart-cleveland",8,"rect",0.01,0.518181848526001,256,0.486842095851898,0.25
"heart-cleveland",16,"diavolo",0.01,0.518181824684143,256,0.486842095851898,0.25
"heart-cleveland",4,"rect",0.01,0.509090900421143,512,0.473684221506119,0.25
"heart-cleveland",8,"diavolo",0.01,0.502272748947144,512,0.539473652839661,0.5
"heart-cleveland",8,"diavolo",0.01,0.500000005960464,256,0.539473712444305,0.25
"heart-cleveland",3,"diavolo",0.01,0.495454561710358,1024,0.394736856222153,0.25
"heart-cleveland",2,"diavolo",0.01,0.477272748947143,256,0.473684221506119,0.25
"heart-cleveland",4,"diavolo",0.01,0.477272719144821,256,0.539473712444305,0.25
"heart-cleveland",3,"diavolo",0.01,0.452272716164589,256,0.526315808296204,0.5
"heart-cleveland",16,"rect",0.1,0.434090923517942,256,0.565789461135864,0.5
"heart-cleveland",8,"rect",0.1,0.434090923517942,512,0.11842105537653,0.5
"heart-cleveland",16,"rect",0.1,0.429545468091965,256,0.565789461135864,0.25
"heart-cleveland",8,"rect",0.1,0.429545468091965,512,0.565789461135864,0.25
"heart-cleveland",16,"rect",0.01,0.415909096598625,512,0.513157904148102,0.5
"heart-cleveland",8,"diavolo",0.1,0.379545463621616,1024,0.171052649617195,0.5
"heart-cleveland",16,"diavolo",0.01,0.379545453190804,512,0.460526317358017,0.5
"heart-cleveland",4,"rect",0.1,0.370454557240009,1024,0.565789461135864,0.25
"heart-cleveland",3,"rect",0.1,0.352272740006447,1024,0.171052649617195,0.5
"heart-cleveland",4,"rect",0.1,0.350000012665987,1024,0.039473682641983,0.5
"heart-cleveland",3,"rect",0.1,0.302272737771273,1024,0.565789461135864,0.25
"heart-cleveland",16,"diavolo",0.1,0.272727286815643,1024,0.171052649617195,0.25
