"dataset","nhidden","bottleneck","nblocks","testAccuracy","learningrate","valAccuracy","blockForm"
"heart-hungarian",256,0.5,16,0.808219194412231,0.01,0.940740776062012,"rect"
"heart-hungarian",256,0.25,4,0.835616409778595,0.01,0.925925970077515,"diavolo"
"heart-hungarian",1024,0.25,3,0.780821919441223,0.01,0.925925970077515,"rect"
"heart-hungarian",512,0.25,3,0.739726006984711,0.1,0.925925970077515,"rect"
"heart-hungarian",256,0.5,8,0.808219194412231,0.01,0.922222262620926,"rect"
"heart-hungarian",1024,0.5,8,0.780821919441223,0.01,0.914814835786819,"diavolo"
"heart-hungarian",1024,0.5,2,0.821917772293091,0.1,0.91111114025116,"diavolo"
"heart-hungarian",512,0.25,8,0.794520497322083,0.01,0.903703725337982,"diavolo"
"heart-hungarian",512,0.25,8,0.835616409778595,0.1,0.900000017881393,"diavolo"
"heart-hungarian",256,0.5,3,0.739726006984711,0.1,0.896296310424805,"rect"
"heart-hungarian",256,0.25,16,0.808219194412231,0.01,0.896296310424805,"diavolo"
"heart-hungarian",1024,0.25,8,0.849315047264099,0.01,0.896296310424805,"rect"
"heart-hungarian",1024,0.5,3,0.767123281955719,0.01,0.896296310424805,"diavolo"
"heart-hungarian",256,0.5,4,0.739726006984711,0.1,0.888888895511627,"diavolo"
"heart-hungarian",1024,0.5,16,0.835616409778595,0.01,0.888888895511627,"diavolo"
"heart-hungarian",1024,0.25,8,0.863013684749603,0.01,0.888888895511627,"diavolo"
"heart-hungarian",256,0.5,4,0.808219194412231,0.01,0.888888895511627,"diavolo"
"heart-hungarian",512,0.25,4,0.808219134807587,0.1,0.888888895511627,"rect"
"heart-hungarian",1024,0.25,3,0.849315047264099,0.01,0.888888895511627,"diavolo"
"heart-hungarian",256,0.25,3,0.739726006984711,0.01,0.888888895511627,"diavolo"
"heart-hungarian",512,0.5,3,0.835616409778595,0.1,0.888888895511627,"rect"
"heart-hungarian",1024,0.25,2,0.876712322235107,0.01,0.888888895511627,"diavolo"
"heart-hungarian",1024,0.5,2,0.849315047264099,0.01,0.888888895511627,"rect"
"heart-hungarian",512,0.5,2,0.835616409778595,0.01,0.888888895511627,"diavolo"
"heart-hungarian",512,0.25,8,0.767123341560364,0.01,0.885185194015503,"rect"
"heart-hungarian",256,0.5,3,0.794520497322083,0.01,0.885185194015503,"rect"
"heart-hungarian",1024,0.5,4,0.849315047264099,0.1,0.885185188055038,"diavolo"
"heart-hungarian",256,0.5,2,0.808219134807587,0.1,0.885185188055038,"rect"
"heart-hungarian",256,0.25,8,0.712328732013702,0.1,0.881481492519379,"rect"
"heart-hungarian",256,0.5,2,0.863013684749603,0.1,0.881481486558914,"diavolo"
