"dataset","nblocks","bottleneck","learningrate","blockForm","nhidden","testAccuracy","valAccuracy"
"heart-va",2,0.5,0.01,"rect",256,0.259999990463257,0.459999993443489
"heart-va",16,0.25,0.01,"rect",1024,0.379999995231628,0.443999987840653
"heart-va",8,0.5,0.01,"diavolo",1024,0.299999982118607,0.411999994516373
"heart-va",16,0.25,0.01,"diavolo",512,0.379999995231628,0.411999990046024
"heart-va",2,0.25,0.1,"diavolo",1024,0.339999973773956,0.391999989748001
"heart-va",2,0.5,0.01,"rect",512,0.299999982118607,0.391999977827072
"heart-va",3,0.25,0.01,"rect",512,0.279999971389771,0.387999987602234
"heart-va",3,0.5,0.01,"diavolo",1024,0.319999992847443,0.383999979496002
"heart-va",3,0.5,0.01,"diavolo",256,0.439999997615814,0.383999979496002
"heart-va",2,0.5,0.01,"diavolo",1024,0.319999992847443,0.383999979496002
"heart-va",3,0.5,0.1,"diavolo",512,0.299999982118607,0.371999984979629
"heart-va",2,0.5,0.1,"rect",256,0.319999992847443,0.367999988794327
"heart-va",8,0.25,0.01,"diavolo",1024,0.379999995231628,0.355999985337257
"heart-va",3,0.25,0.01,"diavolo",1024,0.339999973773956,0.355999985337257
"heart-va",8,0.25,0.01,"diavolo",256,0.420000016689301,0.351999986171722
"heart-va",4,0.25,0.01,"diavolo",256,0.219999998807907,0.351999986171722
"heart-va",3,0.25,0.1,"diavolo",256,0.259999990463257,0.351999986171722
"heart-va",4,0.5,0.01,"diavolo",256,0.179999992251396,0.343999987840652
"heart-va",3,0.25,0.1,"rect",512,0.379999995231628,0.339999987185001
"heart-va",3,0.25,0.01,"rect",256,0.379999965429306,0.339999985694885
"heart-va",3,0.5,0.1,"diavolo",1024,0.319999992847443,0.335999989509583
"heart-va",8,0.5,0.01,"rect",256,0.379999995231628,0.33599998652935
"heart-va",3,0.25,0.1,"rect",256,0.299999982118607,0.33599998652935
"heart-va",8,0.5,0.1,"diavolo",256,0.379999995231628,0.335999983549118
"heart-va",2,0.5,0.1,"rect",1024,0.299999982118607,0.331999991834164
"heart-va",16,0.5,0.01,"rect",1024,0.279999971389771,0.331999988853931
"heart-va",4,0.5,0.1,"diavolo",256,0.319999992847443,0.331999988853931
"heart-va",4,0.5,0.1,"rect",256,0.259999990463257,0.327999995648861
"heart-va",2,0.25,0.1,"diavolo",256,0.319999992847443,0.327999991178513
"heart-va",4,0.5,0.01,"rect",1024,0.359999984502792,0.323999986052513
"heart-va",4,0.5,0.01,"diavolo",512,0.300000011920929,0.319999992847443
"heart-va",2,0.5,0.01,"rect",1024,0.339999973773956,0.319999992847443
"heart-va",4,0.25,0.1,"diavolo",512,0.319999992847443,0.319999988377094
"heart-va",2,0.25,0.01,"diavolo",256,0.399999976158142,0.315999993681908
"heart-va",16,0.25,0.01,"diavolo",1024,0.259999990463257,0.315999990701675
"heart-va",4,0.5,0.1,"diavolo",1024,0.259999990463257,0.315999989211559
"heart-va",3,0.5,0.01,"rect",512,0.379999995231628,0.311999996006489
"heart-va",3,0.5,0.01,"rect",1024,0.399999976158142,0.31199999153614
"heart-va",3,0.25,0.1,"rect",1024,0.259999990463257,0.31199999153614
"heart-va",8,0.25,0.01,"rect",1024,0.339999973773956,0.311999990046024
"heart-va",4,0.5,0.01,"diavolo",1024,0.179999992251396,0.307999992370605
"heart-va",4,0.25,0.1,"diavolo",256,0.319999992847443,0.307999992370605
"heart-va",2,0.25,0.01,"rect",1024,0.259999990463257,0.303999996185303
"heart-va",2,0.25,0.1,"rect",512,0.259999990463257,0.303999994695187
"heart-va",2,0.5,0.1,"diavolo",256,0.280000001192093,0.299999991059303
"heart-va",3,0.25,0.01,"rect",1024,0.379999995231628,0.299999989569187
"heart-va",3,0.5,0.1,"rect",512,0.239999994635582,0.299999988079071
"heart-va",2,0.5,0.1,"rect",512,0.259999990463257,0.291999994218349
"heart-va",4,0.25,0.1,"diavolo",1024,0.259999990463257,0.291999988257885
"heart-va",2,0.25,0.1,"diavolo",512,0.400000005960464,0.287999998033047
"heart-va",2,0.25,0.1,"rect",256,0.259999990463257,0.28799998909235
"heart-va",3,0.25,0.01,"diavolo",512,0.239999979734421,0.283999973535538
"heart-va",8,0.5,0.1,"rect",512,0.0399999991059303,0.279999988526106
"heart-va",3,0.5,0.01,"rect",256,0.300000011920929,0.279999980330467
"heart-va",4,0.25,0.01,"rect",256,0.360000014305115,0.279999980330467
"heart-va",8,0.25,0.1,"diavolo",512,0.339999973773956,0.275999992340803
"heart-va",4,0.5,0.1,"diavolo",512,0.259999990463257,0.275999991595745
"heart-va",4,0.5,0.1,"rect",512,0.319999992847443,0.275999988615513
"heart-va",3,0.25,0.1,"diavolo",512,0.419999957084656,0.271999995410442
"heart-va",8,0.5,0.01,"diavolo",512,0.219999998807907,0.271999993920326
"heart-va",8,0.25,0.1,"diavolo",256,0.339999973773956,0.267999991774559
"heart-va",16,0.5,0.01,"diavolo",256,0.319999992847443,0.263999992609024
"heart-va",8,0.5,0.01,"rect",512,0.219999983906746,0.263999988138676
"heart-va",4,0.25,0.01,"rect",512,0.299999982118607,0.259999984502792
"heart-va",4,0.25,0.01,"rect",1024,0.259999990463257,0.251999992132187
"heart-va",2,0.25,0.01,"rect",512,0.319999992847443,0.247999995946884
"heart-va",16,0.5,0.01,"rect",512,0.299999982118607,0.243999993801117
"heart-va",8,0.5,0.01,"rect",1024,0.259999990463257,0.239999996870756
"heart-va",8,0.25,0.01,"rect",512,0.340000003576279,0.23999999538064
"heart-va",3,0.5,0.1,"rect",1024,0.239999979734421,0.239999990165234
"heart-va",8,0.5,0.1,"diavolo",1024,0.199999988079071,0.239999988675118
"heart-va",4,0.5,0.01,"rect",512,0.279999971389771,0.239999987185001
"heart-va",3,0.5,0.01,"diavolo",512,0.300000011920929,0.239999984204769
"heart-va",3,0.25,0.1,"diavolo",1024,0.359999984502792,0.235999990999699
"heart-va",16,0.5,0.01,"diavolo",1024,0.340000003576279,0.23599998652935
"heart-va",16,0.25,0.01,"diavolo",256,0.339999973773956,0.23599998652935
"heart-va",8,0.25,0.1,"rect",256,0.399999976158142,0.231999995559454
"heart-va",2,0.25,0.01,"rect",256,0.379999995231628,0.23199999332428
"heart-va",2,0.25,0.1,"rect",1024,0.340000003576279,0.227999997884035
"heart-va",4,0.25,0.1,"rect",256,0.279999971389771,0.223999995738268
"heart-va",4,0.25,0.1,"rect",1024,0.200000002980232,0.223999990522862
"heart-va",4,0.25,0.1,"rect",512,0.359999984502792,0.219999995827675
"heart-va",16,0.5,0.01,"rect",256,0.319999992847443,0.219999991357327
"heart-va",8,0.5,0.1,"diavolo",512,0.139999985694885,0.21999998986721
"heart-va",2,0.25,0.01,"diavolo",1024,0.339999973773956,0.219999985396862
"heart-va",16,0.5,0.01,"diavolo",512,0.379999995231628,0.215999990701675
"heart-va",4,0.5,0.1,"rect",1024,0.199999988079071,0.215999990701675
"heart-va",4,0.25,0.01,"diavolo",512,0.300000011920929,0.207999993860722
"heart-va",16,0.25,0.1,"rect",256,0.319999992847443,0.207999992370606
"heart-va",8,0.25,0.1,"rect",512,0.199999988079071,0.207999992370606
"heart-va",8,0.5,0.01,"diavolo",256,0.239999994635582,0.203999990224838
"heart-va",16,0.25,0.1,"diavolo",256,0.239999979734421,0.203999988734722
"heart-va",16,0.5,0.1,"diavolo",256,0.239999979734421,0.199999992549419
"heart-va",8,0.25,0.1,"diavolo",1024,0.159999996423721,0.199999992549419
