"dataset","nblocks","testAccuracy","valAccuracy","bottleneck","learningrate","blockForm","nhidden"
"hill-valley",4,0.539604008197784,0.606349283456802,0.5,0.01,"rect",256
"hill-valley",4,0.516501665115356,0.590476274490356,0.5,0.01,"diavolo",256
"hill-valley",3,0.503300368785858,0.584920716285706,0.5,0.01,"diavolo",256
"hill-valley",2,0.509900987148285,0.581746119260788,0.25,0.01,"diavolo",1024
"hill-valley",8,0.503300368785858,0.576984190940857,0.5,0.01,"diavolo",256
"hill-valley",2,0.523102283477783,0.572222310304642,0.5,0.01,"rect",1024
"hill-valley",3,0.508250832557678,0.572222304344177,0.5,0.01,"diavolo",1024
"hill-valley",3,0.504950523376465,0.566666740179062,0.25,0.01,"diavolo",256
"hill-valley",3,0.504950523376465,0.565873086452484,0.25,0.01,"rect",512
"hill-valley",2,0.498349845409393,0.560317534208298,0.5,0.01,"diavolo",1024
"hill-valley",8,0.506600677967072,0.556349289417267,0.25,0.01,"diavolo",1024
"hill-valley",16,0.506600677967072,0.552381026744843,0.5,0.1,"diavolo",512
"hill-valley",4,0.546204686164856,0.552381026744843,0.25,0.01,"diavolo",512
"hill-valley",2,0.500000059604645,0.551587373018265,0.25,0.1,"rect",512
"hill-valley",4,0.493399322032928,0.551587373018265,0.5,0.1,"diavolo",512
"hill-valley",4,0.508250832557678,0.54920642375946,0.5,0.1,"rect",512
"hill-valley",16,0.511551141738892,0.548412781953812,0.25,0.01,"diavolo",512
"hill-valley",2,0.516501665115356,0.548412770032883,0.5,0.1,"diavolo",1024
"hill-valley",3,0.495049506425858,0.548412764072418,0.5,0.1,"diavolo",256
"hill-valley",2,0.559405982494354,0.547619122266769,0.5,0.1,"diavolo",512
"hill-valley",4,0.498349875211716,0.544444519281387,0.25,0.01,"diavolo",1024
"hill-valley",3,0.500000059604645,0.544444519281387,0.25,0.01,"rect",1024
"hill-valley",8,0.491749197244644,0.544444513320923,0.25,0.1,"rect",256
"hill-valley",2,0.516501665115356,0.542063564062119,0.25,0.01,"rect",1024
"hill-valley",4,0.498349845409393,0.541269892454147,0.25,0.01,"rect",256
"hill-valley",4,0.503300309181213,0.540476259589195,0.25,0.01,"diavolo",256
"hill-valley",4,0.513201296329498,0.536508017778397,0.25,0.01,"rect",512
"hill-valley",3,0.509900987148285,0.536508011817932,0.5,0.01,"rect",1024
"hill-valley",8,0.508250832557678,0.534920704364777,0.25,0.1,"rect",512
"hill-valley",8,0.491749197244644,0.534920704364777,0.5,0.1,"diavolo",256
"hill-valley",2,0.504950523376465,0.534920698404312,0.5,0.01,"rect",512
"hill-valley",16,0.506600677967072,0.534127056598663,0.5,0.1,"diavolo",256
"hill-valley",3,0.496699690818787,0.534127056598663,0.5,0.01,"diavolo",512
"hill-valley",16,0.491749167442322,0.533333402872086,0.25,0.1,"diavolo",1024
"hill-valley",8,0.508250832557678,0.533333402872086,0.5,0.1,"diavolo",512
"hill-valley",4,0.533003330230713,0.533333402872086,0.25,0.1,"diavolo",512
"hill-valley",16,0.508250832557678,0.532539761066437,0.25,0.1,"rect",256
"hill-valley",8,0.506600677967072,0.531746107339859,0.25,0.1,"diavolo",256
"hill-valley",3,0.513201355934143,0.531746101379395,0.5,0.1,"diavolo",512
"hill-valley",2,0.50990104675293,0.531746098399162,0.25,0.1,"diavolo",1024
"hill-valley",4,0.5,0.530952459573746,0.25,0.1,"rect",512
"hill-valley",3,0.498349815607071,0.530158805847168,0.25,0.01,"diavolo",512
"hill-valley",4,0.5,0.52777783870697,0.25,0.1,"diavolo",256
"hill-valley",16,0.508250832557678,0.526190543174744,0.5,0.01,"diavolo",512
"hill-valley",16,0.50990104675293,0.52539689540863,0.25,0.01,"diavolo",1024
"hill-valley",4,0.49504953622818,0.521428632736206,0.5,0.01,"diavolo",512
"hill-valley",4,0.493399322032928,0.51984133720398,0.5,0.1,"diavolo",1024
"hill-valley",3,0.506600677967072,0.519841334223747,0.5,0.1,"rect",512
"hill-valley",4,0.496699690818787,0.519047683477402,0.5,0.1,"diavolo",256
"hill-valley",8,0.504950523376465,0.519047677516937,0.5,0.01,"rect",256
"hill-valley",8,0.493399322032928,0.517460381984711,0.5,0.1,"rect",512
"hill-valley",8,0.506600677967072,0.517460381984711,0.25,0.1,"rect",1024
"hill-valley",8,0.493399322032928,0.516666734218597,0.5,0.1,"rect",256
"hill-valley",2,0.503300368785858,0.516666722297669,0.5,0.01,"rect",256
"hill-valley",16,0.506600677967072,0.514285778999329,0.25,0.1,"diavolo",256
"hill-valley",2,0.498349845409393,0.511904817819595,0.5,0.1,"rect",512
"hill-valley",3,0.498349845409393,0.510317522287369,0.25,0.1,"rect",256
"hill-valley",4,0.513201355934143,0.506349277496338,0.25,0.1,"rect",1024
"hill-valley",4,0.498349905014038,0.506349265575409,0.5,0.01,"diavolo",1024
"hill-valley",3,0.493399322032928,0.505555617809296,0.25,0.1,"rect",1024
"hill-valley",3,0.501650154590607,0.503968316316605,0.5,0.1,"rect",256
"hill-valley",4,0.493399322032928,0.50396831035614,0.25,0.1,"rect",256
"hill-valley",3,0.491749167442322,0.502381008863449,0.5,0.1,"rect",1024
