"dataset","nhidden","bottleneck","learningrate","blockForm","valAccuracy","testAccuracy","nblocks"
"ionosphere",512,0.5,0.01,"diavolo",0.948484897613525,0.954545497894287,3
"ionosphere",1024,0.25,0.01,"rect",0.939393997192383,0.920454502105713,16
"ionosphere",1024,0.25,0.01,"diavolo",0.939393997192383,0.954545438289642,16
"ionosphere",1024,0.5,0.01,"diavolo",0.939393997192383,0.931818127632141,16
"ionosphere",256,0.25,0.01,"diavolo",0.939393997192383,0.875,16
"ionosphere",256,0.5,0.01,"diavolo",0.939393997192383,0.897727310657501,16
"ionosphere",1024,0.5,0.01,"rect",0.939393997192383,0.909090876579285,8
"ionosphere",256,0.25,0.01,"rect",0.939393997192383,0.852272748947144,8
"ionosphere",512,0.25,0.1,"diavolo",0.939393997192383,0.897727251052856,8
"ionosphere",256,0.25,0.1,"rect",0.939393997192383,0.863636374473572,8
"ionosphere",256,0.25,0.1,"diavolo",0.939393997192383,0.920454502105713,8
"ionosphere",256,0.5,0.1,"rect",0.939393997192383,0.897727251052856,8
"ionosphere",1024,0.5,0.01,"diavolo",0.939393997192383,0.954545497894287,4
"ionosphere",256,0.25,0.01,"diavolo",0.939393997192383,0.875,4
"ionosphere",512,0.25,0.1,"rect",0.939393997192383,0.863636374473572,4
"ionosphere",512,0.25,0.1,"diavolo",0.939393997192383,0.852272689342499,4
"ionosphere",512,0.5,0.1,"rect",0.939393997192383,0.897727310657501,4
"ionosphere",256,0.25,0.1,"rect",0.939393997192383,0.875,4
"ionosphere",256,0.5,0.1,"rect",0.939393997192383,0.909090876579285,4
"ionosphere",256,0.5,0.1,"diavolo",0.939393997192383,0.863636374473572,4
"ionosphere",1024,0.25,0.1,"rect",0.939393997192383,0.897727251052856,3
"ionosphere",1024,0.25,0.1,"diavolo",0.939393997192383,0.875,3
"ionosphere",512,0.5,0.1,"diavolo",0.939393997192383,0.920454502105713,3
"ionosphere",256,0.5,0.1,"diavolo",0.939393997192383,0.897727310657501,3
"ionosphere",1024,0.25,0.01,"diavolo",0.939393997192383,0.920454502105713,2
"ionosphere",1024,0.5,0.1,"rect",0.939393997192383,0.909090876579285,2
"ionosphere",1024,0.5,0.1,"diavolo",0.939393997192383,0.875,2
