"dataset","blockForm","valAccuracy","nhidden","bottleneck","learningrate","testAccuracy","nblocks"
"low-res-spect","rect",0.915254235267639,1024,0.25,0.01,0.864661633968353,8
"low-res-spect","diavolo",0.915254235267639,1024,0.25,0.01,0.879699230194092,8
"low-res-spect","rect",0.915254235267639,1024,0.25,0.01,0.849624037742615,4
"low-res-spect","rect",0.869491559267044,512,0.25,0.01,0.804511249065399,2
"low-res-spect","diavolo",0.864406764507294,512,0.5,0.01,0.834586501121521,2
"low-res-spect","diavolo",0.859322071075439,1024,0.25,0.01,0.842105269432068,2
"low-res-spect","rect",0.859322029352188,256,0.25,0.01,0.819548845291138,3
"low-res-spect","diavolo",0.838983029127121,256,0.25,0.01,0.789473712444305,4
"low-res-spect","diavolo",0.830508470535278,1024,0.25,0.01,0.819548845291138,4
"low-res-spect","diavolo",0.818644046783447,1024,0.5,0.01,0.842105269432068,8
"low-res-spect","rect",0.813559293746948,1024,0.5,0.01,0.804511308670044,4
"low-res-spect","rect",0.813559293746948,512,0.5,0.01,0.774436116218567,3
"low-res-spect","rect",0.810169470310211,256,0.25,0.1,0.796992480754852,2
"low-res-spect","rect",0.808474576473236,256,0.25,0.01,0.781954884529114,2
"low-res-spect","rect",0.805084735155106,1024,0.25,0.01,0.819548904895782,3
"low-res-spect","diavolo",0.805084705352783,512,0.25,0.01,0.751879692077637,2
"low-res-spect","diavolo",0.801694911718368,1024,0.5,0.01,0.759398460388184,3
"low-res-spect","diavolo",0.798305040597916,256,0.25,0.1,0.804511308670044,3
"low-res-spect","rect",0.796610176563263,512,0.5,0.01,0.751879692077637,8
"low-res-spect","rect",0.796610176563263,256,0.5,0.01,0.751879692077637,3
"low-res-spect","rect",0.793220353126526,256,0.25,0.01,0.774436116218567,8
"low-res-spect","rect",0.791525399684906,1024,0.5,0.1,0.759398460388184,4
"low-res-spect","diavolo",0.786440706253052,512,0.5,0.01,0.804511308670044,3
"low-res-spect","rect",0.7864406645298,512,0.25,0.01,0.796992421150208,3
"low-res-spect","diavolo",0.784745794534683,512,0.5,0.1,0.774436116218567,4
"low-res-spect","rect",0.784745788574219,1024,0.25,0.1,0.74436092376709,2
"low-res-spect","diavolo",0.783050882816315,1024,0.25,0.1,0.76691722869873,4
"low-res-spect","rect",0.783050835132599,1024,0.25,0.01,0.827067732810974,16
"low-res-spect","rect",0.783050829172135,512,0.5,0.01,0.781954884529114,2
"low-res-spect","rect",0.781355971097946,1024,0.25,0.1,0.789473652839661,3
"low-res-spect","rect",0.781355971097946,512,0.25,0.01,0.796992480754852,8
"low-res-spect","diavolo",0.779661059379578,256,0.5,0.01,0.759398460388184,4
"low-res-spect","diavolo",0.779661059379578,1024,0.25,0.01,0.774436056613922,3
"low-res-spect","rect",0.779661059379578,1024,0.25,0.01,0.774436056613922,2
"low-res-spect","diavolo",0.779661059379578,1024,0.5,0.1,0.781954884529114,2
"low-res-spect","diavolo",0.779661017656326,256,0.25,0.1,0.774436116218567,4
"low-res-spect","diavolo",0.779660999774933,512,0.25,0.01,0.812030076980591,4
"low-res-spect","rect",0.779660999774933,256,0.5,0.01,0.796992480754852,4
"low-res-spect","rect",0.776271224021912,1024,0.5,0.1,0.751879692077637,2
"low-res-spect","diavolo",0.776271176338196,256,0.25,0.01,0.774436116218567,2
"low-res-spect","rect",0.774576306343079,512,0.25,0.01,0.781954884529114,16
"low-res-spect","rect",0.774576306343079,256,0.5,0.01,0.76691734790802,8
"low-res-spect","diavolo",0.77457629442215,256,0.5,0.01,0.796992540359497,16
"low-res-spect","diavolo",0.774576288461685,256,0.25,0.1,0.774436056613922,2
"low-res-spect","diavolo",0.772881370782852,256,0.5,0.1,0.759398519992828,2
"low-res-spect","rect",0.767796617746353,512,0.5,0.1,0.729323267936707,8
"low-res-spect","diavolo",0.766101682186127,256,0.25,0.1,0.751879692077637,8
"low-res-spect","diavolo",0.762711882591248,512,0.25,0.01,0.819548845291138,16
"low-res-spect","diavolo",0.762711882591248,256,0.25,0.01,0.819548845291138,8
"low-res-spect","diavolo",0.762711882591248,1024,0.5,0.01,0.774436116218567,4
"low-res-spect","rect",0.762711882591248,512,0.25,0.01,0.796992540359497,4
"low-res-spect","rect",0.762711882591248,1024,0.5,0.01,0.789473652839661,3
"low-res-spect","diavolo",0.762711882591248,256,0.25,0.01,0.774436116218567,3
"low-res-spect","diavolo",0.762711882591248,1024,0.25,0.1,0.751879692077637,3
"low-res-spect","diavolo",0.762711882591248,256,0.5,0.01,0.729323267936707,2
"low-res-spect","diavolo",0.761016964912415,512,0.25,0.1,0.819548845291138,2
"low-res-spect","diavolo",0.761016964912415,512,0.5,0.1,0.781954884529114,2
"low-res-spect","diavolo",0.759322047233582,1024,0.25,0.1,0.736842095851898,8
