"dataset","valAccuracy","nhidden","bottleneck","nblocks","blockForm","learningrate","testAccuracy"
"lymphography",1,256,0.25,8,"diavolo",0.01,0.675675690174103
"lymphography",0.978571438789368,512,0.5,4,"diavolo",0.01,0.702702701091766
"lymphography",0.928571462631226,256,0.25,16,"rect",0.01,0.729729771614075
"lymphography",0.928571462631226,512,0.25,16,"diavolo",0.1,0.648648679256439
"lymphography",0.928571462631226,1024,0.5,3,"diavolo",0.1,0.81081086397171
"lymphography",0.921428602933884,256,0.5,2,"diavolo",0.1,0.702702760696411
"lymphography",0.907142901420593,512,0.25,4,"rect",0.01,0.756756842136383
"lymphography",0.900000035762787,512,0.25,4,"rect",0.1,0.783783853054047
"lymphography",0.878571486473084,256,0.5,16,"diavolo",0.01,0.54054057598114
"lymphography",0.878571444749832,256,0.5,8,"rect",0.1,0.756756842136383
"lymphography",0.864285778999329,512,0.5,3,"rect",0.1,0.756756842136383
"lymphography",0.864285731315613,512,0.25,16,"diavolo",0.01,0.756756782531738
"lymphography",0.864285725355148,1024,0.25,3,"diavolo",0.1,0.729729771614075
"lymphography",0.864285725355148,256,0.25,2,"rect",0.01,0.756756782531738
"lymphography",0.864285725355148,256,0.25,4,"diavolo",0.1,0.783783853054047
"lymphography",0.857142925262451,256,0.25,4,"diavolo",0.01,0.729729771614075
"lymphography",0.857142925262451,512,0.5,3,"diavolo",0.01,0.81081086397171
"lymphography",0.857142925262451,1024,0.25,2,"rect",0.01,0.756756782531738
"lymphography",0.857142925262451,256,0.25,2,"diavolo",0.1,0.81081086397171
"lymphography",0.857142919301987,1024,0.5,8,"rect",0.01,0.783783853054047
"lymphography",0.857142919301987,1024,0.25,3,"rect",0.01,0.756756842136383
"lymphography",0.857142913341522,512,0.25,3,"rect",0.1,0.729729771614075
"lymphography",0.857142865657806,1024,0.25,4,"rect",0.01,0.783783853054047
"lymphography",0.857142865657806,1024,0.25,4,"diavolo",0.01,0.702702760696411
"lymphography",0.857142865657806,256,0.5,2,"rect",0.1,0.783783793449402
"lymphography",0.842857205867767,1024,0.5,8,"diavolo",0.01,0.81081086397171
"lymphography",0.842857205867767,1024,0.5,16,"rect",0.01,0.756756842136383
"lymphography",0.842857205867767,256,0.25,3,"diavolo",0.01,0.783783793449402
"lymphography",0.842857146263122,512,0.5,2,"rect",0.1,0.756756842136383
"lymphography",0.835714346170426,256,0.5,4,"diavolo",0.1,0.729729771614075
"lymphography",0.835714304447174,512,0.25,3,"diavolo",0.1,0.783783853054047
"lymphography",0.835714292526245,512,0.5,16,"diavolo",0.01,0.837837874889374
"lymphography",0.835714286565781,1024,0.25,2,"diavolo",0.1,0.783783853054047
"lymphography",0.828571486473084,1024,0.5,4,"diavolo",0.01,0.81081086397171
"lymphography",0.828571486473084,512,0.5,4,"rect",0.1,0.675675690174103
"lymphography",0.828571486473084,1024,0.25,2,"rect",0.1,0.756756782531738
"lymphography",0.828571438789368,256,0.25,8,"diavolo",0.1,0.729729771614075
"lymphography",0.821428626775742,256,0.5,4,"diavolo",0.01,0.702702701091766
"lymphography",0.821428579092026,512,0.25,8,"rect",0.01,0.513513565063477
"lymphography",0.821428567171097,1024,0.5,3,"diavolo",0.01,0.783783853054047
"lymphography",0.814285743236542,1024,0.5,2,"diavolo",0.1,0.783783853054047
"lymphography",0.807142907381058,512,0.25,8,"diavolo",0.01,0.783783793449402
"lymphography",0.807142907381058,512,0.5,8,"diavolo",0.01,0.729729771614075
"lymphography",0.807142907381058,256,0.5,2,"rect",0.01,0.783783853054047
