"dataset","learningrate","valAccuracy","nblocks","bottleneck","testAccuracy","blockForm","nhidden"
"magic",0.1,0.87892786860466,8,0.25,0.872345089912415,"rect",512
"magic",0.1,0.87763397693634,8,0.5,0.86561518907547,"rect",512
"magic",0.1,0.873613631725311,16,0.25,0.86225038766861,"diavolo",1024
"magic",0.1,0.873336380720139,16,0.5,0.863091588020325,"rect",256
"magic",0.1,0.873105329275131,16,0.5,0.867297649383545,"diavolo",512
"magic",0.1,0.87181139588356,4,0.25,0.867928564548492,"rect",1024
"magic",0.1,0.86945470571518,16,0.25,0.868980050086975,"rect",256
"magic",0.1,0.868299406766892,16,0.25,0.85636180639267,"diavolo",256
"magic",0.1,0.868022125959397,8,0.5,0.87066251039505,"diavolo",1024
"magic",0.01,0.867282789945603,2,0.5,0.85089385509491,"rect",256
"magic",0.1,0.867236578464508,2,0.5,0.861829698085785,"rect",256
"magic",0.1,0.867144119739532,16,0.25,0.856992661952972,"diavolo",512
"magic",0.1,0.865572959184647,2,0.25,0.860357642173767,"rect",256
"magic",0.01,0.864972269535065,3,0.5,0.852155745029449,"rect",256
"magic",0.1,0.864602541923523,3,0.5,0.864563763141632,"diavolo",256
"magic",0.01,0.864556348323822,2,0.25,0.860567927360535,"rect",256
"magic",0.1,0.864510160684586,16,0.5,0.858675122261047,"diavolo",256
"magic",0.1,0.864001828432083,4,0.5,0.85383814573288,"diavolo",256
"magic",0.01,0.863909369707108,3,0.25,0.856572151184082,"rect",1024
"magic",0.01,0.8638631939888,16,0.25,0.849632024765015,"diavolo",256
"magic",0.1,0.863770765066147,2,0.5,0.85594117641449,"diavolo",256
"magic",0.01,0.863031393289566,2,0.25,0.858254492282867,"diavolo",256
"magic",0.1,0.862476855516434,8,0.25,0.854469001293182,"diavolo",256
"magic",0.01,0.862430649995804,2,0.25,0.856572091579437,"diavolo",512
"magic",0.1,0.862245792150497,3,0.25,0.85131448507309,"rect",256
"magic",0.1,0.861737501621247,8,0.25,0.85930609703064,"rect",256
"magic",0.1,0.861275374889374,3,0.25,0.855941236019135,"rect",512
"magic",0.1,0.861136734485626,4,0.25,0.85509991645813,"rect",256
"magic",0.1,0.861090552806854,4,0.25,0.851945400238037,"diavolo",256
"magic",0.01,0.861090528964996,8,0.5,0.84500527381897,"rect",256
"magic",0.01,0.860859501361847,2,0.5,0.855520606040955,"diavolo",256
"magic",0.1,0.860720854997635,3,0.25,0.856151521205902,"diavolo",256
"magic",0.1,0.860489785671234,2,0.25,0.85131448507309,"diavolo",512
"magic",0.01,0.860443592071533,4,0.5,0.843953788280487,"diavolo",256
"magic",0.1,0.860304939746857,3,0.5,0.855520606040955,"rect",256
"magic",0.01,0.860120111703873,3,0.25,0.853627860546112,"diavolo",256
"magic",0.01,0.859658014774323,2,0.5,0.857413291931152,"rect",512
"magic",0.01,0.859657990932465,4,0.25,0.854469001293182,"diavolo",256
"magic",0.1,0.859242117404938,8,0.25,0.858675122261047,"diavolo",512
"magic",0.01,0.859195911884308,16,0.25,0.852576315402985,"rect",512
"magic",0.1,0.859149688482285,4,0.5,0.853627860546112,"diavolo",512
"magic",0.1,0.858779966831207,2,0.25,0.842692017555237,"diavolo",256
"magic",0.01,0.858595162630081,3,0.5,0.849001049995422,"rect",512
"magic",0.01,0.858456540107727,4,0.25,0.848790764808655,"rect",512
"magic",0.01,0.85841029882431,16,0.5,0.843533158302307,"rect",256
"magic",0.01,0.858271676301956,2,0.25,0.849632024765015,"diavolo",1024
"magic",0.01,0.858086842298508,3,0.5,0.846477508544922,"diavolo",256
"magic",0.01,0.858040618896484,4,0.25,0.853627920150757,"rect",256
"magic",0.01,0.85794820189476,4,0.5,0.850683569908142,"rect",512
"magic",0.1,0.857855784893036,3,0.25,0.85089385509491,"diavolo",512
"magic",0.1,0.857624745368957,4,0.5,0.85173511505127,"rect",256
"magic",0.01,0.857532322406769,8,0.25,0.848580479621887,"rect",1024
"magic",0.1,0.857301253080368,2,0.5,0.849632024765015,"diavolo",512
"magic",0.01,0.857208842039108,2,0.5,0.85005259513855,"diavolo",512
"magic",0.01,0.857162618637085,3,0.5,0.858675122261047,"rect",1024
"magic",0.01,0.856977784633637,8,0.25,0.852997004985809,"diavolo",256
"magic",0.01,0.856839162111282,3,0.25,0.848790884017944,"diavolo",1024
"magic",0.01,0.856377047300339,3,0.25,0.851104199886322,"diavolo",512
"magic",0.01,0.856330835819245,4,0.5,0.85173511505127,"diavolo",512
"magic",0.01,0.85628462433815,8,0.25,0.844584703445435,"rect",256
"magic",0.01,0.856099772453308,16,0.25,0.854048430919647,"diavolo",512
"magic",0.01,0.855591470003128,16,0.5,0.847108423709869,"diavolo",256
"magic",0.1,0.855360412597656,8,0.5,0.85762357711792,"diavolo",256
"magic",0.01,0.854898291826248,8,0.5,0.849001109600067,"diavolo",256
"magic",0.01,0.854343765974045,4,0.5,0.855520606040955,"rect",256
"magic",0.1,0.853974086046219,4,0.5,0.856151521205902,"rect",512
"magic",0.01,0.853743022680283,4,0.25,0.850052714347839,"diavolo",512
"magic",0.1,0.853604423999786,3,0.5,0.843953788280487,"diavolo",512
"magic",0.1,0.853511971235275,8,0.5,0.853838205337524,"diavolo",512
"magic",0.01,0.853419548273087,16,0.5,0.842271327972412,"diavolo",512
