"dataset","testAccuracy","nblocks","learningrate","nhidden","blockForm","valAccuracy","bottleneck"
"oocytes_trisopterus_nucleus_2f",0.771929860115051,3,0.1,256,"rect",0.879746854305268,0.5
"oocytes_trisopterus_nucleus_2f",0.811403512954712,8,0.1,512,"diavolo",0.864556968212128,0.5
"oocytes_trisopterus_nucleus_2f",0.79824560880661,3,0.1,1024,"rect",0.858227849006653,0.5
"oocytes_trisopterus_nucleus_2f",0.780701756477356,3,0.1,512,"rect",0.851898741722107,0.25
"oocytes_trisopterus_nucleus_2f",0.754386007785797,2,0.1,512,"rect",0.851898729801178,0.5
"oocytes_trisopterus_nucleus_2f",0.745614051818848,3,0.1,256,"diavolo",0.850632905960083,0.25
"oocytes_trisopterus_nucleus_2f",0.767543852329254,8,0.1,512,"diavolo",0.849367111921311,0.25
"oocytes_trisopterus_nucleus_2f",0.80701756477356,8,0.1,256,"rect",0.849367105960846,0.5
"oocytes_trisopterus_nucleus_2f",0.780701756477356,4,0.1,256,"rect",0.848101270198822,0.25
"oocytes_trisopterus_nucleus_2f",0.785087704658508,8,0.1,512,"rect",0.846835458278656,0.25
"oocytes_trisopterus_nucleus_2f",0.780701756477356,8,0.1,256,"rect",0.844303798675537,0.25
"oocytes_trisopterus_nucleus_2f",0.820175468921661,8,0.1,512,"rect",0.8430379986763,0.5
"oocytes_trisopterus_nucleus_2f",0.811403512954712,2,0.1,512,"rect",0.841772145032883,0.25
"oocytes_trisopterus_nucleus_2f",0.811403512954712,2,0.1,512,"diavolo",0.840506374835968,0.25
"oocytes_trisopterus_nucleus_2f",0.741228103637695,4,0.1,1024,"diavolo",0.837974691390991,0.5
"oocytes_trisopterus_nucleus_2f",0.798245668411255,2,0.1,1024,"rect",0.836708867549896,0.25
"oocytes_trisopterus_nucleus_2f",0.697368383407593,2,0.1,1024,"diavolo",0.834177219867706,0.5
"oocytes_trisopterus_nucleus_2f",0.776315748691559,2,0.1,256,"rect",0.829113930463791,0.5
"oocytes_trisopterus_nucleus_2f",0.754385948181152,16,0.1,512,"diavolo",0.824050688743591,0.25
"oocytes_trisopterus_nucleus_2f",0.771929860115051,3,0.1,1024,"rect",0.824050664901734,0.25
"oocytes_trisopterus_nucleus_2f",0.780701756477356,3,0.1,1024,"diavolo",0.824050652980804,0.5
"oocytes_trisopterus_nucleus_2f",0.767543792724609,3,0.1,512,"diavolo",0.822784841060638,0.5
"oocytes_trisopterus_nucleus_2f",0.789473652839661,4,0.1,512,"rect",0.822784793376923,0.25
"oocytes_trisopterus_nucleus_2f",0.758772015571594,8,0.1,256,"diavolo",0.820253169536591,0.5
"oocytes_trisopterus_nucleus_2f",0.776315748691559,2,0.1,256,"rect",0.811392444372177,0.25
"oocytes_trisopterus_nucleus_2f",0.714912295341492,2,0.1,1024,"diavolo",0.810126614570618,0.25
"oocytes_trisopterus_nucleus_2f",0.78947377204895,2,0.1,1024,"rect",0.808860790729523,0.5
"oocytes_trisopterus_nucleus_2f",0.697368443012238,4,0.1,1024,"diavolo",0.808860766887665,0.25
"oocytes_trisopterus_nucleus_2f",0.684210538864136,3,0.1,256,"rect",0.807594990730286,0.25
"oocytes_trisopterus_nucleus_2f",0.732456207275391,8,0.1,256,"diavolo",0.805063313245773,0.25
"oocytes_trisopterus_nucleus_2f",0.701754331588745,8,0.1,1024,"diavolo",0.803797501325607,0.25
"oocytes_trisopterus_nucleus_2f",0.684210598468781,16,0.01,512,"rect",0.801265877485275,0.25
"oocytes_trisopterus_nucleus_2f",0.728070259094238,3,0.1,512,"rect",0.80000005364418,0.5
"oocytes_trisopterus_nucleus_2f",0.684210538864136,2,0.01,512,"diavolo",0.797468423843384,0.5
"oocytes_trisopterus_nucleus_2f",0.697368383407593,4,0.1,512,"diavolo",0.793670922517776,0.5
"oocytes_trisopterus_nucleus_2f",0.70175439119339,3,0.1,1024,"diavolo",0.791139268875122,0.25
"oocytes_trisopterus_nucleus_2f",0.741228044033051,3,0.1,256,"diavolo",0.789873468875885,0.5
"oocytes_trisopterus_nucleus_2f",0.767543911933899,3,0.1,512,"diavolo",0.789873456954956,0.25
"oocytes_trisopterus_nucleus_2f",0.736842155456543,4,0.01,1024,"rect",0.786076009273529,0.25
"oocytes_trisopterus_nucleus_2f",0.679824531078339,4,0.01,1024,"diavolo",0.783544361591339,0.5
"oocytes_trisopterus_nucleus_2f",0.763157904148102,4,0.1,512,"diavolo",0.783544325828552,0.25
"oocytes_trisopterus_nucleus_2f",0.671052694320679,2,0.01,1024,"diavolo",0.781012713909149,0.25
"oocytes_trisopterus_nucleus_2f",0.736842036247253,2,0.1,512,"diavolo",0.78101270198822,0.5
"oocytes_trisopterus_nucleus_2f",0.745613992214203,3,0.01,256,"rect",0.770886123180389,0.25
"oocytes_trisopterus_nucleus_2f",0.741228044033051,3,0.01,512,"rect",0.767088651657104,0.5
"oocytes_trisopterus_nucleus_2f",0.662280738353729,16,0.01,256,"rect",0.75569623708725,0.5
"oocytes_trisopterus_nucleus_2f",0.679824590682983,16,0.1,256,"diavolo",0.75569623708725,0.25
"oocytes_trisopterus_nucleus_2f",0.65350878238678,16,0.01,1024,"diavolo",0.751898765563965,0.5
"oocytes_trisopterus_nucleus_2f",0.750000059604645,2,0.01,512,"rect",0.751898765563965,0.5
"oocytes_trisopterus_nucleus_2f",0.675438642501831,8,0.01,512,"rect",0.75063294172287,0.25
"oocytes_trisopterus_nucleus_2f",0.631578981876373,4,0.01,512,"rect",0.749367117881775,0.25
"oocytes_trisopterus_nucleus_2f",0.745614051818848,2,0.1,256,"diavolo",0.74810129404068,0.25
"oocytes_trisopterus_nucleus_2f",0.657894730567932,4,0.1,256,"diavolo",0.746835482120514,0.25
"oocytes_trisopterus_nucleus_2f",0.618421018123627,8,0.01,512,"diavolo",0.744303822517395,0.25
"oocytes_trisopterus_nucleus_2f",0.754385948181152,2,0.1,256,"diavolo",0.7430379986763,0.5
"oocytes_trisopterus_nucleus_2f",0.728070259094238,3,0.01,256,"diavolo",0.743037992715836,0.25
"oocytes_trisopterus_nucleus_2f",0.692982494831085,3,0.01,1024,"rect",0.739240539073944,0.5
"oocytes_trisopterus_nucleus_2f",0.763157844543457,2,0.01,1024,"rect",0.737974715232849,0.5
"oocytes_trisopterus_nucleus_2f",0.714912235736847,16,0.01,512,"diavolo",0.736708879470825,0.25
"oocytes_trisopterus_nucleus_2f",0.635964870452881,8,0.01,256,"rect",0.736708879470825,0.25
"oocytes_trisopterus_nucleus_2f",0.679824531078339,16,0.01,1024,"diavolo",0.731645584106445,0.25
"oocytes_trisopterus_nucleus_2f",0.710526347160339,3,0.01,1024,"rect",0.73037976026535,0.25
"oocytes_trisopterus_nucleus_2f",0.631578922271729,2,0.01,1024,"rect",0.73037976026535,0.25
"oocytes_trisopterus_nucleus_2f",0.701754450798035,4,0.1,256,"rect",0.72531646490097,0.5
"oocytes_trisopterus_nucleus_2f",0.706140398979187,8,0.01,256,"rect",0.720253169536591,0.5
"oocytes_trisopterus_nucleus_2f",0.710526287555695,4,0.01,256,"rect",0.717721521854401,0.5
"oocytes_trisopterus_nucleus_2f",0.719298243522644,16,0.01,256,"diavolo",0.71265823841095,0.25
