"dataset","nblocks","valAccuracy","learningrate","testAccuracy","blockForm","nhidden","bottleneck"
"oocytes_trisopterus_states_5b",2,0.948351693153381,0.01,0.89473682641983,"rect",256,0.25
"oocytes_trisopterus_states_5b",3,0.913186824321747,0.1,0.907894730567932,"rect",256,0.5
"oocytes_trisopterus_states_5b",8,0.912087917327881,0.01,0.877192974090576,"rect",1024,0.25
"oocytes_trisopterus_states_5b",2,0.912087917327881,0.1,0.885964930057526,"rect",1024,0.5
"oocytes_trisopterus_states_5b",3,0.907692337036133,0.1,0.899122834205627,"rect",256,0.25
"oocytes_trisopterus_states_5b",2,0.904395639896393,0.1,0.894736766815186,"rect",1024,0.25
"oocytes_trisopterus_states_5b",3,0.900000059604645,0.1,0.890350818634033,"rect",1024,0.5
"oocytes_trisopterus_states_5b",3,0.897802257537842,0.1,0.885964930057526,"rect",512,0.25
"oocytes_trisopterus_states_5b",16,0.892307722568512,0.01,0.859649181365967,"rect",512,0.5
"oocytes_trisopterus_states_5b",8,0.891208827495575,0.1,0.89473682641983,"rect",512,0.25
"oocytes_trisopterus_states_5b",8,0.89010990858078,0.1,0.885964930057526,"rect",256,0.25
"oocytes_trisopterus_states_5b",3,0.890109896659851,0.01,0.881578922271729,"rect",512,0.25
"oocytes_trisopterus_states_5b",3,0.890109896659851,0.01,0.842105269432068,"rect",256,0.5
"oocytes_trisopterus_states_5b",3,0.890109896659851,0.01,0.855263113975525,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",3,0.890109896659851,0.1,0.90350878238678,"rect",1024,0.25
"oocytes_trisopterus_states_5b",2,0.890109896659851,0.01,0.85526317358017,"rect",256,0.5
"oocytes_trisopterus_states_5b",2,0.890109896659851,0.1,0.868421018123627,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",4,0.881318736076355,0.01,0.828947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",4,0.879120945930481,0.1,0.868420958518982,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",8,0.878022038936615,0.01,0.855263113975525,"rect",256,0.5
"oocytes_trisopterus_states_5b",4,0.878022038936615,0.01,0.837719321250916,"rect",1024,0.25
"oocytes_trisopterus_states_5b",4,0.869230782985687,0.1,0.842105269432068,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",16,0.869230782985687,0.01,0.842105269432068,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",16,0.868131875991821,0.01,0.868421077728271,"rect",256,0.25
"oocytes_trisopterus_states_5b",8,0.868131875991821,0.01,0.828947424888611,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",8,0.868131875991821,0.1,0.850877165794373,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",4,0.868131875991821,0.1,0.872807025909424,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",4,0.868131875991821,0.1,0.864035069942474,"rect",256,0.5
"oocytes_trisopterus_states_5b",3,0.868131875991821,0.1,0.872807025909424,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",2,0.868131875991821,0.01,0.85526317358017,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",16,0.867033004760742,0.01,0.84649121761322,"rect",1024,0.5
"oocytes_trisopterus_states_5b",3,0.867032992839813,0.1,0.833333313465118,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",8,0.867032980918884,0.1,0.877192974090576,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",2,0.867032980918884,0.1,0.86403501033783,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",2,0.865934085845947,0.1,0.859649181365967,"rect",256,0.25
"oocytes_trisopterus_states_5b",3,0.863736295700073,0.01,0.859649062156677,"rect",1024,0.5
"oocytes_trisopterus_states_5b",3,0.862637400627136,0.01,0.859649121761322,"rect",1024,0.25
"oocytes_trisopterus_states_5b",2,0.862637400627136,0.1,0.859649121761322,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",16,0.861538505554199,0.1,0.859649181365967,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",8,0.861538505554199,0.01,0.855263113975525,"rect",512,0.25
"oocytes_trisopterus_states_5b",16,0.86153849363327,0.01,0.833333373069763,"rect",1024,0.25
"oocytes_trisopterus_states_5b",4,0.860439610481262,0.01,0.877192974090576,"rect",256,0.25
"oocytes_trisopterus_states_5b",16,0.857142925262451,0.01,0.802631616592407,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",8,0.857142925262451,0.01,0.824561357498169,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",4,0.857142925262451,0.01,0.877192974090576,"rect",512,0.5
"oocytes_trisopterus_states_5b",4,0.857142925262451,0.01,0.842105269432068,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",4,0.857142925262451,0.1,0.850877165794373,"rect",256,0.25
"oocytes_trisopterus_states_5b",3,0.857142925262451,0.01,0.824561476707458,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",3,0.857142925262451,0.1,0.84649121761322,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",3,0.857142925262451,0.1,0.864035069942474,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",2,0.857142925262451,0.01,0.798245668411255,"rect",512,0.5
"oocytes_trisopterus_states_5b",2,0.857142925262451,0.01,0.842105209827423,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",2,0.857142925262451,0.01,0.837719321250916,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",2,0.857142913341522,0.1,0.881578922271729,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",3,0.852747297286987,0.1,0.859649181365967,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",4,0.850549483299255,0.01,0.802631556987762,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",2,0.84835170507431,0.1,0.868421018123627,"rect",512,0.5
"oocytes_trisopterus_states_5b",4,0.846153855323791,0.01,0.833333313465118,"rect",256,0.5
"oocytes_trisopterus_states_5b",3,0.846153855323791,0.01,0.837719321250916,"rect",256,0.25
"oocytes_trisopterus_states_5b",3,0.846153855323791,0.1,0.833333373069763,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",2,0.846153855323791,0.01,0.824561476707458,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",4,0.842857170104981,0.01,0.84649121761322,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",8,0.841758275032043,0.1,0.864035069942474,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",4,0.841758275032043,0.01,0.837719321250916,"rect",512,0.25
"oocytes_trisopterus_states_5b",8,0.840659379959106,0.01,0.793859720230103,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",2,0.840659379959106,0.1,0.815789461135864,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",8,0.839560496807098,0.01,0.833333313465118,"rect",1024,0.5
"oocytes_trisopterus_states_5b",2,0.839560484886169,0.1,0.824561417102814,"rect",256,0.5
"oocytes_trisopterus_states_5b",4,0.839560484886169,0.01,0.815789520740509,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",2,0.839560472965241,0.01,0.850877225399017,"rect",1024,0.25
"oocytes_trisopterus_states_5b",8,0.836263799667358,0.01,0.859649121761322,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",8,0.835164904594421,0.1,0.846491277217865,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",4,0.835164904594421,0.01,0.811403512954712,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",4,0.835164904594421,0.1,0.872807025909424,"rect",512,0.5
"oocytes_trisopterus_states_5b",3,0.835164904594421,0.01,0.837719321250916,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",8,0.832967090606689,0.1,0.815789461135864,"rect",256,0.5
"oocytes_trisopterus_states_5b",2,0.831868159770966,0.01,0.859649181365967,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",16,0.829670393466949,0.01,0.789473712444305,"rect",512,0.25
"oocytes_trisopterus_states_5b",16,0.828571462631226,0.01,0.79824560880661,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",2,0.82747255563736,0.1,0.820175468921661,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",4,0.824175834655762,0.01,0.820175468921661,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",3,0.824175834655762,0.01,0.828947365283966,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",3,0.824175834655762,0.01,0.824561417102814,"rect",512,0.5
"oocytes_trisopterus_states_5b",3,0.824175834655762,0.01,0.815789520740509,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",2,0.824175834655762,0.01,0.815789461135864,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",16,0.823076939582825,0.01,0.771929860115051,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",4,0.821978044509888,0.1,0.833333373069763,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",8,0.821978032588959,0.01,0.828947365283966,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",2,0.820879149436951,0.01,0.815789461135864,"rect",512,0.25
"oocytes_trisopterus_states_5b",3,0.817582440376282,0.1,0.850877225399017,"rect",512,0.5
"oocytes_trisopterus_states_5b",2,0.814285778999329,0.01,0.84649121761322,"rect",1024,0.5
"oocytes_trisopterus_states_5b",8,0.814285743236542,0.01,0.820175468921661,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",4,0.813186860084534,0.1,0.828947424888611,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",16,0.812087941169739,0.01,0.815789461135864,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",16,0.810989046096802,0.01,0.807017505168915,"rect",256,0.5
"oocytes_trisopterus_states_5b",8,0.809890162944794,0.01,0.79824560880661,"rect",256,0.25
"oocytes_trisopterus_states_5b",2,0.808791255950928,0.1,0.842105329036713,"rect",512,0.25
"oocytes_trisopterus_states_5b",8,0.800000035762787,0.01,0.802631556987762,"rect",512,0.5
"oocytes_trisopterus_states_5b",4,0.796703362464905,0.1,0.824561417102814,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",4,0.780219829082489,0.1,0.828947365283966,"rect",512,0.25
"oocytes_trisopterus_states_5b",3,0.758241772651672,0.01,0.802631676197052,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",8,0.74285717010498,0.1,0.780701756477356,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",16,0.739560484886169,0.01,0.776315689086914,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",16,0.698901152610779,0.1,0.754385948181152,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",16,0.583516550064087,0.1,0.618421077728271,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",8,0.549450576305389,1,0.578947365283966,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",4,0.541758269071579,1,0.578947365283966,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",3,0.540659368038177,1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,0.1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,0.1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,0.1,0.578947365283966,"rect",512,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,0.1,0.578947365283966,"rect",512,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,0.1,0.578947365283966,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"rect",512,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"rect",512,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"rect",256,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"rect",256,0.5
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947365283966,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",16,0.538461565971374,1,0.578947424888611,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",8,0.538461565971374,0.1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",8,0.538461565971374,0.1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"rect",512,0.25
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"rect",512,0.5
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"rect",256,0.25
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"rect",256,0.5
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",8,0.538461565971374,1,0.578947365283966,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"rect",512,0.25
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"rect",512,0.5
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947424888611,"rect",256,0.25
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"rect",256,0.5
"oocytes_trisopterus_states_5b",4,0.538461565971374,1,0.578947365283966,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"rect",512,0.25
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"rect",512,0.5
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947424888611,"rect",256,0.25
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"rect",256,0.5
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",3,0.538461565971374,1,0.578947365283966,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"rect",512,0.25
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"rect",512,0.5
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"diavolo",512,0.25
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"diavolo",512,0.5
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"rect",256,0.25
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"rect",256,0.5
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"diavolo",256,0.25
"oocytes_trisopterus_states_5b",2,0.538461565971374,1,0.578947365283966,"diavolo",256,0.5
"oocytes_trisopterus_states_5b",4,0.529670357704162,0.1,0.578947365283966,"rect",1024,0.5
"oocytes_trisopterus_states_5b",16,0.503296732902527,0.1,0.407894730567932,"rect",256,0.25
"oocytes_trisopterus_states_5b",16,0.476923108100891,0.1,0.407894730567932,"rect",256,0.5
"oocytes_trisopterus_states_5b",4,0.459340685699135,0.1,0.578947365283966,"rect",1024,0.25
"oocytes_trisopterus_states_5b",16,0.450549483299255,0.1,0.407894730567932,"diavolo",1024,0.25
"oocytes_trisopterus_states_5b",16,0.450549483299255,0.1,0.407894760370255,"diavolo",1024,0.5
"oocytes_trisopterus_states_5b",8,0.424175846762955,0.1,0.0131578948348761,"rect",512,0.5
"oocytes_trisopterus_states_5b",8,0.160439569409937,0.1,0.0131578948348761,"diavolo",1024,0.5
