"dataset","testAccuracy","valAccuracy","learningrate","blockForm","nblocks","bottleneck","nhidden"
"optical",0.962715625762939,0.985583245754242,0.1,"rect",16,0.5,256
"optical",0.968280375003815,0.985190087556839,0.1,"diavolo",8,0.5,256
"optical",0.960489690303802,0.98519002199173,0.1,"rect",3,0.25,512
"optical",0.968280375003815,0.984272688627243,0.1,"rect",2,0.25,256
"optical",0.961602568626404,0.984272682666778,0.1,"diavolo",16,0.25,256
"optical",0.963272094726562,0.984272634983063,0.1,"rect",8,0.5,512
"optical",0.967167377471924,0.984010541439056,0.1,"rect",4,0.25,256
"optical",0.962159097194672,0.983879488706589,0.1,"rect",2,0.5,512
"optical",0.964941561222076,0.983355188369751,0.1,"diavolo",16,0.5,512
"optical",0.967167496681213,0.982962071895599,0.1,"rect",8,0.5,256
"optical",0.973288714885712,0.982962012290954,0.1,"diavolo",16,0.25,1024
"optical",0.966610968112946,0.982568854093552,0.1,"diavolo",4,0.5,512
"optical",0.959933161735535,0.982437819242478,0.1,"rect",16,0.5,512
"optical",0.954368412494659,0.982044613361359,0.1,"rect",8,0.25,1024
"optical",0.960489630699158,0.98204460144043,0.1,"diavolo",3,0.25,256
"optical",0.967167496681213,0.981913566589356,0.1,"rect",4,0.5,256
"optical",0.96661102771759,0.981782495975495,0.1,"rect",3,0.5,512
"optical",0.962159097194672,0.981651443243027,0.1,"rect",3,0.25,1024
"optical",0.971619307994843,0.981651425361634,0.1,"diavolo",2,0.25,256
"optical",0.966054499149323,0.981520366668701,0.1,"rect",8,0.25,512
"optical",0.962715566158295,0.981258249282837,0.1,"diavolo",2,0.5,256
"optical",0.957150816917419,0.980602943897247,0.1,"rect",4,0.25,1024
"optical",0.963828563690186,0.98047189116478,0.01,"rect",2,0.25,512
"optical",0.961046159267426,0.980340838432312,0.1,"rect",8,0.25,256
"optical",0.948247015476227,0.980340838432312,0.01,"rect",3,0.25,256
"optical",0.960489630699158,0.980340838432312,0.1,"rect",3,0.25,256
"optical",0.967723965644836,0.980340838432312,0.1,"rect",2,0.25,512
"optical",0.967167377471924,0.980340838432312,0.1,"rect",2,0.5,256
"optical",0.953811883926392,0.980340814590454,0.1,"rect",2,0.25,1024
"optical",0.961046099662781,0.979947638511658,0.1,"diavolo",8,0.25,512
"optical",0.963828563690186,0.979816579818726,0.01,"rect",3,0.5,256
"optical",0.961602628231049,0.979685527086258,0.1,"diavolo",8,0.5,1024
"optical",0.966054558753967,0.979554462432861,0.1,"rect",3,0.5,256
"optical",0.96661102771759,0.979423403739929,0.1,"diavolo",8,0.5,512
"optical",0.962159037590027,0.979161262512207,0.1,"rect",16,0.25,256
"optical",0.963828504085541,0.979030239582062,0.1,"diavolo",16,0.25,512
"optical",0.970506370067596,0.97889918088913,0.1,"diavolo",4,0.5,256
"optical",0.959376692771912,0.978636980056763,0.1,"diavolo",3,0.5,256
"optical",0.960489690303802,0.978505969047547,0.1,"rect",4,0.25,512
"optical",0.960489690303802,0.978374910354614,0.1,"diavolo",16,0.5,256
"optical",0.964941501617432,0.978374886512756,0.1,"rect",4,0.5,512
"optical",0.956594288349152,0.977719604969025,0.1,"diavolo",2,0.25,1024
"optical",0.959376692771912,0.977719593048096,0.01,"rect",2,0.25,256
"optical",0.962715625762939,0.977719587087631,0.01,"diavolo",2,0.25,512
"optical",0.964941501617432,0.977719581127167,0.01,"rect",2,0.5,512
"optical",0.955481350421906,0.97771954536438,0.01,"rect",2,0.5,256
"optical",0.959933161735535,0.977457493543625,0.01,"rect",3,0.5,512
"optical",0.949916481971741,0.976933234930038,0.01,"rect",8,0.5,256
"optical",0.962715566158295,0.976933193206787,0.01,"rect",4,0.25,256
"optical",0.960489749908447,0.976933193206787,0.1,"diavolo",4,0.25,512
"optical",0.954924881458282,0.976802134513855,0.1,"diavolo",8,0.25,1024
"optical",0.961602628231049,0.976408958435059,0.1,"diavolo",8,0.25,256
"optical",0.955481350421906,0.976146841049194,0.01,"rect",2,0.25,1024
"optical",0.967167496681213,0.975491559505463,0.1,"diavolo",2,0.25,512
"optical",0.959376633167267,0.975229406356812,0.1,"rect",8,0.5,1024
"optical",0.955481290817261,0.975098407268524,0.01,"diavolo",3,0.25,256
"optical",0.961602568626404,0.975098323822021,0.01,"diavolo",4,0.25,256
"optical",0.950473070144653,0.974967312812805,0.01,"rect",4,0.5,512
"optical",0.951029419898987,0.974705183506012,0.01,"rect",4,0.25,512
"optical",0.966610908508301,0.97431201338768,0.1,"diavolo",2,0.5,512
"optical",0.953255474567413,0.97418093085289,0.01,"diavolo",2,0.25,256
"optical",0.955481350421906,0.973787784576416,0.01,"diavolo",2,0.5,256
"optical",0.958820283412933,0.973787748813629,0.1,"diavolo",4,0.25,1024
"optical",0.959933161735535,0.973656678199768,0.1,"diavolo",3,0.25,512
"optical",0.967723965644836,0.973394584655762,0.1,"rect",4,0.5,1024
"optical",0.949360072612762,0.973394548892975,0.1,"diavolo",16,0.5,1024
"optical",0.960489630699158,0.973263508081436,0.1,"diavolo",4,0.5,1024
"optical",0.953811824321747,0.972739231586456,0.1,"diavolo",2,0.5,1024
"optical",0.957150757312775,0.972477096319199,0.1,"rect",3,0.5,1024
"optical",0.958820164203644,0.97195291519165,0.1,"diavolo",4,0.25,256
"optical",0.942682266235352,0.971821784973145,0.01,"diavolo",8,0.5,256
"optical",0.966054439544678,0.971428608894348,0.1,"rect",2,0.5,1024
"optical",0.957150757312775,0.971297562122345,0.01,"diavolo",4,0.25,512
"optical",0.94323867559433,0.971035474538803,0.01,"diavolo",4,0.5,256
"optical",0.948247075080872,0.969986963272095,0.01,"diavolo",3,0.5,256
"optical",0.955481350421906,0.969855904579163,0.1,"diavolo",3,0.5,512
"optical",0.938786864280701,0.969855892658234,0.01,"rect",4,0.5,256
"optical",0.953811883926392,0.969855886697769,0.01,"rect",3,0.25,512
