"dataset","testAccuracy","bottleneck","nhidden","nblocks","blockForm","learningrate","valAccuracy"
"parkinsons",0.918367266654968,0.25,256,3,"rect",0.01,0.96153849363327
"parkinsons",0.836734652519226,0.5,512,4,"diavolo",0.01,0.946153885126114
"parkinsons",0.897959113121033,0.25,512,2,"diavolo",0.1,0.903846204280853
"parkinsons",0.775510191917419,0.25,256,8,"diavolo",0.01,0.896153891086579
"parkinsons",0.836734652519226,0.25,1024,3,"diavolo",0.01,0.888461577892304
"parkinsons",0.857142806053162,0.25,1024,2,"rect",0.1,0.884615433216095
"parkinsons",0.877550959587097,0.25,1024,3,"rect",0.01,0.884615427255631
"parkinsons",0.857142806053162,0.5,512,3,"rect",0.1,0.884615427255631
"parkinsons",0.857142806053162,0.5,1024,3,"diavolo",0.01,0.884615421295166
"parkinsons",0.734693884849548,0.25,512,3,"diavolo",0.01,0.884615421295166
"parkinsons",0.836734652519226,0.5,512,2,"rect",0.01,0.884615421295166
"parkinsons",0.816326498985291,0.25,256,2,"diavolo",0.01,0.884615421295166
"parkinsons",0.795918345451355,0.5,256,2,"rect",0.01,0.884615421295166
"parkinsons",0.836734652519226,0.5,256,2,"diavolo",0.01,0.884615421295166
"parkinsons",0.897959113121033,0.25,1024,2,"diavolo",0.1,0.884615421295166
"parkinsons",0.836734652519226,0.25,1024,8,"rect",0.01,0.880769282579422
"parkinsons",0.938775420188904,0.25,256,2,"rect",0.1,0.880769282579422
"parkinsons",0.897959113121033,0.5,256,2,"rect",0.1,0.880769276618958
"parkinsons",0.918367266654968,0.25,1024,3,"diavolo",0.1,0.880769270658493
"parkinsons",0.836734652519226,0.25,512,8,"diavolo",0.01,0.87692312002182
"parkinsons",0.775510191917419,0.5,256,8,"rect",0.01,0.873076981306076
"parkinsons",0.877550959587097,0.25,1024,16,"rect",0.01,0.873076975345612
"parkinsons",0.897959113121033,0.25,512,16,"rect",0.01,0.873076969385147
"parkinsons",0.775510191917419,0.25,256,8,"diavolo",0.1,0.873076969385147
"parkinsons",0.918367266654968,0.25,512,2,"rect",0.1,0.873076969385147
"parkinsons",0.877550959587097,0.5,1024,8,"rect",0.01,0.873076969385147
"parkinsons",0.877550959587097,0.5,1024,4,"diavolo",0.01,0.869230818748474
"parkinsons",0.857142806053162,0.25,512,3,"rect",0.1,0.869230818748474
"parkinsons",0.836734652519226,0.25,256,3,"rect",0.1,0.865384668111801
"parkinsons",0.775510191917419,0.25,1024,3,"rect",0.1,0.865384662151337
"parkinsons",0.836734652519226,0.25,1024,2,"rect",0.01,0.861538523435593
"parkinsons",0.816326498985291,0.5,512,2,"diavolo",0.1,0.861538517475128
"parkinsons",0.816326498985291,0.25,256,16,"diavolo",0.01,0.861538517475128
"parkinsons",0.857142806053162,0.5,512,4,"rect",0.1,0.861538517475128
"parkinsons",0.795918345451355,0.5,256,8,"diavolo",0.01,0.861538505554199
"parkinsons",0.836734652519226,0.5,1024,2,"rect",0.01,0.861538487672806
"parkinsons",0.877550959587097,0.25,256,2,"diavolo",0.1,0.857692366838455
"parkinsons",0.877550959587097,0.25,512,4,"rect",0.1,0.857692360877991
"parkinsons",0.897959113121033,0.25,256,3,"diavolo",0.1,0.857692354917526
"parkinsons",0.857142806053162,0.25,1024,2,"diavolo",0.01,0.853846216201782
"parkinsons",0.816326498985291,0.5,256,3,"rect",0.01,0.853846210241318
"parkinsons",0.857142806053162,0.25,512,16,"diavolo",0.01,0.853846192359924
"parkinsons",0.877550959587097,0.5,1024,16,"rect",0.01,0.850000077486038
"parkinsons",0.775510191917419,0.5,512,3,"rect",0.01,0.850000065565109
"parkinsons",0.877550959587097,0.5,1024,2,"rect",0.1,0.850000065565109
"parkinsons",0.897959113121033,0.25,256,16,"diavolo",0.1,0.850000059604645
"parkinsons",0.836734652519226,0.25,512,8,"rect",0.01,0.846153914928436
"parkinsons",0.755102038383484,0.25,1024,4,"diavolo",0.01,0.846153914928436
"parkinsons",0.877550959587097,0.25,512,4,"diavolo",0.01,0.846153914928436
"parkinsons",0.857142806053162,0.25,256,4,"rect",0.1,0.846153914928436
"parkinsons",0.816326498985291,0.25,512,2,"rect",0.01,0.846153914928436
"parkinsons",0.897959113121033,0.25,256,2,"rect",0.01,0.846153914928436
"parkinsons",0.836734652519226,0.5,512,2,"rect",0.1,0.846153897047043
"parkinsons",0.836734652519226,0.5,256,2,"diavolo",0.1,0.846153891086578
"parkinsons",0.857142806053162,0.5,256,3,"rect",0.1,0.846153885126114
"parkinsons",0.734693884849548,0.25,1024,8,"diavolo",0.01,0.842307764291763
"parkinsons",0.816326498985291,0.5,512,4,"rect",0.01,0.842307758331299
"parkinsons",0.836734652519226,0.5,1024,4,"rect",0.1,0.83846161365509
"parkinsons",0.816326498985291,0.5,512,3,"diavolo",0.1,0.83846161365509
"parkinsons",0.734693884849548,0.25,512,3,"diavolo",0.1,0.838461565971374
"parkinsons",0.816326498985291,0.5,256,8,"rect",0.1,0.834615463018417
"parkinsons",0.897959113121033,0.5,256,4,"rect",0.1,0.834615463018417
"parkinsons",0.877550959587097,0.5,1024,8,"diavolo",0.01,0.834615445137024
"parkinsons",0.877550959587097,0.5,1024,4,"rect",0.01,0.834615421295166
"parkinsons",0.836734652519226,0.25,512,8,"diavolo",0.1,0.830769312381744
"parkinsons",0.612244844436646,0.5,256,4,"diavolo",0.1,0.830769312381744
"parkinsons",0.857142806053162,0.5,1024,3,"rect",0.1,0.830769312381744
"parkinsons",0.857142806053162,0.25,256,16,"rect",0.01,0.83076930642128
"parkinsons",0.836734652519226,0.5,512,8,"rect",0.01,0.830769294500351
"parkinsons",0.877550959587097,0.5,1024,3,"rect",0.01,0.826923161745071
"parkinsons",0.714285731315613,0.5,1024,2,"diavolo",0.1,0.826923149824143
"parkinsons",0.918367266654968,0.25,256,4,"diavolo",0.1,0.826923143863678
"parkinsons",0.857142806053162,0.25,256,4,"rect",0.01,0.823077011108398
"parkinsons",0.816326498985291,0.5,256,3,"diavolo",0.1,0.823077011108398
"parkinsons",0.714285671710968,0.25,1024,16,"diavolo",0.01,0.823076957464218
"parkinsons",0.673469424247742,0.5,1024,16,"diavolo",0.01,0.819230836629868
"parkinsons",0.673469364643097,0.25,1024,8,"diavolo",0.1,0.819230818748474
"parkinsons",0.816326498985291,0.5,256,8,"diavolo",0.1,0.815384709835053
"parkinsons",0.938775420188904,0.25,1024,4,"diavolo",0.1,0.815384697914123
"parkinsons",0.755102038383484,0.5,1024,4,"diavolo",0.1,0.815384668111801
"parkinsons",0.816326498985291,0.5,256,3,"diavolo",0.01,0.811538559198379
"parkinsons",0.877550959587097,0.25,1024,4,"rect",0.01,0.811538553237915
"parkinsons",0.816326498985291,0.5,512,8,"diavolo",0.01,0.811538541316986
"parkinsons",0.877550959587097,0.25,512,4,"rect",0.01,0.807692408561707
"parkinsons",0.775510191917419,0.25,256,4,"diavolo",0.01,0.807692408561707
"parkinsons",0.734693884849548,0.5,256,4,"diavolo",0.01,0.807692408561707
"parkinsons",0.836734652519226,0.25,256,3,"diavolo",0.01,0.807692408561707
