"dataset","testAccuracy","blockForm","bottleneck","nhidden","learningrate","nblocks","valAccuracy"
"pendigits",0.970840513706207,"diavolo",0.5,256,0.1,3,0.996461987495423
"pendigits",0.965408802032471,"rect",0.25,256,0.1,16,0.996128183603287
"pendigits",0.966266453266144,"rect",0.5,256,0.1,2,0.996061444282532
"pendigits",0.967409908771515,"diavolo",0.5,256,0.1,2,0.996061432361603
"pendigits",0.972841560840607,"diavolo",0.5,256,0.1,4,0.995994687080384
"pendigits",0.965408802032471,"rect",0.25,256,0.01,3,0.995994651317597
"pendigits",0.969696879386902,"rect",0.25,256,0.1,8,0.995927929878235
"pendigits",0.969696938991547,"rect",0.5,256,0.1,8,0.995660901069641
"pendigits",0.967124044895172,"diavolo",0.25,512,0.1,16,0.995594108104706
"pendigits",0.967981696128845,"diavolo",0.25,256,0.01,16,0.995393872261048
"pendigits",0.973413348197937,"diavolo",0.25,256,0.1,4,0.995393812656403
"pendigits",0.966838181018829,"diavolo",0.25,1024,0.1,16,0.995193588733673
"pendigits",0.971698105335236,"rect",0.5,256,0.1,16,0.995126843452454
"pendigits",0.966266334056854,"diavolo",0.25,256,0.1,16,0.994993329048157
"pendigits",0.968839347362518,"rect",0.25,256,0.1,3,0.994859808683396
"pendigits",0.969125211238861,"diavolo",0.25,256,0.01,8,0.994793057441712
"pendigits",0.97369921207428,"diavolo",0.25,256,0.1,8,0.994726306200028
"pendigits",0.965980529785156,"diavolo",0.5,256,0.1,8,0.99445925951004
"pendigits",0.963121831417084,"diavolo",0.5,512,0.1,16,0.994392502307892
"pendigits",0.97484278678894,"rect",0.25,256,0.01,4,0.994192284345627
"pendigits",0.9679816365242,"rect",0.5,512,0.1,8,0.994192242622376
"pendigits",0.972555756568909,"rect",0.5,512,0.01,3,0.994058734178543
"pendigits",0.96483701467514,"diavolo",0.5,256,0.01,2,0.99399197101593
"pendigits",0.9642653465271,"rect",0.25,256,0.01,8,0.993724942207337
"pendigits",0.971412241458893,"rect",0.25,256,0.01,2,0.993658185005188
"pendigits",0.970840454101562,"diavolo",0.25,256,0.01,3,0.993524730205536
"pendigits",0.967695772647858,"rect",0.5,256,0.01,3,0.993457961082459
"pendigits",0.966266393661499,"diavolo",0.5,256,0.1,16,0.993257641792297
"pendigits",0.961120545864105,"rect",0.5,256,0.01,16,0.993190884590149
"pendigits",0.970268726348877,"diavolo",0.5,256,0.01,4,0.99312413930893
"pendigits",0.971126317977905,"rect",0.5,256,0.01,8,0.992256343364716
"pendigits",0.972841620445251,"rect",0.5,256,0.01,2,0.991989302635193
"pendigits",0.960262954235077,"diavolo",0.25,512,0.01,4,0.991121464967728
"pendigits",0.940251529216766,"rect",0.5,1024,0.1,4,0.98444589972496
"pendigits",0.943967938423157,"diavolo",0.5,1024,0.1,8,0.980974608659744
"pendigits",0.959691166877747,"diavolo",0.5,512,0.1,8,0.978905159235001
"pendigits",0.942538499832153,"rect",0.25,256,0.1,4,0.97797064781189
"pendigits",0.943682074546814,"rect",0.25,512,0.1,8,0.976168215274811
"pendigits",0.929674088954926,"rect",0.25,256,0.1,2,0.975700926780701
"pendigits",0.939965605735779,"rect",0.5,256,0.1,4,0.974833053350449
"pendigits",0.930531740188599,"rect",0.5,512,0.1,2,0.970694214105606
"pendigits",0.937678635120392,"diavolo",0.25,256,0.1,2,0.970026654005051
"pendigits",0.921669483184814,"rect",0.5,256,0.1,3,0.969492626190186
"pendigits",0.926243484020233,"rect",0.25,512,0.1,4,0.968558037281037
"pendigits",0.919954240322113,"rect",0.5,512,0.1,4,0.967423212528229
"pendigits",0.939965605735779,"rect",0.5,1024,0.1,3,0.966889148950577
"pendigits",0.934248089790344,"diavolo",0.25,1024,0.1,8,0.965887838602066
"pendigits",0.944539666175842,"rect",0.25,512,0.1,2,0.965754306316376
"pendigits",0.910520255565643,"rect",0.25,1024,0.1,3,0.961682224273682
"pendigits",0.937964558601379,"diavolo",0.5,1024,0.1,4,0.961081403493881
"pendigits",0.93481981754303,"rect",0.5,1024,0.1,2,0.960347098112107
"pendigits",0.915094256401062,"rect",0.25,1024,0.1,2,0.960146826505661
"pendigits",0.915380239486694,"rect",0.25,1024,0.1,4,0.952937233448029
"pendigits",0.920240104198456,"rect",0.5,512,0.1,3,0.951535338163376
"pendigits",0.90651798248291,"diavolo",0.25,512,0.1,8,0.947663533687592
"pendigits",0.890222907066345,"diavolo",0.5,512,0.1,4,0.94626168012619
"pendigits",0.890222907066345,"diavolo",0.25,256,0.1,3,0.946061384677887
"pendigits",0.917667210102081,"diavolo",0.25,512,0.1,4,0.944859737157822
"pendigits",0.904230952262878,"diavolo",0.5,256,0.01,3,0.940320372581482
"pendigits",0.899085164070129,"rect",0.25,512,0.1,3,0.938985276222229
"pendigits",0.901943981647491,"diavolo",0.25,512,0.1,2,0.938785028457642
"pendigits",0.893653452396393,"diavolo",0.5,512,0.1,3,0.930373793840408
"pendigits",0.86706680059433,"diavolo",0.5,512,0.1,2,0.927837097644806
"pendigits",0.901086330413818,"rect",0.5,512,0.01,2,0.927236270904541
"pendigits",0.880503118038177,"diavolo",0.25,512,0.1,3,0.923765033483505
"pendigits",0.881932497024536,"diavolo",0.25,1024,0.1,4,0.923097455501556
"pendigits",0.88965117931366,"diavolo",0.5,1024,0.1,3,0.907743656635285
"pendigits",0.893939316272736,"rect",0.5,256,0.01,4,0.906475293636322
"pendigits",0.872498512268066,"rect",0.5,1024,0.01,2,0.903137505054474
"pendigits",0.866209208965302,"diavolo",0.5,1024,0.1,2,0.895927906036377
"pendigits",0.825042843818665,"diavolo",0.25,256,0.01,4,0.89445925951004
"pendigits",0.856489360332489,"diavolo",0.25,512,0.01,2,0.891855800151825
"pendigits",0.872498512268066,"diavolo",0.25,1024,0.1,2,0.890520668029785
"pendigits",0.815322995185852,"diavolo",0.5,256,0.01,16,0.888250994682312
"pendigits",0.843624889850616,"rect",0.25,1024,0.01,2,0.885647517442703
"pendigits",0.829902768135071,"diavolo",0.25,256,0.01,2,0.876435273885727
"pendigits",0.816180646419525,"rect",0.25,512,0.01,2,0.873164260387421
"pendigits",0.819611191749573,"diavolo",0.25,1024,0.1,3,0.866221654415131
"pendigits",0.78673529624939,"diavolo",0.5,512,0.01,2,0.860413902997971
"pendigits",0.803602039813995,"diavolo",0.25,512,0.01,3,0.856074780225754
"pendigits",0.791881024837494,"rect",0.25,512,0.01,3,0.849933248758316
"pendigits",0.803887844085693,"diavolo",0.5,512,0.01,16,0.844125521183014
"pendigits",0.78359055519104,"rect",0.5,1024,0.01,3,0.840720975399017
"pendigits",0.790451765060425,"rect",0.25,256,0.01,16,0.838050746917725
"pendigits",0.777873039245605,"diavolo",0.5,256,0.01,8,0.826835799217224
"pendigits",0.740423083305359,"rect",0.5,512,0.01,8,0.826502013206482
"pendigits",0.844196617603302,"rect",0.25,1024,0.01,3,0.825433921813965
"pendigits",0.756432235240936,"rect",0.25,512,0.01,4,0.825100141763687
"pendigits",0.827615737915039,"rect",0.5,512,0.01,4,0.820827794075012
"pendigits",0.775014340877533,"rect",0.25,512,0.01,8,0.804606145620346
"pendigits",0.747284114360809,"diavolo",0.5,512,0.01,3,0.799465936422348
"pendigits",0.802172720432281,"rect",0.5,1024,0.01,16,0.788785040378571
"pendigits",0.746426522731781,"diavolo",0.5,512,0.01,4,0.785714286565781
"pendigits",0.769868493080139,"diavolo",0.25,1024,0.01,2,0.784579455852509
"pendigits",0.709262490272522,"rect",0.5,512,0.01,16,0.778237676620483
"pendigits",0.720411717891693,"diavolo",0.5,1024,0.01,2,0.776501995325088
"pendigits",0.727558553218842,"rect",0.25,512,0.01,16,0.767823791503906
"pendigits",0.691252112388611,"rect",0.5,1024,0.01,4,0.760413902997971
"pendigits",0.707261204719543,"diavolo",0.25,512,0.01,16,0.759612828493118
"pendigits",0.6932532787323,"diavolo",0.25,512,0.01,8,0.75814420580864
"pendigits",0.80989134311676,"diavolo",0.5,1024,0.01,16,0.755473989248276
"pendigits",0.699542582035065,"diavolo",0.5,512,0.01,8,0.755140209197998
"pendigits",0.728702068328857,"diavolo",0.25,1024,0.01,4,0.740387201309204
"pendigits",0.754431128501892,"rect",0.25,1024,0.01,4,0.736849147081375
"pendigits",0.688679218292236,"diavolo",0.25,1024,0.01,16,0.731108164787292
"pendigits",0.682389855384827,"diavolo",0.25,1024,0.01,3,0.722696954011917
"pendigits",0.681532263755798,"diavolo",0.5,1024,0.01,4,0.718691593408585
"pendigits",0.639508306980133,"rect",0.25,1024,0.01,16,0.712750363349914
"pendigits",0.68439108133316,"rect",0.5,1024,0.01,8,0.695527386665344
"pendigits",0.668381989002228,"diavolo",0.5,1024,0.01,8,0.667089474201202
"pendigits",0.64808464050293,"rect",0.25,1024,0.01,8,0.655206978321075
"pendigits",0.602344155311584,"diavolo",0.5,1024,0.01,3,0.61455275118351
"pendigits",0.590051412582397,"diavolo",0.25,1024,0.01,8,0.613150888681412
"pendigits",0.103773579001427,"rect",0.25,1024,0.1,16,0.100801073014736
"pendigits",0.103773579001427,"rect",0.5,1024,0.1,16,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,1024,0.1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,512,0.1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,512,0.1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,1024,1,16,0.100801073014736
"pendigits",0.103773593902588,"rect",0.5,1024,1,16,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,1024,1,16,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,1024,1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,512,1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,512,1,16,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,512,1,16,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,512,1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,256,1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,256,1,16,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,256,1,16,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.5,256,1,16,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,1024,0.1,8,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,1024,0.1,8,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,1024,1,8,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,1024,1,8,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,1024,1,8,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.5,1024,1,8,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,512,1,8,0.100801073014736
"pendigits",0.103773579001427,"rect",0.5,512,1,8,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,512,1,8,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,512,1,8,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,256,1,8,0.100801073014736
"pendigits",0.103773579001427,"rect",0.5,256,1,8,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,256,1,8,0.100801073014736
"pendigits",0.103773593902588,"diavolo",0.5,256,1,8,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,1024,1,4,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,1024,1,4,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.25,1024,1,4,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,1024,1,4,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,512,1,4,0.100801073014736
"pendigits",0.103773579001427,"rect",0.5,512,1,4,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.25,512,1,4,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.5,512,1,4,0.100801073014736
"pendigits",0.103773579001427,"rect",0.25,256,1,4,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,256,1,4,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,256,1,4,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,256,1,4,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,1024,1,3,0.100801073014736
"pendigits",0.103773579001427,"rect",0.5,1024,1,3,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,1024,1,3,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,1024,1,3,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,512,1,3,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,512,1,3,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,512,1,3,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,512,1,3,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,256,1,3,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,256,1,3,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.25,256,1,3,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.5,256,1,3,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,1024,1,2,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,1024,1,2,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,1024,1,2,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.5,1024,1,2,0.100801073014736
"pendigits",0.103773579001427,"rect",0.25,512,1,2,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,512,1,2,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,512,1,2,0.100801073014736
"pendigits",0.103773579001427,"diavolo",0.5,512,1,2,0.100801073014736
"pendigits",0.103773586452007,"rect",0.25,256,1,2,0.100801073014736
"pendigits",0.103773586452007,"rect",0.5,256,1,2,0.100801073014736
"pendigits",0.103773586452007,"diavolo",0.25,256,1,2,0.100801073014736
"pendigits",0.103773593902588,"diavolo",0.5,256,1,2,0.100801073014736
