"dataset","bottleneck","nhidden","blockForm","nblocks","learningrate","testAccuracy","valAccuracy"
"pittsburg-bridges-REL-L",0.5,256,"diavolo",2,0.01,0.846153914928436,0.777777791023254
"pittsburg-bridges-REL-L",0.5,1024,"rect",4,0.01,0.846153855323792,0.688888907432556
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",8,0.01,0.538461565971375,0.655555576086044
"pittsburg-bridges-REL-L",0.25,512,"diavolo",4,0.1,0.576923131942749,0.655555576086044
"pittsburg-bridges-REL-L",0.5,256,"rect",3,0.01,0.653846144676208,0.655555576086044
"pittsburg-bridges-REL-L",0.5,512,"diavolo",8,0.01,0.692307710647583,0.655555573105812
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",3,0.1,0.807692348957062,0.644444462656975
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",2,0.1,0.692307710647583,0.63333335518837
"pittsburg-bridges-REL-L",0.5,512,"rect",8,0.01,0.807692348957062,0.633333352208137
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",8,0.01,0.807692348957062,0.633333349227905
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",2,0.1,0.615384638309479,0.622222244739532
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",16,0.01,0.346153855323792,0.6222222417593
"pittsburg-bridges-REL-L",0.25,512,"rect",16,0.01,0.653846144676208,0.6222222417593
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",4,0.01,0.769230782985687,0.6222222417593
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",3,0.01,0.807692348957062,0.611111134290695
"pittsburg-bridges-REL-L",0.25,512,"diavolo",2,0.1,0.692307710647583,0.611111131310463
"pittsburg-bridges-REL-L",0.5,256,"rect",2,0.1,0.576923131942749,0.600000023841858
"pittsburg-bridges-REL-L",0.5,256,"rect",8,0.01,0.46153849363327,0.600000020861626
"pittsburg-bridges-REL-L",0.5,512,"rect",4,0.01,0.769230842590332,0.600000020861626
"pittsburg-bridges-REL-L",0.25,1024,"diavolo",16,0.01,0.769230842590332,0.600000017881393
"pittsburg-bridges-REL-L",0.5,512,"rect",2,0.1,0.692307710647583,0.600000014901161
"pittsburg-bridges-REL-L",0.25,512,"diavolo",16,0.01,0.5,0.588888913393021
"pittsburg-bridges-REL-L",0.25,256,"diavolo",2,0.1,0.692307710647583,0.588888913393021
"pittsburg-bridges-REL-L",0.25,1024,"rect",3,0.01,0.615384638309479,0.588888910412788
"pittsburg-bridges-REL-L",0.25,256,"rect",3,0.01,0.423076957464218,0.588888910412788
"pittsburg-bridges-REL-L",0.25,256,"diavolo",8,0.1,0.730769276618958,0.588888907432556
"pittsburg-bridges-REL-L",0.25,1024,"rect",2,0.1,0.576923131942749,0.588888904452324
"pittsburg-bridges-REL-L",0.5,1024,"rect",16,0.01,0.769230842590332,0.577777796983719
"pittsburg-bridges-REL-L",0.25,512,"diavolo",8,0.01,0.807692408561707,0.577777794003487
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",4,0.01,0.692307710647583,0.577777791023254
"pittsburg-bridges-REL-L",0.5,1024,"diavolo",3,0.01,0.769230842590332,0.566666692495346
"pittsburg-bridges-REL-L",0.25,512,"diavolo",2,0.01,0.615384638309479,0.566666692495346
"pittsburg-bridges-REL-L",0.5,256,"diavolo",2,0.1,0.769230842590332,0.566666692495346
"pittsburg-bridges-REL-L",0.25,256,"rect",3,0.1,0.730769276618958,0.566666689515114
"pittsburg-bridges-REL-L",0.5,512,"diavolo",2,0.1,0.538461565971375,0.566666683554649
"pittsburg-bridges-REL-L",0.5,1024,"rect",2,0.01,0.692307710647583,0.566666680574417
"pittsburg-bridges-REL-L",0.5,512,"diavolo",2,0.01,0.653846144676208,0.555555582046509
"pittsburg-bridges-REL-L",0.5,256,"diavolo",4,0.1,0.692307710647583,0.555555579066277
