"dataset","valAccuracy","bottleneck","blockForm","nblocks","nhidden","testAccuracy","learningrate"
"pittsburg-bridges-TYPE",0.630769252777099,0.5,"diavolo",8,512,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.607692331075668,0.5,"diavolo",8,256,0.615384697914124,0.01
"pittsburg-bridges-TYPE",0.600000023841858,0.25,"rect",16,1024,0.615384638309479,0.01
"pittsburg-bridges-TYPE",0.592307716608047,0.5,"rect",3,512,0.538461565971375,0.1
"pittsburg-bridges-TYPE",0.569230824708939,0.25,"rect",2,512,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.561538487672806,0.5,"diavolo",8,1024,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.55384618639946,0.5,"diavolo",4,512,0.615384697914124,0.1
"pittsburg-bridges-TYPE",0.553846180438995,0.25,"rect",4,1024,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.546153873205185,0.25,"rect",3,256,0.423076957464218,0.01
"pittsburg-bridges-TYPE",0.538461565971374,0.5,"diavolo",3,512,0.615384638309479,0.01
"pittsburg-bridges-TYPE",0.530769258737564,0.25,"rect",8,1024,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.530769258737564,0.5,"rect",8,256,0.5,0.01
"pittsburg-bridges-TYPE",0.530769258737564,0.5,"diavolo",3,512,0.423076957464218,0.1
"pittsburg-bridges-TYPE",0.523076951503754,0.5,"diavolo",2,1024,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.515384644269943,0.5,"rect",2,256,0.576923131942749,0.1
"pittsburg-bridges-TYPE",0.515384644269943,0.25,"rect",2,1024,0.5,0.01
"pittsburg-bridges-TYPE",0.515384644269943,0.5,"diavolo",2,512,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.515384644269943,0.25,"rect",2,1024,0.423076927661896,0.1
"pittsburg-bridges-TYPE",0.507692342996597,0.25,"diavolo",2,512,0.423076957464218,0.1
"pittsburg-bridges-TYPE",0.507692337036133,0.5,"diavolo",4,1024,0.730769276618958,0.01
"pittsburg-bridges-TYPE",0.507692337036133,0.25,"diavolo",3,512,0.692307770252228,0.01
"pittsburg-bridges-TYPE",0.507692337036133,0.25,"rect",8,512,0.615384638309479,0.01
"pittsburg-bridges-TYPE",0.500000029802322,0.25,"diavolo",3,1024,0.5,0.1
"pittsburg-bridges-TYPE",0.500000029802322,0.5,"rect",3,256,0.538461565971375,0.1
"pittsburg-bridges-TYPE",0.500000029802322,0.5,"rect",2,512,0.384615421295166,0.01
"pittsburg-bridges-TYPE",0.500000029802322,0.5,"rect",4,1024,0.538461565971375,0.01
"pittsburg-bridges-TYPE",0.492307722568512,0.25,"diavolo",8,512,0.615384697914124,0.01
"pittsburg-bridges-TYPE",0.492307722568512,0.25,"diavolo",4,512,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.492307722568512,0.5,"rect",4,256,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.492307722568512,0.25,"rect",2,512,0.46153849363327,0.1
"pittsburg-bridges-TYPE",0.492307722568512,0.5,"rect",2,512,0.576923131942749,0.1
"pittsburg-bridges-TYPE",0.484615418314934,0.25,"diavolo",4,256,0.307692348957062,0.1
"pittsburg-bridges-TYPE",0.484615415334702,0.25,"rect",4,256,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.484615415334702,0.25,"diavolo",3,512,0.346153855323792,0.1
"pittsburg-bridges-TYPE",0.484615415334701,0.5,"diavolo",4,256,0.423076957464218,0.1
"pittsburg-bridges-TYPE",0.484615409374237,0.25,"diavolo",8,256,0.346153855323792,0.01
"pittsburg-bridges-TYPE",0.476923108100891,0.5,"rect",8,1024,0.653846204280853,0.01
"pittsburg-bridges-TYPE",0.476923108100891,0.25,"rect",16,512,0.576923131942749,0.01
"pittsburg-bridges-TYPE",0.469230800867081,0.25,"diavolo",8,1024,0.346153855323792,0.01
"pittsburg-bridges-TYPE",0.469230800867081,0.25,"rect",2,256,0.576923131942749,0.01
