"dataset","testAccuracy","nhidden","nblocks","bottleneck","valAccuracy","blockForm","learningrate"
"plant-texture",0.799999952316284,1024,8,0.25,0.812060284614563,"rect",0.1
"plant-texture",0.804999947547913,1024,8,0.5,0.802010029554367,"rect",0.1
"plant-texture",0.762500047683716,512,2,0.25,0.789949750900269,"rect",0.1
"plant-texture",0.777499973773956,1024,8,0.5,0.784924602508545,"diavolo",0.1
"plant-texture",0.772499978542328,512,8,0.5,0.769849210977554,"rect",0.1
"plant-texture",0.73499995470047,1024,2,0.25,0.76834169626236,"diavolo",0.1
"plant-texture",0.762499928474426,1024,4,0.25,0.767839217185974,"rect",0.1
"plant-texture",0.749999940395355,512,8,0.5,0.765829104185104,"diavolo",0.1
"plant-texture",0.752500057220459,256,2,0.25,0.761809056997299,"rect",0.1
"plant-texture",0.762499928474426,1024,2,0.25,0.758793950080872,"rect",0.1
"plant-texture",0.752499997615814,1024,8,0.25,0.754773855209351,"diavolo",0.1
"plant-texture",0.777500033378601,512,3,0.5,0.754271310567856,"rect",0.1
"plant-texture",0.782500028610229,1024,4,0.5,0.753768837451935,"rect",0.1
"plant-texture",0.777500033378601,1024,3,0.25,0.748743665218353,"rect",0.1
"plant-texture",0.762500047683716,1024,16,0.25,0.744723570346832,"diavolo",0.1
"plant-texture",0.717499971389771,1024,2,0.5,0.742713564634323,"rect",0.1
"plant-texture",0.757500052452087,512,3,0.25,0.74271354675293,"rect",0.1
"plant-texture",0.702499985694885,512,2,0.25,0.738190948963165,"rect",0.01
"plant-texture",0.762499988079071,512,4,0.5,0.736683416366577,"rect",0.1
"plant-texture",0.787499964237213,512,2,0.5,0.735678350925446,"rect",0.1
"plant-texture",0.772499978542328,512,2,0.25,0.735175853967667,"diavolo",0.1
"plant-texture",0.719999969005585,512,4,0.25,0.734170824289322,"rect",0.1
"plant-texture",0.745000004768372,256,2,0.25,0.733668297529221,"diavolo",1
"plant-texture",0.759999990463257,1024,3,0.5,0.732160800695419,"rect",0.1
"plant-texture",0.764999985694885,512,8,0.25,0.730150717496872,"rect",0.1
"plant-texture",0.739999949932098,256,2,0.25,0.728643184900284,"diavolo",0.1
"plant-texture",0.737499952316284,512,3,0.25,0.728140670061111,"diavolo",0.1
"plant-texture",0.752499938011169,256,3,0.25,0.726130646467209,"diavolo",1
"plant-texture",0.789999961853027,256,2,0.5,0.726130628585815,"rect",0.1
"plant-texture",0.767500042915344,256,3,0.5,0.724120563268661,"rect",0.1
"plant-texture",0.744999945163727,512,4,0.5,0.723618084192276,"diavolo",0.1
"plant-texture",0.719999969005585,1024,4,0.5,0.723618066310883,"diavolo",0.1
"plant-texture",0.717499971389771,512,2,0.5,0.722110509872437,"rect",0.01
"plant-texture",0.689999938011169,256,3,0.5,0.720100492238999,"rect",0.01
"plant-texture",0.730000019073486,1024,3,0.25,0.718592923879623,"diavolo",0.1
"plant-texture",0.744999945163727,512,2,0.5,0.717085391283035,"diavolo",0.1
"plant-texture",0.684999942779541,1024,3,0.5,0.716080367565155,"diavolo",0.1
"plant-texture",0.717499971389771,1024,4,0.25,0.706030130386353,"diavolo",0.1
"plant-texture",0.697499930858612,1024,2,0.5,0.706030130386353,"diavolo",0.1
"plant-texture",0.757499933242798,256,3,0.25,0.705025100708008,"rect",0.1
"plant-texture",0.712499976158142,512,8,0.25,0.7045225918293,"diavolo",0.1
"plant-texture",0.720000028610229,256,4,0.5,0.702010041475296,"rect",0.1
"plant-texture",0.697499990463257,256,8,0.5,0.701004987955093,"diavolo",0.1
"plant-texture",0.712500035762787,1024,2,0.5,0.699999988079071,"rect",0.01
