"dataset","nhidden","learningrate","nblocks","bottleneck","blockForm","testAccuracy","valAccuracy"
"primary-tumor",256,0.01,3,0.25,"diavolo",0.390243887901306,0.466666680574417
"primary-tumor",512,0.01,16,0.25,"rect",0.451219499111176,0.441666695475578
"primary-tumor",256,0.01,16,0.25,"diavolo",0.5,0.408333349227905
"primary-tumor",1024,0.1,3,0.25,"diavolo",0.5,0.405555576086044
"primary-tumor",512,0.1,4,0.5,"rect",0.463414639234543,0.405555564165115
"primary-tumor",1024,0.01,16,0.5,"rect",0.475609749555588,0.402777794003487
"primary-tumor",1024,0.01,2,0.25,"diavolo",0.341463387012482,0.402777776122093
"primary-tumor",512,0.1,8,0.25,"diavolo",0.512195110321045,0.394444465637207
"primary-tumor",256,0.1,2,0.25,"diavolo",0.512195110321045,0.39444445669651
"primary-tumor",1024,0.01,2,0.25,"rect",0.426829278469086,0.386111119389534
"primary-tumor",512,0.01,2,0.25,"rect",0.414634108543396,0.386111119389534
"primary-tumor",256,0.1,3,0.5,"rect",0.48780483007431,0.383333343267441
"primary-tumor",1024,0.01,8,0.25,"diavolo",0.414634108543396,0.380555561184883
"primary-tumor",1024,0.1,2,0.25,"diavolo",0.475609719753265,0.377777796983719
"primary-tumor",512,0.01,3,0.5,"diavolo",0.426829278469086,0.377777779102326
"primary-tumor",512,0.01,2,0.5,"rect",0.52439022064209,0.375
"primary-tumor",1024,0.01,8,0.25,"rect",0.48780483007431,0.366666686534882
"primary-tumor",1024,0.1,4,0.5,"diavolo",0.475609719753265,0.366666686534882
"primary-tumor",1024,0.01,16,0.5,"diavolo",0.439024358987808,0.366666680574417
"primary-tumor",256,0.1,3,0.25,"rect",0.463414639234543,0.361111134290695
"primary-tumor",512,0.01,3,0.25,"diavolo",0.390243887901306,0.361111131310463
"primary-tumor",512,0.01,4,0.25,"diavolo",0.341463387012482,0.361111104488373
"primary-tumor",512,0.1,4,0.25,"rect",0.46341460943222,0.358333358168602
"primary-tumor",512,0.1,3,0.5,"rect",0.451219528913498,0.358333349227905
"primary-tumor",256,0.01,16,0.5,"diavolo",0.426829248666763,0.358333346247673
"primary-tumor",512,0.1,4,0.25,"diavolo",0.487804889678955,0.355555582046509
"primary-tumor",1024,0.1,2,0.5,"rect",0.52439022064209,0.355555582046509
"primary-tumor",256,0.1,8,0.5,"diavolo",0.475609749555588,0.352777794003487
"primary-tumor",512,0.1,3,0.25,"diavolo",0.5,0.350000020861626
"primary-tumor",1024,0.01,16,0.25,"diavolo",0.439024358987808,0.350000008940697
"primary-tumor",1024,0.1,8,0.25,"diavolo",0.475609749555588,0.3472222417593
"primary-tumor",1024,0.01,2,0.5,"diavolo",0.353658527135849,0.344444459676743
"primary-tumor",1024,0.1,4,0.25,"diavolo",0.5,0.344444453716278
"primary-tumor",512,0.1,2,0.5,"rect",0.536585330963135,0.341666692495346
