"dataset","testAccuracy","nhidden","nblocks","learningrate","bottleneck","blockForm","valAccuracy"
"seeds",0.865384638309479,256,16,0.01,0.25,"diavolo",1
"seeds",0.903846204280853,512,4,0.01,0.25,"rect",1
"seeds",0.846153855323792,256,4,0.01,0.25,"diavolo",1
"seeds",0.903846204280853,256,4,0.1,0.25,"rect",1
"seeds",0.884615421295166,1024,16,0.01,0.25,"diavolo",0.995454549789429
"seeds",0.884615421295166,1024,3,0.1,0.5,"rect",0.990909099578857
"seeds",0.865384638309479,256,2,0.1,0.25,"diavolo",0.990909099578857
"seeds",0.884615421295166,512,2,0.1,0.5,"diavolo",0.990909093618393
"seeds",0.884615421295166,512,16,0.01,0.5,"rect",0.986363649368286
"seeds",0.884615421295166,1024,2,0.01,0.25,"rect",0.986363649368286
"seeds",0.865384697914124,1024,8,0.01,0.5,"rect",0.986363643407822
"seeds",0.903846204280853,1024,3,0.01,0.25,"diavolo",0.981818199157715
"seeds",0.884615421295166,256,3,0.01,0.5,"rect",0.981818199157715
"seeds",0.903846204280853,256,2,0.1,0.5,"rect",0.981818199157715
"seeds",0.884615421295166,512,2,0.1,0.25,"rect",0.98181819319725
"seeds",0.846153855323792,1024,16,0.01,0.5,"rect",0.981818187236786
"seeds",0.884615421295166,1024,8,0.01,0.25,"diavolo",0.977272748947143
"seeds",0.884615421295166,1024,4,0.01,0.25,"rect",0.977272748947143
"seeds",0.884615421295166,512,4,0.01,0.5,"diavolo",0.972727298736572
"seeds",0.865384638309479,512,3,0.01,0.25,"rect",0.968181848526001
"seeds",0.923076987266541,512,8,0.01,0.25,"rect",0.968181842565536
"seeds",0.865384638309479,256,3,0.1,0.25,"diavolo",0.968181842565536
"seeds",0.865384697914124,1024,2,0.1,0.25,"diavolo",0.968181842565536
"seeds",0.903846204280853,1024,3,0.1,0.25,"rect",0.96363639831543
"seeds",0.865384638309479,256,8,0.01,0.5,"rect",0.959090948104858
"seeds",0.884615421295166,512,4,0.1,0.25,"diavolo",0.959090948104858
"seeds",0.846153855323792,512,8,0.01,0.25,"diavolo",0.959090936183929
"seeds",0.884615421295166,1024,3,0.1,0.5,"diavolo",0.959090936183929
"seeds",0.884615421295166,512,3,0.1,0.25,"rect",0.959090936183929
"seeds",0.865384697914124,1024,8,0.01,0.25,"rect",0.959090924263
"seeds",0.884615421295166,1024,2,0.1,0.25,"rect",0.959090924263
"seeds",0.903846204280853,256,8,0.1,0.25,"rect",0.959090924263
"seeds",0.865384638309479,256,16,0.01,0.25,"rect",0.954545497894287
"seeds",0.865384638309479,1024,4,0.01,0.25,"diavolo",0.954545497894287
"seeds",0.865384697914124,256,4,0.01,0.5,"diavolo",0.954545497894287
"seeds",0.923076987266541,256,3,0.01,0.25,"rect",0.954545497894287
"seeds",0.903846204280853,1024,2,0.01,0.5,"rect",0.954545497894287
"seeds",0.865384638309479,256,2,0.01,0.25,"rect",0.954545497894287
"seeds",0.884615421295166,256,2,0.01,0.25,"diavolo",0.954545497894287
"seeds",0.884615421295166,1024,4,0.01,0.5,"rect",0.954545485973358
"seeds",0.865384697914124,1024,8,0.01,0.5,"diavolo",0.954545480012894
"seeds",0.903846204280853,256,8,0.01,0.25,"rect",0.950000041723251
"seeds",0.865384697914124,256,8,0.01,0.25,"diavolo",0.950000041723251
"seeds",0.884615421295166,1024,3,0.01,0.25,"rect",0.950000041723251
"seeds",0.884615421295166,1024,2,0.1,0.5,"rect",0.950000029802322
"seeds",0.884615421295166,1024,16,0.01,0.25,"rect",0.950000017881393
"seeds",0.846153855323792,512,3,0.01,0.5,"rect",0.950000017881393
"seeds",0.884615421295166,512,16,0.01,0.25,"diavolo",0.94090912938118
"seeds",0.884615421295166,512,3,0.1,0.25,"diavolo",0.94090912938118
"seeds",0.884615421295166,256,2,0.1,0.25,"rect",0.94090912938118
"seeds",0.865384638309479,256,3,0.1,0.5,"rect",0.940909123420715
"seeds",0.865384638309479,256,2,0.1,0.5,"diavolo",0.940909117460251
"seeds",0.846153855323792,512,8,0.01,0.5,"diavolo",0.936363673210144
"seeds",0.884615421295166,256,4,0.1,0.5,"rect",0.931818217039108
"seeds",0.884615421295166,256,4,0.1,0.25,"diavolo",0.931818205118179
"seeds",0.903846204280853,1024,3,0.01,0.5,"diavolo",0.922727304697037
"seeds",0.884615421295166,512,3,0.1,0.5,"diavolo",0.922727304697037
"seeds",0.865384697914124,512,2,0.1,0.5,"rect",0.922727292776108
"seeds",0.865384697914124,256,16,0.01,0.5,"rect",0.918181854486465
"seeds",0.846153855323792,512,16,0.01,0.25,"rect",0.918181848526001
"seeds",0.884615421295166,512,8,0.1,0.25,"diavolo",0.918181848526001
"seeds",0.865384638309479,1024,4,0.1,0.25,"diavolo",0.918181848526001
"seeds",0.865384697914124,512,4,0.1,0.5,"rect",0.918181848526001
"seeds",0.826923131942749,512,3,0.1,0.5,"rect",0.918181848526001
"seeds",0.884615421295166,1024,8,0.1,0.25,"diavolo",0.913636392354965
"seeds",0.846153855323792,512,16,0.01,0.5,"diavolo",0.909090942144394
"seeds",0.903846204280853,256,8,0.1,0.25,"diavolo",0.909090936183929
"seeds",0.865384697914124,512,4,0.01,0.25,"diavolo",0.909090936183929
"seeds",0.903846204280853,256,4,0.01,0.25,"rect",0.909090936183929
"seeds",0.865384697914124,1024,4,0.1,0.5,"diavolo",0.909090936183929
"seeds",0.903846204280853,512,4,0.1,0.5,"diavolo",0.909090936183929
"seeds",0.826923131942749,1024,3,0.01,0.5,"rect",0.909090936183929
"seeds",0.942307710647583,256,3,0.01,0.25,"diavolo",0.909090936183929
"seeds",0.903846204280853,1024,3,0.1,0.25,"diavolo",0.909090936183929
"seeds",0.884615421295166,256,3,0.1,0.5,"diavolo",0.909090936183929
"seeds",0.846153914928436,512,2,0.01,0.25,"rect",0.909090936183929
"seeds",0.865384638309479,256,2,0.01,0.5,"rect",0.909090936183929
"seeds",0.884615421295166,1024,2,0.1,0.5,"diavolo",0.909090936183929
"seeds",0.903846204280853,1024,4,0.01,0.5,"diavolo",0.904545491933823
"seeds",0.846153914928436,256,16,0.01,0.5,"diavolo",0.904545480012894
"seeds",0.884615421295166,512,4,0.1,0.25,"rect",0.904545480012894
"seeds",0.865384697914124,256,4,0.1,0.5,"diavolo",0.904545480012894
"seeds",0.807692408561707,256,3,0.1,0.25,"rect",0.904545480012894
"seeds",0.884615421295166,512,8,0.01,0.5,"rect",0.900000029802322
"seeds",0.903846204280853,512,3,0.01,0.5,"diavolo",0.900000023841858
"seeds",0.865384697914124,512,2,0.1,0.25,"diavolo",0.900000023841858
"seeds",0.846153914928436,512,4,0.01,0.5,"rect",0.895454573631287
"seeds",0.788461625576019,1024,2,0.01,0.5,"diavolo",0.895454573631287
"seeds",0.865384638309479,256,8,0.1,0.5,"rect",0.895454567670822
"seeds",0.807692408561707,1024,16,0.01,0.5,"diavolo",0.872727286815643
"seeds",0.846153914928436,256,4,0.01,0.5,"rect",0.863636374473572
"seeds",0.846153914928436,512,3,0.01,0.25,"diavolo",0.863636374473572
"seeds",0.865384638309479,512,2,0.01,0.5,"rect",0.863636374473572
"seeds",0.865384697914124,256,2,0.01,0.5,"diavolo",0.863636374473572
"seeds",0.865384697914124,256,8,0.01,0.5,"diavolo",0.845454573631287
"seeds",0.923076987266541,1024,2,0.01,0.25,"diavolo",0.845454573631287
"seeds",0.769230782985687,256,8,0.1,0.5,"diavolo",0.827272754907608
"seeds",0.788461625576019,512,2,0.01,0.25,"diavolo",0.818181872367859
"seeds",0.788461625576019,256,3,0.01,0.5,"diavolo",0.772727310657501
"seeds",0.653846204280853,512,2,0.01,0.5,"diavolo",0.727272748947143
"seeds",0.326923072338104,1024,4,0.1,0.5,"rect",0.440909114480019
"seeds",0.326923072338104,512,8,0.1,0.5,"diavolo",0.440909108519554
"seeds",0.346153855323792,1024,16,0.1,0.25,"diavolo",0.363636374473572
"seeds",0.346153855323792,256,4,1,0.25,"diavolo",0.363636368513107
"seeds",0.346153855323792,256,16,0.1,0.5,"rect",0.345454549789429
"seeds",0.346153855323792,256,2,1,0.25,"diavolo",0.345454549789429
"seeds",0.326923072338104,512,8,0.1,0.25,"rect",0.340909096598625
"seeds",0.346153855323792,256,3,1,0.25,"diavolo",0.340909096598625
"seeds",0.346153855323792,512,4,1,0.5,"rect",0.340909090638161
"seeds",0.326923102140427,512,8,0.1,0.5,"rect",0.336363649368286
"seeds",0.346153855323792,1024,8,0.1,0.25,"rect",0.336363637447357
"seeds",0.346153855323792,256,3,1,0.5,"diavolo",0.336363637447357
"seeds",0.346153855323792,512,2,1,0.25,"rect",0.336363637447357
"seeds",0.346153855323792,1024,8,0.1,0.5,"rect",0.32727273106575
"seeds",0.346153855323792,1024,16,0.1,0.5,"rect",0.327272725105286
"seeds",0.346153855323792,512,16,1,0.25,"diavolo",0.327272725105286
"seeds",0.346153855323792,1024,4,1,0.25,"diavolo",0.327272725105286
"seeds",0.346153855323792,1024,4,1,0.5,"rect",0.327272725105286
"seeds",0.346153855323792,512,4,1,0.25,"rect",0.327272725105286
"seeds",0.346153855323792,512,4,1,0.5,"diavolo",0.327272725105286
"seeds",0.346153855323792,1024,3,1,0.5,"rect",0.327272725105286
"seeds",0.346153855323792,1024,3,1,0.5,"diavolo",0.327272725105286
"seeds",0.346153855323792,512,3,1,0.5,"diavolo",0.327272725105286
"seeds",0.346153855323792,256,3,1,0.5,"rect",0.327272725105286
"seeds",0.346153855323792,1024,2,1,0.5,"rect",0.327272725105286
"seeds",0.346153855323792,512,2,1,0.5,"rect",0.327272725105286
"seeds",0.346153855323792,512,2,1,0.5,"diavolo",0.327272725105286
"seeds",0.346153855323792,256,2,1,0.5,"rect",0.327272725105286
"seeds",0.346153855323792,256,4,1,0.5,"rect",0.322727271914482
"seeds",0.346153855323792,512,3,1,0.5,"rect",0.322727271914482
"seeds",0.346153855323792,1024,2,1,0.25,"diavolo",0.322727271914482
"seeds",0.346153855323792,1024,8,1,0.25,"diavolo",0.32272726893425
"seeds",0.326923102140427,1024,4,0.1,0.25,"rect",0.318181827664375
"seeds",0.346153855323792,512,2,1,0.25,"diavolo",0.318181818723679
"seeds",0.346153855323792,256,2,1,0.5,"diavolo",0.318181818723679
"seeds",0.346153855323792,1024,16,0.1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,1024,16,0.1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,512,16,0.1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,512,16,0.1,0.5,"rect",0.318181812763214
"seeds",0.346153855323792,1024,16,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,1024,16,1,0.25,"diavolo",0.318181812763214
"seeds",0.346153855323792,1024,16,1,0.5,"rect",0.318181812763214
"seeds",0.346153855323792,1024,16,1,0.5,"diavolo",0.318181812763214
