"dataset","nblocks","valAccuracy","nhidden","learningrate","bottleneck","testAccuracy","blockForm"
"spambase",8,0.938545513153076,256,0.1,0.25,0.946086943149567,"rect"
"spambase",3,0.937454605102539,256,0.1,0.25,0.941739141941071,"rect"
"spambase",4,0.93690915107727,512,0.1,0.5,0.933043479919434,"diavolo"
"spambase",8,0.93418185710907,512,0.01,0.25,0.93217396736145,"rect"
"spambase",16,0.933636426925659,256,0.1,0.5,0.938260793685913,"rect"
"spambase",4,0.933636403083801,256,0.01,0.25,0.933043539524078,"rect"
"spambase",4,0.933454596996308,256,0.1,0.5,0.947826147079468,"diavolo"
"spambase",2,0.933272790908814,256,0.1,0.25,0.940869569778442,"diavolo"
"spambase",4,0.932727301120758,256,0.01,0.5,0.933913052082062,"rect"
"spambase",8,0.932545518875122,512,0.1,0.5,0.944347858428955,"rect"
"spambase",3,0.932545518875122,256,0.1,0.25,0.936521768569946,"diavolo"
"spambase",3,0.932000064849854,512,0.1,0.5,0.940000057220459,"rect"
"spambase",2,0.932000041007996,512,0.1,0.25,0.939130544662476,"rect"
"spambase",4,0.93163640499115,512,0.1,0.25,0.93739128112793,"rect"
"spambase",8,0.931454610824585,256,0.1,0.25,0.930434823036194,"diavolo"
"spambase",16,0.930727338790894,256,0.1,0.25,0.936521828174591,"rect"
"spambase",8,0.930727338790894,256,0.1,0.5,0.941739201545715,"rect"
"spambase",3,0.930727303028107,256,0.01,0.5,0.940869569778442,"rect"
"spambase",16,0.930545520782471,256,0.1,0.5,0.939130425453186,"diavolo"
"spambase",16,0.930363690853119,256,0.1,0.25,0.945217430591583,"diavolo"
"spambase",16,0.930181837081909,256,0.01,0.25,0.93478262424469,"diavolo"
"spambase",2,0.929272794723511,256,0.1,0.5,0.933913111686707,"diavolo"
"spambase",16,0.929090917110443,512,0.1,0.5,0.935652136802673,"rect"
"spambase",2,0.928545510768891,256,0.1,0.5,0.937391340732574,"rect"
"spambase",2,0.928363704681397,1024,0.1,0.25,0.945217490196228,"rect"
"spambase",3,0.928181886672974,512,0.1,0.5,0.931304395198822,"diavolo"
"spambase",16,0.928181886672974,512,0.1,0.5,0.93478262424469,"diavolo"
"spambase",8,0.927818250656128,512,0.1,0.5,0.931304395198822,"diavolo"
"spambase",3,0.927818250656128,1024,0.1,0.5,0.933043479919434,"diavolo"
"spambase",4,0.927818238735199,512,0.1,0.25,0.937391400337219,"diavolo"
"spambase",16,0.927636432647705,1024,0.1,0.25,0.933913111686707,"diavolo"
"spambase",8,0.927454614639282,512,0.1,0.25,0.946087002754211,"rect"
"spambase",4,0.927454614639282,256,0.1,0.5,0.930434823036194,"rect"
"spambase",2,0.927454614639282,1024,0.1,0.5,0.93478262424469,"diavolo"
"spambase",2,0.927090966701508,256,0.01,0.5,0.93217396736145,"rect"
"spambase",2,0.926545512676239,256,0.1,0.25,0.936521768569946,"rect"
"spambase",8,0.92654550075531,1024,0.1,0.5,0.920869588851929,"diavolo"
"spambase",4,0.926363706588745,1024,0.1,0.5,0.937391400337219,"rect"
"spambase",2,0.926363706588745,512,0.01,0.25,0.92956531047821,"diavolo"
"spambase",3,0.925636422634125,256,0.1,0.5,0.939130485057831,"diavolo"
"spambase",3,0.925272786617279,1024,0.1,0.5,0.940000057220459,"rect"
"spambase",3,0.924909162521362,1024,0.1,0.25,0.933913111686707,"diavolo"
"spambase",2,0.924909144639969,512,0.1,0.5,0.936521768569946,"rect"
"spambase",3,0.924909126758576,512,0.1,0.25,0.93217396736145,"diavolo"
"spambase",2,0.924545526504517,512,0.1,0.25,0.933913111686707,"diavolo"
"spambase",8,0.924545514583588,512,0.1,0.25,0.931304395198822,"diavolo"
"spambase",8,0.924363708496094,1024,0.1,0.25,0.940869688987732,"diavolo"
"spambase",2,0.924363708496094,1024,0.1,0.5,0.93478262424469,"rect"
"spambase",2,0.924363660812378,256,0.01,0.5,0.930434823036194,"diavolo"
