"dataset","blockForm","nblocks","learningrate","testAccuracy","bottleneck","nhidden","valAccuracy"
"spectf","rect",4,0.01,0.700534760951996,0.5,256,0.69047623872757
"spectf","diavolo",3,0.01,0.812834143638611,0.25,512,0.671428602933884
"spectf","diavolo",2,0.01,0.63101601600647,0.5,256,0.633333367109299
"spectf","diavolo",4,0.01,0.336898386478424,0.5,256,0.595238125324249
"spectf","rect",3,0.01,0.882352948188782,0.25,1024,0.580952417850494
"spectf","rect",16,0.01,0.818181872367859,0.25,256,0.561904793977737
"spectf","diavolo",3,0.01,0.66844916343689,0.5,512,0.5571428835392
"spectf","rect",3,0.01,0.620320796966553,0.5,256,0.552380979061127
"spectf","rect",8,0.01,0.743315458297729,0.5,1024,0.547619080543518
"spectf","diavolo",8,0.01,0.860962510108948,0.25,256,0.542857176065445
"spectf","rect",3,0.01,0.647058844566345,0.25,512,0.542857176065445
"spectf","rect",8,0.01,0.914438605308533,0.25,1024,0.54285717010498
"spectf","rect",4,0.01,0.866310179233551,0.25,512,0.538095265626907
"spectf","diavolo",3,0.01,0.604278087615967,0.5,256,0.538095265626907
"spectf","diavolo",8,0.1,0.51871657371521,0.5,512,0.533333367109299
"spectf","diavolo",8,0.01,0.625668406486511,0.25,512,0.533333361148834
"spectf","diavolo",4,0.01,0.657754004001617,0.25,512,0.533333361148834
"spectf","diavolo",2,0.01,0.620320856571198,0.25,1024,0.533333361148834
"spectf","diavolo",2,0.1,0.63101601600647,0.25,1024,0.533333361148834
"spectf","rect",8,0.01,0.695187211036682,0.25,256,0.533333358168602
"spectf","rect",16,0.01,0.796791434288025,0.25,1024,0.528571456670761
"spectf","diavolo",8,0.01,0.673796772956848,0.5,256,0.528571456670761
"spectf","diavolo",4,0.1,0.860962629318237,0.25,512,0.528571456670761
"spectf","rect",3,0.1,0.919786214828491,0.5,1024,0.528571456670761
"spectf","rect",2,0.01,0.775401055812836,0.5,1024,0.528571456670761
"spectf","diavolo",2,0.1,0.598930478096008,0.5,256,0.528571456670761
"spectf","diavolo",16,0.01,0.919786214828491,0.25,1024,0.523809552192688
"spectf","rect",16,0.01,0.919786214828491,0.25,512,0.523809552192688
"spectf","rect",16,0.01,0.919786214828491,0.5,256,0.523809552192688
"spectf","diavolo",16,0.01,0.893048167228699,0.5,256,0.523809552192688
"spectf","diavolo",4,0.1,0.721925139427185,0.5,256,0.523809552192688
"spectf","rect",2,0.01,0.663101613521576,0.25,512,0.523809552192688
"spectf","rect",2,0.1,0.66844916343689,0.5,1024,0.519047647714615
"spectf","rect",16,0.01,0.459893047809601,0.5,512,0.519047647714615
"spectf","diavolo",4,0.1,0.604278087615967,0.25,1024,0.519047647714615
"spectf","rect",3,0.1,0.919786214828491,0.25,512,0.519047647714615
"spectf","rect",3,0.1,0.534759402275085,0.5,512,0.519047647714615
"spectf","diavolo",2,0.01,0.877005398273468,0.25,512,0.519047647714615
"spectf","rect",3,0.1,0.636363625526428,0.5,256,0.514285743236542
"spectf","diavolo",8,0.01,0.882353007793427,0.25,1024,0.514285743236542
"spectf","diavolo",8,0.1,0.919786214828491,0.25,512,0.514285743236542
"spectf","diavolo",8,0.1,0.919786214828491,0.5,256,0.514285743236542
"spectf","diavolo",3,0.1,0.919786214828491,0.5,1024,0.514285743236542
"spectf","diavolo",3,0.1,0.919786095619202,0.5,512,0.514285743236542
"spectf","rect",2,0.01,0.807486653327942,0.5,512,0.514285743236542
"spectf","rect",2,0.1,0.133689850568771,0.25,1024,0.514285743236542
"spectf","rect",8,0.1,0.919786214828491,0.5,256,0.509523838758469
"spectf","diavolo",3,0.01,0.716577529907227,0.25,256,0.509523838758469
"spectf","diavolo",16,0.01,0.66844916343689,0.25,512,0.509523838758469
"spectf","diavolo",16,0.1,0.919786214828491,0.5,256,0.509523838758469
"spectf","diavolo",8,0.1,0.0802139043807983,0.25,1024,0.509523838758469
"spectf","diavolo",8,0.1,0.919786214828491,0.25,256,0.509523838758469
"spectf","diavolo",4,0.01,0.620320856571198,0.25,256,0.509523838758469
"spectf","diavolo",4,0.1,0.358288764953613,0.5,1024,0.509523838758469
"spectf","rect",4,0.1,0.877005338668823,0.5,512,0.509523838758469
"spectf","diavolo",8,0.01,0.823529422283173,0.5,1024,0.504761934280396
"spectf","rect",8,0.1,0.919786095619202,0.25,256,0.504761934280395
"spectf","rect",2,0.01,0.764705836772919,0.5,256,0.504761934280395
"spectf","rect",8,0.1,0.0802139043807983,0.5,512,0.500000035762787
"spectf","rect",3,0.01,0.51871657371521,0.5,1024,0.500000035762787
