"dataset","testAccuracy","nhidden","valAccuracy","nblocks","bottleneck","blockForm","learningrate"
"statlog-heart",0.865671634674072,512,0.855555546283722,16,0.25,"diavolo",0.01
"statlog-heart",0.835820913314819,256,0.848148119449615,16,0.25,"diavolo",0.1
"statlog-heart",0.820895493030548,256,0.822222220897675,4,0.5,"rect",0.01
"statlog-heart",0.850746214389801,512,0.814814805984497,8,0.5,"rect",0.01
"statlog-heart",0.820895493030548,256,0.814814805984497,8,0.5,"diavolo",0.01
"statlog-heart",0.835820913314819,512,0.814814805984497,8,0.5,"diavolo",0.1
"statlog-heart",0.805970132350922,512,0.814814805984497,3,0.5,"diavolo",0.01
"statlog-heart",0.850746273994446,512,0.811111104488373,16,0.25,"rect",0.01
"statlog-heart",0.701492547988892,256,0.811111104488373,4,0.5,"diavolo",0.01
"statlog-heart",0.820895493030548,1024,0.811111104488373,3,0.5,"diavolo",0.01
"statlog-heart",0.865671634674072,1024,0.807407402992249,16,0.5,"diavolo",0.01
"statlog-heart",0.850746273994446,512,0.807407402992249,8,0.25,"diavolo",0.1
"statlog-heart",0.835820913314819,256,0.803703701496124,8,0.25,"rect",0.1
"statlog-heart",0.865671634674072,256,0.803703701496124,4,0.25,"diavolo",0.1
"statlog-heart",0.850746273994446,512,0.796296298503876,3,0.5,"diavolo",0.1
"statlog-heart",0.865671634674072,1024,0.792592602968216,2,0.5,"rect",0.1
"statlog-heart",0.850746273994446,256,0.788888895511627,16,0.5,"rect",0.01
"statlog-heart",0.865671634674072,1024,0.788888895511627,2,0.25,"diavolo",0.1
"statlog-heart",0.820895552635193,256,0.785185194015503,2,0.25,"rect",0.1
"statlog-heart",0.850746273994446,1024,0.781481492519379,16,0.5,"rect",0.01
"statlog-heart",0.835820913314819,512,0.781481492519379,2,0.5,"diavolo",0.1
"statlog-heart",0.850746273994446,1024,0.777777791023254,2,0.5,"diavolo",0.1
"statlog-heart",0.865671634674072,1024,0.777777791023254,4,0.5,"rect",0.01
"statlog-heart",0.835820913314819,512,0.777777791023254,4,0.25,"diavolo",0.1
"statlog-heart",0.850746273994446,256,0.777777791023254,4,0.5,"diavolo",0.1
"statlog-heart",0.835820913314819,1024,0.777777791023254,3,0.5,"diavolo",0.1
"statlog-heart",0.776119351387024,512,0.77407408952713,8,0.25,"diavolo",0.01
"statlog-heart",0.865671634674072,1024,0.77407408952713,4,0.5,"diavolo",0.1
"statlog-heart",0.850746273994446,512,0.77407408952713,2,0.25,"rect",0.01
"statlog-heart",0.820895493030548,1024,0.766666686534882,3,0.25,"diavolo",0.01
"statlog-heart",0.805970132350922,512,0.766666686534882,2,0.25,"diavolo",0.01
"statlog-heart",0.835820913314819,512,0.766666686534882,2,0.5,"rect",0.1
"statlog-heart",0.761193990707397,256,0.759259283542633,3,0.25,"diavolo",0.01
"statlog-heart",0.820895493030548,256,0.751851880550385,8,0.25,"diavolo",0.01
