"dataset","nhidden","valAccuracy","nblocks","learningrate","bottleneck","testAccuracy","blockForm"
"statlog-landsat",256,0.936252772808075,3,0.1,0.5,0.905500113964081,"rect"
"statlog-landsat",256,0.932815968990326,16,0.1,0.25,0.911500036716461,"diavolo"
"statlog-landsat",256,0.930266082286835,8,0.1,0.25,0.902500033378601,"rect"
"statlog-landsat",256,0.929711759090424,8,0.1,0.25,0.900500059127808,"diavolo"
"statlog-landsat",256,0.929600894451141,3,0.1,0.25,0.90800005197525,"rect"
"statlog-landsat",256,0.928824841976166,8,0.1,0.5,0.90500009059906,"diavolo"
"statlog-landsat",512,0.927827060222626,16,0.1,0.25,0.909500062465668,"diavolo"
"statlog-landsat",256,0.927827060222626,4,0.1,0.5,0.903000056743622,"diavolo"
"statlog-landsat",256,0.927605330944061,3,0.1,0.5,0.902500033378601,"diavolo"
"statlog-landsat",256,0.927494466304779,16,0.1,0.5,0.910500049591064,"diavolo"
"statlog-landsat",512,0.926940143108368,8,0.1,0.5,0.902500033378601,"diavolo"
"statlog-landsat",256,0.924057650566101,2,0.1,0.5,0.908000111579895,"diavolo"
"statlog-landsat",256,0.922949016094208,16,0.1,0.25,0.909500062465668,"rect"
"statlog-landsat",256,0.922172963619232,4,0.1,0.5,0.904000103473663,"rect"
"statlog-landsat",256,0.920509994029999,4,0.1,0.25,0.903500020503998,"diavolo"
"statlog-landsat",512,0.919623076915741,16,0.1,0.5,0.907500088214874,"diavolo"
"statlog-landsat",256,0.918625295162201,3,0.1,0.25,0.90800005197525,"diavolo"
"statlog-landsat",512,0.918514430522919,8,0.1,0.5,0.908000111579895,"rect"
"statlog-landsat",1024,0.918292701244354,16,0.1,0.25,0.895500063896179,"diavolo"
"statlog-landsat",512,0.918181830644608,8,0.1,0.25,0.899500012397766,"diavolo"
"statlog-landsat",256,0.917960101366043,2,0.1,0.25,0.904000103473663,"diavolo"
"statlog-landsat",256,0.916962325572968,16,0.1,0.5,0.89000004529953,"rect"
"statlog-landsat",256,0.91629713177681,2,0.1,0.25,0.902000069618225,"rect"
"statlog-landsat",256,0.916297113895416,8,0.1,0.5,0.898500084877014,"rect"
"statlog-landsat",512,0.915631932020187,4,0.1,0.5,0.894500076770782,"diavolo"
"statlog-landsat",512,0.914523273706436,4,0.1,0.25,0.906000018119812,"diavolo"
"statlog-landsat",512,0.913968950510025,4,0.1,0.5,0.906000018119812,"rect"
"statlog-landsat",256,0.913968926668167,4,0.1,0.25,0.891500055789948,"rect"
"statlog-landsat",512,0.913525515794754,8,0.1,0.25,0.90149998664856,"rect"
"statlog-landsat",512,0.91208428144455,2,0.1,0.25,0.903999984264374,"rect"
"statlog-landsat",512,0.910643023252487,3,0.1,0.25,0.895500063896179,"diavolo"
"statlog-landsat",1024,0.907871401309967,8,0.1,0.5,0.892000079154968,"diavolo"
"statlog-landsat",256,0.906762719154358,8,0.01,0.5,0.877500057220459,"rect"
"statlog-landsat",512,0.906208401918411,3,0.1,0.5,0.891000032424927,"rect"
"statlog-landsat",512,0.906097531318665,3,0.1,0.5,0.896500110626221,"diavolo"
"statlog-landsat",256,0.904323697090149,3,0.01,0.25,0.892000019550323,"rect"
"statlog-landsat",256,0.901995539665222,4,0.01,0.25,0.879500091075897,"rect"
"statlog-landsat",256,0.901995539665222,2,0.1,0.5,0.894500017166138,"rect"
"statlog-landsat",256,0.9008868932724,16,0.01,0.25,0.885500013828278,"rect"
"statlog-landsat",256,0.900665181875229,2,0.01,0.25,0.889500081539154,"rect"
"statlog-landsat",256,0.899113059043884,8,0.01,0.5,0.876000106334686,"diavolo"
"statlog-landsat",256,0.89889132976532,8,0.01,0.25,0.885000109672546,"diavolo"
"statlog-landsat",256,0.898337006568909,16,0.01,0.5,0.890500009059906,"diavolo"
"statlog-landsat",512,0.89789354801178,4,0.1,0.25,0.882500052452087,"rect"
