"dataset","bottleneck","learningrate","testAccuracy","nblocks","blockForm","nhidden","valAccuracy"
"statlog-shuttle",0.5,0.1,0.999172925949097,3,"diavolo",1024,0.999054396152496
"statlog-shuttle",0.5,0.1,0.998690187931061,2,"diavolo",1024,0.999031615257263
"statlog-shuttle",0.25,0.1,0.998828113079071,3,"diavolo",512,0.999020206928253
"statlog-shuttle",0.5,0.01,0.998207449913025,4,"rect",1024,0.998997420072556
"statlog-shuttle",0.5,0.1,0.998552262783051,4,"diavolo",1024,0.998986029624939
"statlog-shuttle",0.25,0.01,0.995655715465546,16,"rect",1024,0.998860663175583
"statlog-shuttle",0.25,0.1,0.999103963375092,3,"diavolo",1024,0.998815071582794
"statlog-shuttle",0.5,0.01,0.999103963375092,4,"rect",512,0.998769474029541
"statlog-shuttle",0.25,0.1,0.998759150505066,3,"rect",1024,0.998735296726227
"statlog-shuttle",0.5,0.01,0.997103929519653,2,"rect",512,0.998678255081177
"statlog-shuttle",0.25,0.1,0.998690187931061,2,"rect",1024,0.99866686463356
"statlog-shuttle",0.25,0.1,0.998345375061035,8,"diavolo",256,0.998632717132569
"statlog-shuttle",0.5,0.1,0.998207449913025,2,"diavolo",512,0.998598515987396
"statlog-shuttle",0.25,0.1,0.998966038227081,4,"diavolo",1024,0.998552930355072
"statlog-shuttle",0.5,0.01,0.998897075653076,8,"rect",1024,0.998541527986527
"statlog-shuttle",0.5,0.01,0.998897075653076,16,"rect",1024,0.998530143499375
"statlog-shuttle",0.5,0.1,0.999241888523102,4,"diavolo",256,0.998495954275131
"statlog-shuttle",0.25,0.1,0.998966038227081,8,"diavolo",1024,0.998473143577576
"statlog-shuttle",0.25,0.1,0.998759150505066,2,"diavolo",256,0.998427540063858
"statlog-shuttle",0.25,0.1,0.998690187931061,3,"rect",512,0.998347765207291
"statlog-shuttle",0.5,0.1,0.997862637042999,16,"diavolo",256,0.998347741365433
"statlog-shuttle",0.5,0.1,0.996483325958252,4,"diavolo",512,0.998302149772644
"statlog-shuttle",0.5,0.01,0.997655689716339,2,"rect",1024,0.998245203495026
"statlog-shuttle",0.25,0.1,0.998552262783051,2,"rect",512,0.99822239279747
"statlog-shuttle",0.25,0.1,0.995517790317535,4,"diavolo",512,0.998165416717529
"statlog-shuttle",0.5,0.1,0.994690239429474,3,"diavolo",512,0.998119819164276
"statlog-shuttle",0.25,0.01,0.998138427734375,2,"diavolo",1024,0.998119819164276
"statlog-shuttle",0.25,0.1,0.998207449913025,16,"diavolo",256,0.998108410835266
"statlog-shuttle",0.25,0.1,0.999103963375092,2,"diavolo",1024,0.99807420372963
"statlog-shuttle",0.25,0.1,0.998207449913025,2,"diavolo",512,0.9979716360569
"statlog-shuttle",0.25,0.1,0.992897212505341,4,"rect",512,0.997948861122131
"statlog-shuttle",0.5,0.1,0.998483300209045,2,"rect",512,0.997891861200333
"statlog-shuttle",0.25,0.01,0.997862637042999,2,"rect",1024,0.997846275568009
"statlog-shuttle",0.25,0.01,0.998621225357056,8,"rect",1024,0.997846269607544
"statlog-shuttle",0.5,0.01,0.998552262783051,4,"rect",256,0.997755098342896
"statlog-shuttle",0.5,0.1,0.99827641248703,2,"diavolo",256,0.997743713855744
"statlog-shuttle",0.5,0.1,0.994000554084778,8,"diavolo",512,0.997663938999176
"statlog-shuttle",0.25,0.01,0.994828224182129,8,"diavolo",1024,0.997618335485458
"statlog-shuttle",0.25,0.01,0.996759176254272,3,"rect",1024,0.997606939077377
"statlog-shuttle",0.25,0.1,0.998069524765015,8,"diavolo",512,0.997515767812729
"statlog-shuttle",0.5,0.01,0.994276463985443,3,"diavolo",1024,0.997401767969131
"statlog-shuttle",0.5,0.1,0.998069524765015,4,"rect",512,0.997390395402908
"statlog-shuttle",0.25,0.1,0.994621276855469,4,"diavolo",256,0.997356224060059
"statlog-shuttle",0.5,0.01,0.99544882774353,2,"diavolo",1024,0.997321993112564
