"dataset","blockForm","learningrate","nhidden","valAccuracy","testAccuracy","nblocks","bottleneck"
"thyroid","rect",0.1,1024,0.978433918952942,0.97987174987793,16,0.25
"thyroid","rect",0.1,512,0.973299145698547,0.978121399879456,16,0.5
"thyroid","rect",0.1,256,0.970346635580063,0.970536887645721,16,0.5
"thyroid","diavolo",0.1,256,0.969704806804657,0.966744542121887,16,0.25
"thyroid","diavolo",0.1,1024,0.969062966108322,0.967036247253418,16,0.25
"thyroid","rect",0.1,256,0.968677854537964,0.966744542121887,16,0.25
"thyroid","diavolo",0.1,256,0.967907655239105,0.965285956859589,8,0.25
"thyroid","diavolo",0.1,512,0.967907601594925,0.963535726070404,16,0.5
"thyroid","diavolo",0.1,256,0.966238802671433,0.95974338054657,16,0.5
"thyroid","rect",0.1,256,0.964698368310928,0.961493730545044,2,0.5
"thyroid","rect",0.1,512,0.964441639184952,0.96586936712265,8,0.25
"thyroid","rect",0.1,256,0.964441639184952,0.962077140808105,2,0.25
"thyroid","diavolo",0.1,256,0.964313274621964,0.964410841464996,3,0.25
"thyroid","rect",0.1,256,0.963799798488617,0.963535666465759,4,0.5
"thyroid","rect",0.1,256,0.963543075323105,0.961785316467285,4,0.25
"thyroid","diavolo",0.1,256,0.963543051481247,0.95770138502121,8,0.5
"thyroid","rect",0.1,512,0.96341467499733,0.962660610675812,8,0.5
"thyroid","rect",0.1,256,0.963286310434342,0.966452896595001,3,0.25
"thyroid","rect",0.1,512,0.963157939910889,0.966452836990356,3,0.25
"thyroid","rect",0.1,512,0.963157933950424,0.956826269626617,2,0.25
"thyroid","rect",0.1,512,0.963029581308365,0.964702546596527,4,0.25
"thyroid","rect",0.1,1024,0.962387728691101,0.967911422252655,2,0.25
"thyroid","rect",0.1,1024,0.962387722730637,0.964702546596527,4,0.25
"thyroid","rect",0.1,512,0.962259352207184,0.963535666465759,2,0.5
"thyroid","rect",0.1,256,0.962002611160279,0.965577661991119,8,0.5
"thyroid","rect",0.1,256,0.961617511510849,0.96586936712265,8,0.25
"thyroid","rect",0.1,512,0.961232393980026,0.961493670940399,4,0.5
"thyroid","rect",0.1,256,0.960077047348022,0.95974338054657,3,0.5
"thyroid","rect",0.1,1024,0.959691941738129,0.967036306858063,8,0.25
"thyroid","rect",0.1,1024,0.959563583135605,0.954492509365082,3,0.5
"thyroid","rect",0.1,1024,0.959306854009628,0.960618555545807,2,0.5
"thyroid","rect",0.1,1024,0.959050112962723,0.959159910678864,4,0.5
