"dataset","bottleneck","testAccuracy","learningrate","nblocks","nhidden","valAccuracy","blockForm"
"vertebral-column-2clases",0.25,0.831168830394745,0.01,4,256,0.929787242412567,"rect"
"vertebral-column-2clases",0.25,0.844155848026276,0.1,2,512,0.923404258489609,"diavolo"
"vertebral-column-2clases",0.25,0.753246784210205,0.01,16,512,0.921276605129242,"diavolo"
"vertebral-column-2clases",0.5,0.779220759868622,0.01,16,512,0.919148945808411,"diavolo"
"vertebral-column-2clases",0.25,0.766233801841736,0.1,3,512,0.919148945808411,"diavolo"
"vertebral-column-2clases",0.5,0.896103918552399,0.1,3,256,0.917021286487579,"diavolo"
"vertebral-column-2clases",0.25,0.883116900920868,0.1,2,1024,0.914893627166748,"diavolo"
"vertebral-column-2clases",0.5,0.896103918552399,0.1,2,512,0.904255330562592,"rect"
"vertebral-column-2clases",0.5,0.883116900920868,0.1,2,512,0.90212767124176,"diavolo"
"vertebral-column-2clases",0.5,0.844155848026276,0.1,4,1024,0.90212767124176,"rect"
"vertebral-column-2clases",0.25,0.909090936183929,0.1,4,512,0.90212767124176,"diavolo"
"vertebral-column-2clases",0.25,0.870129883289337,0.1,3,1024,0.900000011920929,"diavolo"
"vertebral-column-2clases",0.5,0.870129883289337,0.01,4,1024,0.900000011920929,"rect"
"vertebral-column-2clases",0.5,0.831168830394745,0.1,3,1024,0.900000011920929,"diavolo"
"vertebral-column-2clases",0.5,0.870129883289337,0.1,3,512,0.897872352600098,"diavolo"
"vertebral-column-2clases",0.5,0.857142865657806,0.1,2,256,0.895744693279267,"diavolo"
"vertebral-column-2clases",0.5,0.857142865657806,0.01,3,1024,0.893617033958435,"rect"
"vertebral-column-2clases",0.25,0.857142865657806,0.01,2,256,0.893617033958435,"rect"
"vertebral-column-2clases",0.5,0.844155848026276,0.01,3,256,0.893617033958435,"rect"
"vertebral-column-2clases",0.25,0.896103918552399,0.1,3,512,0.893617033958435,"rect"
"vertebral-column-2clases",0.25,0.753246784210205,0.01,4,512,0.893617033958435,"rect"
"vertebral-column-2clases",0.25,0.883116900920868,0.1,4,512,0.891489374637604,"rect"
"vertebral-column-2clases",0.25,0.74025970697403,0.01,2,256,0.891489374637604,"diavolo"
"vertebral-column-2clases",0.5,0.83116888999939,0.01,2,1024,0.891489368677139,"rect"
"vertebral-column-2clases",0.5,0.857142865657806,0.1,4,1024,0.887234055995941,"diavolo"
"vertebral-column-2clases",0.5,0.779220759868622,0.01,2,256,0.887234055995941,"diavolo"
"vertebral-column-2clases",0.5,0.740259766578674,0.01,2,256,0.88510639667511,"rect"
