"dataset","blockForm","testAccuracy","nhidden","valAccuracy","learningrate","bottleneck","nblocks"
"waveform","rect",0.835999965667725,512,0.895263195037842,0.1,0.25,3
"waveform","diavolo",0.833599984645844,512,0.891929841041565,0.1,0.5,2
"waveform","diavolo",0.832799971103668,512,0.889473724365234,0.1,0.25,4
"waveform","rect",0.848800003528595,1024,0.888947397470474,0.1,0.25,2
"waveform","diavolo",0.843199968338013,1024,0.885789489746094,0.1,0.25,8
"waveform","rect",0.836800038814545,512,0.883859688043594,0.1,0.25,4
"waveform","rect",0.845600008964539,256,0.883333379030228,0.1,0.25,3
"waveform","diavolo",0.855199933052063,1024,0.882280743122101,0.1,0.25,4
"waveform","diavolo",0.832799911499023,256,0.881929862499237,0.1,0.5,4
"waveform","rect",0.858399987220764,1024,0.881929862499237,0.1,0.5,2
"waveform","diavolo",0.843999981880188,1024,0.881754422187805,0.1,0.25,3
"waveform","diavolo",0.839999973773956,512,0.881403541564941,0.1,0.25,3
"waveform","rect",0.843199968338013,512,0.881052660942078,0.1,0.5,2
"waveform","diavolo",0.844799995422363,256,0.880701756477356,0.1,0.5,8
"waveform","diavolo",0.844799935817719,1024,0.880350887775421,0.1,0.5,4
"waveform","diavolo",0.835999965667725,1024,0.880350887775421,0.01,0.5,8
"waveform","diavolo",0.834399938583374,512,0.880175465345383,0.1,0.5,4
"waveform","rect",0.843199968338013,512,0.879122847318649,0.1,0.5,3
"waveform","diavolo",0.827999949455261,1024,0.877193027734756,0.1,0.25,2
"waveform","rect",0.821599900722504,1024,0.876666671037674,0.01,0.25,16
"waveform","rect",0.835199952125549,256,0.875964951515198,0.1,0.25,2
"waveform","diavolo",0.848799884319305,1024,0.875789523124695,0.1,0.5,2
"waveform","rect",0.831999957561493,512,0.87526319026947,0.01,0.25,2
"waveform","diavolo",0.840799987316132,512,0.875087714195251,0.01,0.25,16
"waveform","rect",0.834400057792664,256,0.874736857414246,0.1,0.5,8
"waveform","diavolo",0.831199944019318,256,0.87456146478653,0.1,0.5,2
"waveform","diavolo",0.829599976539612,1024,0.874385964870453,0.01,0.25,4
"waveform","rect",0.844799995422363,256,0.874210560321808,0.1,0.5,2
"waveform","rect",0.841599941253662,1024,0.874210548400879,0.01,0.5,2
"waveform","rect",0.834399878978729,512,0.873859697580337,0.01,0.5,4
"waveform","rect",0.846400022506714,256,0.873684257268906,0.1,0.5,4
"waveform","diavolo",0.845599949359894,256,0.872105294466019,0.1,0.25,3
"waveform","diavolo",0.832799911499023,256,0.87017548084259,0.1,0.25,4
"waveform","diavolo",0.828799962997437,1024,0.869473731517792,0.01,0.5,4
"waveform","rect",0.83759993314743,512,0.869298273324966,0.01,0.5,2
"waveform","diavolo",0.82479989528656,512,0.868947410583496,0.01,0.25,3
"waveform","diavolo",0.83759993314743,512,0.868947404623032,0.1,0.5,8
"waveform","rect",0.829599976539612,1024,0.868771946430207,0.1,0.25,3
"waveform","rect",0.838399946689606,1024,0.868421059846878,0.01,0.25,3
"waveform","diavolo",0.823199927806854,512,0.867543905973434,0.01,0.5,4
"waveform","rect",0.818400025367737,1024,0.867017590999603,0.01,0.5,4
"waveform","diavolo",0.82480001449585,512,0.865964990854263,0.01,0.5,8
"waveform","rect",0.824000060558319,256,0.865964937210083,0.01,0.5,2
"waveform","diavolo",0.833599984645844,256,0.865789520740509,0.1,0.5,3
"waveform","diavolo",0.832799911499023,512,0.865789479017258,0.01,0.5,2
"waveform","diavolo",0.823199987411499,512,0.865438628196716,0.01,0.25,8
"waveform","rect",0.828799962997437,256,0.865263193845749,0.1,0.25,4
"waveform","rect",0.819999933242798,256,0.865087747573853,0.01,0.5,3
"waveform","diavolo",0.832000017166138,256,0.86438599228859,0.1,0.25,8
"waveform","rect",0.818399906158447,256,0.864035141468048,0.01,0.5,4
"waveform","diavolo",0.823199987411499,1024,0.862982475757599,0.01,0.5,2
"waveform","diavolo",0.828799962997437,256,0.862807035446167,0.01,0.5,8
"waveform","diavolo",0.822399973869324,256,0.861228114366531,0.01,0.25,3
"waveform","diavolo",0.826399922370911,512,0.861228096485138,0.1,0.25,8
