"dataset","nhidden","blockForm","nblocks","testAccuracy","bottleneck","valAccuracy","learningrate"
"wine-quality-white",256,"diavolo",4,0.630719006061554,0.5,0.627643775939941,0.1
"wine-quality-white",256,"diavolo",4,0.629085004329681,0.25,0.624675309658051,0.1
"wine-quality-white",256,"rect",4,0.656862795352936,0.5,0.621892380714417,0.1
"wine-quality-white",256,"diavolo",16,0.617647051811218,0.5,0.621150261163712,0.1
"wine-quality-white",256,"rect",3,0.633169949054718,0.5,0.612987005710602,0.1
"wine-quality-white",256,"rect",2,0.624183058738708,0.25,0.610946154594421,0.1
"wine-quality-white",256,"rect",8,0.607843160629272,0.5,0.610760658979416,0.1
"wine-quality-white",256,"diavolo",3,0.608660161495209,0.25,0.609090900421143,0.1
"wine-quality-white",512,"diavolo",16,0.632352948188782,0.25,0.608348786830902,0.1
"wine-quality-white",256,"rect",2,0.608660161495209,0.5,0.605936902761459,0.1
"wine-quality-white",256,"diavolo",16,0.607843220233917,0.25,0.605194795131683,0.1
"wine-quality-white",256,"diavolo",8,0.634803950786591,0.25,0.603710544109345,0.1
"wine-quality-white",256,"rect",8,0.629084944725037,0.25,0.603339499235153,0.1
"wine-quality-white",256,"diavolo",2,0.626634061336517,0.25,0.598886811733246,0.1
"wine-quality-white",256,"rect",4,0.625,0.25,0.598701274394989,0.1
"wine-quality-white",512,"diavolo",16,0.626634001731873,0.5,0.598701268434525,0.1
"wine-quality-white",256,"rect",16,0.624183058738708,0.25,0.598144692182541,0.1
"wine-quality-white",256,"diavolo",3,0.605392217636108,0.5,0.597588109970093,0.1
"wine-quality-white",256,"diavolo",2,0.617647111415863,0.5,0.595361769199371,0.1
"wine-quality-white",256,"diavolo",8,0.61601310968399,0.5,0.587198513746262,0.1
"wine-quality-white",512,"rect",8,0.6217320561409,0.5,0.586641919612885,0.1
"wine-quality-white",256,"rect",3,0.570261478424072,0.25,0.584230041503906,0.1
"wine-quality-white",512,"diavolo",8,0.561274528503418,0.25,0.540074199438095,0.1
"wine-quality-white",256,"diavolo",3,0.524509847164154,0.25,0.533580684661865,0.01
"wine-quality-white",256,"rect",4,0.540849685668945,0.5,0.532838577032089,0.01
"wine-quality-white",512,"diavolo",4,0.542483687400818,0.25,0.530797761678696,0.1
"wine-quality-white",512,"rect",3,0.552287578582764,0.25,0.528942477703094,0.1
"wine-quality-white",256,"rect",3,0.542483627796173,0.25,0.52894247174263,0.01
"wine-quality-white",512,"rect",4,0.561274528503418,0.5,0.526345080137253,0.1
"wine-quality-white",512,"diavolo",2,0.557189583778381,0.5,0.525602948665619,0.1
"wine-quality-white",512,"rect",4,0.570261478424072,0.25,0.523562145233154,0.1
"wine-quality-white",1024,"diavolo",8,0.558823585510254,0.5,0.522448951005936,0.1
"wine-quality-white",512,"diavolo",4,0.548202693462372,0.5,0.522077897191048,0.1
"wine-quality-white",512,"rect",3,0.549019694328308,0.5,0.520408153533936,0.1
"wine-quality-white",512,"rect",2,0.558823585510254,0.25,0.520408147573471,0.1
"wine-quality-white",512,"diavolo",3,0.558823585510254,0.25,0.518923914432526,0.1
"wine-quality-white",512,"rect",2,0.499183028936386,0.5,0.517625218629837,0.01
"wine-quality-white",512,"rect",8,0.555555582046509,0.25,0.517254155874252,0.1
"wine-quality-white",1024,"diavolo",16,0.52532684803009,0.25,0.516512036323547,0.1
"wine-quality-white",256,"rect",2,0.523692846298218,0.25,0.515398871898651,0.01
"wine-quality-white",512,"rect",2,0.526960849761963,0.5,0.513914638757706,0.1
"wine-quality-white",512,"diavolo",8,0.560457587242126,0.5,0.512986993789673,0.1
"wine-quality-white",256,"rect",3,0.5343137383461,0.5,0.512430408596992,0.01
"wine-quality-white",1024,"rect",3,0.543300628662109,0.5,0.51168829202652,0.1
"wine-quality-white",256,"diavolo",8,0.52532684803009,0.5,0.511502760648727,0.01
"wine-quality-white",1024,"diavolo",4,0.531862795352936,0.25,0.510575130581856,0.1
"wine-quality-white",256,"diavolo",2,0.509803950786591,0.5,0.510204064846039,0.01
"wine-quality-white",1024,"rect",3,0.544934630393982,0.25,0.505751365423203,0.1
"wine-quality-white",1024,"rect",4,0.522058844566345,0.5,0.505194786190987,0.1
"wine-quality-white",1024,"diavolo",3,0.546568691730499,0.25,0.501113158464432,0.1
"wine-quality-white",256,"rect",16,0.545751690864563,0.5,0.499257868528366,0.01
"wine-quality-white",512,"diavolo",16,0.515522837638855,0.25,0.49888681769371,0.01
"wine-quality-white",512,"diavolo",16,0.531862795352936,0.5,0.498701286315918,0.01
"wine-quality-white",512,"rect",2,0.527777791023254,0.25,0.498144695162773,0.01
"wine-quality-white",512,"diavolo",2,0.555555582046509,0.25,0.496474939584732,0.1
"wine-quality-white",256,"rect",16,0.446895450353622,0.25,0.493877521157265,0.01
"wine-quality-white",512,"diavolo",4,0.485294163227081,0.25,0.493506473302841,0.01
"wine-quality-white",1024,"diavolo",8,0.540032744407654,0.25,0.491836714744568,0.1
"wine-quality-white",512,"diavolo",8,0.5,0.25,0.491651192307472,0.01
"wine-quality-white",256,"diavolo",16,0.523692846298218,0.25,0.490166965126991,0.01
"wine-quality-white",256,"rect",8,0.523692846298218,0.5,0.489981439709663,0.01
"wine-quality-white",1024,"rect",2,0.54411768913269,0.5,0.489424851536751,0.1
"wine-quality-white",1024,"diavolo",3,0.508169949054718,0.5,0.489424842596054,0.1
"wine-quality-white",1024,"rect",3,0.502451002597809,0.25,0.487198513746262,0.01
"wine-quality-white",1024,"rect",3,0.522875845432281,0.5,0.487198501825333,0.01
"wine-quality-white",512,"rect",3,0.491830110549927,0.5,0.487198492884636,0.01
"wine-quality-white",1024,"rect",8,0.49836602807045,0.25,0.486641925573349,0.01
"wine-quality-white",512,"rect",8,0.490196108818054,0.25,0.486456388235092,0.01
"wine-quality-white",512,"diavolo",8,0.501634001731873,0.5,0.485157680511475,0.01
"wine-quality-white",1024,"diavolo",2,0.549019634723663,0.25,0.485157677531242,0.1
"wine-quality-white",256,"diavolo",8,0.508169949054718,0.25,0.484786632657051,0.01
"wine-quality-white",1024,"rect",2,0.504085004329681,0.25,0.484044519066811,0.1
"wine-quality-white",512,"diavolo",3,0.504085004329681,0.5,0.48274582028389,0.1
"wine-quality-white",512,"diavolo",2,0.501634001731873,0.5,0.48256026506424,0.01
"wine-quality-white",512,"rect",16,0.511437952518463,0.25,0.48107605278492,0.01
"wine-quality-white",1024,"diavolo",4,0.490196138620377,0.5,0.480333933234215,0.1
"wine-quality-white",256,"diavolo",4,0.499183058738708,0.25,0.479777359962463,0.01
"wine-quality-white",512,"rect",4,0.508169949054718,0.5,0.479591816663742,0.01
"wine-quality-white",1024,"rect",4,0.468954265117645,0.25,0.47940628528595,0.1
"wine-quality-white",512,"diavolo",3,0.517973899841309,0.25,0.479035246372223,0.01
"wine-quality-white",256,"diavolo",2,0.512254953384399,0.25,0.478107583522797,0.01
"wine-quality-white",1024,"diavolo",2,0.510620951652527,0.5,0.477365469932556,0.1
"wine-quality-white",1024,"diavolo",2,0.499183058738708,0.25,0.47680889070034,0.01
"wine-quality-white",256,"diavolo",3,0.484477162361145,0.5,0.476252314448357,0.01
"wine-quality-white",256,"rect",2,0.493464112281799,0.5,0.475139126181603,0.01
"wine-quality-white",1024,"rect",4,0.517973899841309,0.5,0.474768069386482,0.01
"wine-quality-white",1024,"diavolo",8,0.470588266849518,0.5,0.474397015571594,0.01
"wine-quality-white",1024,"diavolo",16,0.459967344999313,0.5,0.474211493134499,0.1
"wine-quality-white",1024,"rect",16,0.487745136022568,0.5,0.473840418457985,0.01
"wine-quality-white",1024,"rect",8,0.528594791889191,0.5,0.473283836245537,0.01
"wine-quality-white",512,"diavolo",2,0.484477162361145,0.25,0.473098304867745,0.01
"wine-quality-white",1024,"diavolo",16,0.503268003463745,0.25,0.471985143423081,0.01
"wine-quality-white",256,"diavolo",4,0.486928135156631,0.5,0.471243032813072,0.01
"wine-quality-white",1024,"rect",4,0.507352948188782,0.25,0.471243026852608,0.01
"wine-quality-white",1024,"diavolo",4,0.45506539940834,0.5,0.470315378904343,0.01
"wine-quality-white",1024,"rect",2,0.450980424880981,0.5,0.469573271274567,0.01
"wine-quality-white",256,"diavolo",16,0.511437952518463,0.5,0.469573268294334,0.01
"wine-quality-white",1024,"diavolo",2,0.495098054409027,0.5,0.468460112810135,0.01
"wine-quality-white",512,"diavolo",3,0.500000059604645,0.5,0.466975855827332,0.01
"wine-quality-white",512,"rect",3,0.489379107952118,0.25,0.464563989639282,0.01
"wine-quality-white",1024,"diavolo",3,0.454248368740082,0.25,0.462894225120544,0.01
"wine-quality-white",1024,"rect",2,0.481209218502045,0.25,0.462337642908096,0.01
"wine-quality-white",1024,"rect",16,0.531045794487,0.25,0.462152123451233,0.01
"wine-quality-white",256,"rect",16,0.450163453817368,0.5,0.461966598033905,0.1
"wine-quality-white",512,"rect",4,0.482026159763336,0.25,0.46159553527832,0.01
"wine-quality-white",512,"rect",8,0.475490242242813,0.5,0.456771782040596,0.01
"wine-quality-white",1024,"diavolo",3,0.459967344999313,0.5,0.455287557840347,0.01
"wine-quality-white",512,"diavolo",4,0.482026189565659,0.5,0.455287557840347,0.01
"wine-quality-white",1024,"diavolo",4,0.494281083345413,0.25,0.455287554860115,0.01
"wine-quality-white",256,"rect",8,0.494281053543091,0.25,0.454359909892082,0.01
"wine-quality-white",1024,"diavolo",16,0.499183058738708,0.5,0.452319097518921,0.01
"wine-quality-white",256,"rect",4,0.469771265983582,0.25,0.445454531908035,0.01
"wine-quality-white",512,"rect",16,0.470588266849518,0.5,0.445268997550011,0.01
"wine-quality-white",1024,"diavolo",8,0.5,0.25,0.437291267514229,0.01
"wine-quality-white",512,"rect",16,0.315359503030777,0.25,0.30630796700716,0.1
"wine-quality-white",1024,"rect",8,0.3529412150383,0.25,0.284972151368857,0.1
"wine-quality-white",1024,"rect",8,0.323529452085495,0.5,0.281076061725616,0.1
"wine-quality-white",512,"rect",16,0.171568647027016,0.5,0.250092761963606,0.1
"wine-quality-white",256,"diavolo",2,0.0040849675424397,0.25,0.0495361782144755,1
"wine-quality-white",256,"diavolo",3,0.0040849675424397,0.25,0.0333951748441905,1
"wine-quality-white",256,"diavolo",2,0.0040849675424397,0.5,0.0333951748441905,1
"wine-quality-white",512,"diavolo",2,0.0040849675424397,0.25,0.0187384046148509,1
