"dataset","valAccuracy","nblocks","bottleneck","blockForm","learningrate","testAccuracy","nhidden"
"yeast",0.640000003576279,3,0.25,"diavolo",0.1,0.549865245819092,256
"yeast",0.636250001192093,16,0.25,"diavolo",0.1,0.587601065635681,512
"yeast",0.630000001192093,8,0.25,"diavolo",0.1,0.603773534297943,512
"yeast",0.626250004768372,3,0.5,"diavolo",0.1,0.598382771015167,256
"yeast",0.624375015497208,2,0.25,"rect",0.1,0.617250680923462,1024
"yeast",0.622499990463257,3,0.25,"rect",0.1,0.584905683994293,1024
"yeast",0.621875,2,0.5,"rect",0.1,0.587601065635681,512
"yeast",0.620625025033951,4,0.5,"diavolo",0.1,0.622641503810883,1024
"yeast",0.620625007152557,8,0.5,"diavolo",0.1,0.601078152656555,256
"yeast",0.620000010728836,4,0.5,"rect",0.1,0.609164416790009,256
"yeast",0.615625005960465,4,0.5,"rect",0.1,0.590296506881714,512
"yeast",0.615625,4,0.25,"rect",0.1,0.587601065635681,256
"yeast",0.615624994039536,4,0.25,"rect",0.1,0.568733155727386,512
"yeast",0.614375007152557,3,0.25,"diavolo",0.1,0.592991888523102,1024
"yeast",0.614374995231628,3,0.5,"diavolo",0.1,0.603773534297943,512
"yeast",0.611250001192093,2,0.5,"diavolo",0.1,0.587601065635681,1024
"yeast",0.606875014305115,16,0.25,"diavolo",0.1,0.611859798431396,256
"yeast",0.60687500834465,8,0.25,"rect",0.1,0.568733155727386,512
"yeast",0.60687500834465,3,0.5,"rect",0.1,0.587601065635681,512
"yeast",0.60375000834465,2,0.5,"diavolo",0.1,0.555256009101868,512
"yeast",0.60062500834465,4,0.5,"diavolo",0.1,0.590296506881714,512
"yeast",0.600625002384186,8,0.25,"diavolo",0.1,0.587601065635681,1024
"yeast",0.600000017881393,3,0.25,"rect",0.1,0.590296506881714,512
"yeast",0.599375027418137,2,0.25,"rect",0.1,0.571428537368774,256
"yeast",0.599375015497208,2,0.5,"rect",0.1,0.611859798431396,256
"yeast",0.596875011920929,3,0.5,"rect",0.1,0.547169804573059,256
"yeast",0.596875005960464,8,0.25,"rect",0.1,0.595687329769135,256
"yeast",0.596250009536743,3,0.5,"rect",0.1,0.606468975543976,1024
"yeast",0.595000016689301,4,0.25,"diavolo",0.1,0.590296447277069,512
"yeast",0.59437500834465,16,0.5,"rect",0.1,0.566037774085999,256
"yeast",0.594375002384186,4,0.25,"rect",0.1,0.549865245819092,1024
"yeast",0.593750011920929,16,0.25,"rect",0.1,0.536388158798218,256
"yeast",0.592500013113022,4,0.25,"diavolo",0.1,0.590296506881714,1024
"yeast",0.588750016689301,2,0.25,"diavolo",0.1,0.58221024274826,256
"yeast",0.585625004768372,2,0.25,"rect",0.1,0.574123978614807,512
"yeast",0.583750009536743,3,0.5,"rect",0.01,0.520215630531311,1024
"yeast",0.583749997615814,8,0.5,"diavolo",0.1,0.598382711410522,512
"yeast",0.583749997615814,8,0.25,"diavolo",0.1,0.549865245819092,256
"yeast",0.583125013113022,8,0.5,"rect",0.1,0.571428537368774,512
"yeast",0.582500004768372,3,0.5,"diavolo",0.1,0.555256009101868,1024
"yeast",0.581250005960465,2,0.25,"diavolo",0.1,0.579514801502228,512
"yeast",0.580000013113022,3,0.25,"rect",0.1,0.571428596973419,256
"yeast",0.575000005960465,2,0.5,"rect",0.1,0.595687329769135,1024
"yeast",0.57437499165535,16,0.5,"diavolo",0.01,0.574123978614807,512
"yeast",0.573750013113022,3,0.25,"diavolo",0.1,0.549865245819092,512
"yeast",0.571875,2,0.5,"diavolo",0.1,0.560646891593933,256
"yeast",0.571250015497208,4,0.25,"diavolo",0.1,0.58221024274826,256
"yeast",0.570625001192093,2,0.25,"diavolo",0.01,0.544474363327026,256
"yeast",0.56875,4,0.5,"diavolo",0.1,0.571428596973419,256
"yeast",0.56875,4,0.5,"rect",0.1,0.582210183143616,1024
"yeast",0.568125003576279,16,0.5,"diavolo",0.1,0.53908360004425,256
"yeast",0.566250014305115,2,0.5,"rect",0.01,0.547169804573059,256
"yeast",0.56625000834465,16,0.25,"diavolo",0.01,0.522911071777344,1024
"yeast",0.564375007152557,4,0.25,"rect",0.01,0.566037714481354,1024
"yeast",0.563749998807907,8,0.5,"rect",0.1,0.568733155727386,256
"yeast",0.561874997615814,16,0.5,"rect",0.01,0.512129366397858,1024
"yeast",0.560000002384186,2,0.25,"diavolo",0.1,0.590296447277069,1024
"yeast",0.554374992847443,8,0.5,"diavolo",0.01,0.506738543510437,256
"yeast",0.553125005960465,8,0.5,"diavolo",0.01,0.517520189285278,512
"yeast",0.552500015497208,2,0.5,"rect",0.01,0.533692717552185,512
"yeast",0.551250010728836,16,0.5,"rect",0.1,0.579514801502228,512
"yeast",0.545624995231628,3,0.5,"rect",0.01,0.501347720623016,256
"yeast",0.545000010728836,16,0.5,"diavolo",0.01,0.522911012172699,256
"yeast",0.542500007152557,16,0.25,"rect",0.01,0.522911071777344,1024
"yeast",0.54125000834465,3,0.25,"rect",0.01,0.433962225914001,1024
"yeast",0.537500011920929,16,0.25,"rect",0.01,0.506738543510437,512
"yeast",0.536250007152557,3,0.25,"rect",0.01,0.544474363327026,256
"yeast",0.532499998807907,16,0.5,"diavolo",0.1,0.520215630531311,512
"yeast",0.530625009536743,8,0.5,"diavolo",0.1,0.517520189285278,1024
"yeast",0.530000007152557,2,0.5,"diavolo",0.01,0.501347720623016,256
"yeast",0.52875000834465,16,0.5,"diavolo",0.01,0.533692717552185,1024
"yeast",0.526250004768372,16,0.5,"rect",0.01,0.447439312934875,256
"yeast",0.522500020265579,8,0.5,"rect",0.01,0.536388158798218,1024
"yeast",0.520625013113022,3,0.25,"diavolo",0.01,0.549865245819092,512
"yeast",0.518125015497208,2,0.25,"diavolo",0.01,0.501347661018372,1024
"yeast",0.515625,2,0.25,"rect",0.01,0.471698105335236,256
"yeast",0.514375013113022,4,0.5,"diavolo",0.01,0.498652279376984,256
"yeast",0.510000014305115,2,0.5,"diavolo",0.01,0.42318058013916,512
"yeast",0.504375001788139,8,0.25,"diavolo",0.01,0.46630722284317,256
"yeast",0.503750017285347,8,0.25,"rect",0.1,0.495956897735596,1024
"yeast",0.498750013113022,16,0.25,"rect",0.01,0.450134754180908,256
"yeast",0.49875001013279,4,0.25,"rect",0.01,0.474393516778946,256
"yeast",0.497500011324882,16,0.25,"diavolo",0.01,0.495956838130951,512
"yeast",0.494375011324882,8,0.25,"rect",0.01,0.460916459560394,1024
"yeast",0.493750005960464,3,0.5,"diavolo",0.01,0.530997335910797,512
"yeast",0.493125015497208,16,0.25,"diavolo",0.01,0.436657667160034,256
"yeast",0.491875004768372,8,0.25,"rect",0.01,0.409703493118286,512
"yeast",0.488749992847443,2,0.5,"rect",0.01,0.471698135137558,1024
"yeast",0.488124996423721,4,0.5,"rect",0.01,0.495956838130951,512
"yeast",0.487500002980232,2,0.25,"rect",0.01,0.493261456489563,1024
"yeast",0.483750024437904,8,0.5,"rect",0.01,0.44743937253952,256
"yeast",0.481875002384186,3,0.5,"rect",0.01,0.469002693891525,512
"yeast",0.481250002980232,3,0.25,"rect",0.01,0.42048516869545,512
"yeast",0.480000025033951,2,0.5,"diavolo",0.01,0.469002664089203,1024
"yeast",0.478750002384186,2,0.25,"rect",0.01,0.460916429758072,512
"yeast",0.478125011920929,4,0.5,"rect",0.01,0.452830165624619,256
"yeast",0.47687501013279,4,0.25,"rect",0.01,0.479784369468689,512
"yeast",0.475,8,0.25,"diavolo",0.01,0.479784369468689,512
"yeast",0.473750004172325,16,0.5,"rect",0.01,0.436657667160034,512
"yeast",0.469374984502792,4,0.5,"diavolo",0.01,0.42587599158287,1024
"yeast",0.466875010728836,4,0.5,"diavolo",0.01,0.466307282447815,512
"yeast",0.45812501013279,2,0.25,"diavolo",0.01,0.482479780912399,512
"yeast",0.456250005960464,4,0.5,"rect",0.01,0.423180609941483,1024
"yeast",0.454375001788139,4,0.25,"diavolo",0.01,0.455525606870651,256
"yeast",0.453750002384186,8,0.5,"diavolo",0.01,0.404312640428543,1024
"yeast",0.453125008940697,8,0.5,"rect",0.01,0.407008081674576,512
"yeast",0.452500009536743,4,0.25,"diavolo",0.01,0.382749289274216,512
"yeast",0.451875019073486,8,0.25,"diavolo",0.01,0.471698105335236,1024
"yeast",0.446250009536743,3,0.25,"diavolo",0.01,0.390835553407669,256
"yeast",0.443750002980232,8,0.25,"rect",0.01,0.41778975725174,256
"yeast",0.441250002384186,4,0.25,"diavolo",0.01,0.450134754180908,1024
"yeast",0.423125010728836,3,0.25,"diavolo",0.01,0.431266844272614,1024
"yeast",0.404375010728836,3,0.5,"diavolo",0.01,0.371967643499374,1024
"yeast",0.353750014305115,3,0.5,"diavolo",0.01,0.366576820611954,256
"yeast",0.310000005364418,4,0.5,"diavolo",1,0.320754736661911,512
"yeast",0.308125004172325,3,0.25,"diavolo",1,0.320754706859589,256
"yeast",0.307500004768372,16,0.5,"diavolo",1,0.320754736661911,512
"yeast",0.307500001788139,4,0.25,"rect",1,0.320754706859589,1024
"yeast",0.306875005364418,8,0.25,"diavolo",1,0.320754736661911,256
"yeast",0.306875005364418,4,0.5,"rect",1,0.320754736661911,512
"yeast",0.306875005364418,4,0.5,"rect",1,0.320754736661911,256
"yeast",0.306875005364418,2,0.25,"rect",1,0.320754706859589,1024
"yeast",0.306875005364418,2,0.5,"rect",1,0.320754736661911,1024
"yeast",0.306875005364418,2,0.5,"diavolo",1,0.320754736661911,1024
"yeast",0.306875005364418,2,0.5,"rect",1,0.320754706859589,256
"yeast",0.306875005364418,2,0.5,"diavolo",1,0.320754706859589,256
"yeast",0.306875002384186,4,0.5,"rect",1,0.320754736661911,1024
"yeast",0.306875002384186,4,0.25,"diavolo",1,0.320754736661911,256
"yeast",0.306875002384186,3,0.25,"rect",1,0.320754706859589,1024
"yeast",0.306875002384186,3,0.5,"diavolo",1,0.320754706859589,256
"yeast",0.306874999403954,3,0.5,"diavolo",1,0.320754706859589,512
"yeast",0.306874996423721,4,0.25,"rect",1,0.320754706859589,256
"yeast",0.306874996423721,2,0.25,"diavolo",1,0.320754736661911,1024
"yeast",0.306250005960464,16,0.5,"rect",0.1,0.320754736661911,1024
"yeast",0.306250005960464,16,0.25,"rect",1,0.320754706859589,1024
"yeast",0.306250005960464,16,0.25,"diavolo",1,0.320754706859589,1024
"yeast",0.306250005960464,16,0.25,"diavolo",1,0.320754706859589,512
"yeast",0.306250005960464,16,0.5,"rect",1,0.320754706859589,512
"yeast",0.306250005960464,16,0.25,"rect",1,0.320754736661911,256
"yeast",0.306250005960464,16,0.25,"diavolo",1,0.320754736661911,256
"yeast",0.306250005960464,8,0.25,"diavolo",1,0.320754706859589,1024
"yeast",0.306250005960464,8,0.5,"diavolo",1,0.320754706859589,1024
"yeast",0.306250005960464,8,0.25,"rect",1,0.320754706859589,512
"yeast",0.306250005960464,8,0.5,"diavolo",1,0.320754736661911,512
"yeast",0.306250005960464,8,0.25,"rect",1,0.320754736661911,256
"yeast",0.306250005960464,8,0.5,"rect",1,0.320754736661911,256
"yeast",0.306250005960464,8,0.5,"diavolo",1,0.320754706859589,256
"yeast",0.306250005960464,4,0.25,"diavolo",1,0.320754736661911,1024
"yeast",0.306250005960464,4,0.5,"diavolo",1,0.320754706859589,1024
