"dataset","nlayers","layerForm","valAccuracy","learningrate","nhidden","testAccuracy"
"annealing",4,"rect",0.941463363170624,0.01,512,0.649999976158142
"annealing",2,"rect",0.940243858098984,0.1,256,0.639999985694885
"annealing",4,"rect",0.937804859876633,0.01,256,0.75
"annealing",4,"rect",0.936585313081742,0.1,512,0.659999966621399
"annealing",2,"cone",0.936585301160813,0.01,256,0.679999947547913
"annealing",8,"rect",0.935365796089172,0.01,1024,0.149999991059303
"annealing",2,"cone",0.934146273136139,0.1,1024,0.579999923706055
"annealing",3,"rect",0.931707239151001,0.01,256,0.759999990463257
"annealing",8,"rect",0.929268264770508,0.01,512,0.679999947547913
"annealing",2,"cone",0.929268229007721,0.1,512,0.740000009536743
"annealing",3,"cone",0.929268217086792,0.01,1024,0.429999947547913
"annealing",4,"cone",0.928048723936081,0.1,1024,0.75
"annealing",3,"rect",0.926829206943512,0.1,512,0.740000009536743
"annealing",3,"cone",0.926829200983048,0.01,256,0.759999990463257
"annealing",2,"rect",0.926829189062119,0.01,1024,0.549999952316284
"annealing",3,"cone",0.925609695911408,0.1,256,0.719999969005585
"annealing",2,"rect",0.925609695911408,0.1,1024,0.759999990463257
"annealing",4,"cone",0.925609689950943,0.01,512,0.459999978542328
"annealing",8,"cone",0.924390190839768,0.01,1024,0.759999990463257
"annealing",4,"cone",0.92195115685463,0.1,256,0.75
"annealing",2,"rect",0.921951133012772,0.1,512,0.719999969005585
"annealing",3,"rect",0.920731639862061,0.01,1024,0.75
"annealing",4,"rect",0.920731633901596,0.01,1024,0.75
"annealing",3,"cone",0.920731633901596,0.1,1024,0.719999969005585
"annealing",3,"rect",0.919512116909027,0.01,512,0.75
"annealing",2,"cone",0.918292611837387,0.01,512,0.649999976158142
"annealing",3,"rect",0.918292599916458,0.1,1024,0.75
"annealing",4,"cone",0.917073094844818,0.1,512,0.75
"annealing",3,"cone",0.91341455578804,0.01,512,0.740000009536743
"annealing",4,"cone",0.912195056676865,0.01,256,0.759999990463257
"annealing",8,"rect",0.912195044755936,0.01,256,0.719999969005585
"annealing",2,"cone",0.909756028652191,0.1,256,0.75
"annealing",2,"rect",0.909756010770798,0.01,512,0.719999969005585
"annealing",2,"rect",0.908536493778229,0.01,256,0.310000002384186
"annealing",4,"cone",0.906097489595413,0.01,1024,0.769999980926514
"annealing",3,"rect",0.903658449649811,0.1,256,0.75
"annealing",2,"cone",0.89512187242508,0.01,1024,0.490000009536743
"annealing",4,"rect",0.87195115685463,0.1,256,0.699999988079071
"annealing",3,"cone",0.836585319042206,0.1,512,0.740000009536743
"annealing",8,"cone",0.719512134790421,0.01,512,0.759999990463257
"annealing",32,"cone",0.670731663703918,0.01,1024,0.759999990463257
"annealing",32,"cone",0.670731663703918,0.1,1024,0.759999990463257
"annealing",32,"cone",0.670731663703918,0.1,256,0.759999990463257
"annealing",32,"cone",0.670731663703918,1,1024,0.759999990463257
"annealing",32,"cone",0.670731663703918,1,256,0.759999990463257
"annealing",16,"cone",0.670731663703918,0.01,1024,0.759999990463257
"annealing",16,"cone",0.670731663703918,0.01,512,0.11999998986721
"annealing",8,"cone",0.670731663703918,0.01,256,0.759999990463257
"annealing",8,"cone",0.670731663703918,0.1,512,0.759999990463257
"annealing",8,"cone",0.670731663703918,0.1,256,0.759999990463257
"annealing",8,"cone",0.670731663703918,1,512,0.759999990463257
"annealing",4,"rect",0.670731663703918,1,512,0.759999990463257
"annealing",4,"cone",0.670731663703918,1,256,0.759999990463257
"annealing",4,"rect",0.670731663703918,1,256,0.759999990463257
"annealing",3,"cone",0.670731663703918,1,1024,0.759999990463257
"annealing",3,"rect",0.670731663703918,1,1024,0.759999990463257
"annealing",3,"rect",0.670731663703918,1,256,0.759999990463257
"annealing",2,"cone",0.670731663703918,1,1024,0.759999990463257
"annealing",2,"rect",0.0890243850648404,1,1024,0
"annealing",2,"cone",0.0890243850648404,1,256,0
"annealing",2,"cone",0.0329268284142017,1,512,0
"annealing",4,"rect",0.029268291592598,0.1,1024,0
"annealing",2,"rect",0.0268292672932148,1,512,0
"annealing",2,"rect",0.0256097551435232,1,256,0
"annealing",32,"rect",0.0243902429938316,0.01,1024,0
"annealing",32,"cone",0.0243902429938316,0.01,512,0
"annealing",32,"rect",0.0243902429938316,0.01,512,0
"annealing",32,"cone",0.0243902429938316,0.01,256,0
"annealing",32,"rect",0.0243902429938316,0.01,256,0
"annealing",32,"rect",0.0243902429938316,0.1,1024,0
"annealing",32,"cone",0.0243902429938316,0.1,512,0
"annealing",32,"rect",0.0243902429938316,0.1,512,0
"annealing",32,"rect",0.0243902429938316,0.1,256,0
"annealing",32,"rect",0.0243902429938316,1,1024,0
"annealing",32,"cone",0.0243902429938316,1,512,0
"annealing",32,"rect",0.0243902429938316,1,512,0
"annealing",32,"rect",0.0243902429938316,1,256,0
