"dataset","valAccuracy","learningrate","nlayers","nhidden","testAccuracy","layerForm"
"balance-scale",0.982000017166138,0.01,4,1024,0.955128252506256,"rect"
"balance-scale",0.979999989271164,0.01,3,1024,0.967948734760284,"cone"
"balance-scale",0.973999965190887,0.01,2,256,0.96153849363327,"rect"
"balance-scale",0.973999965190887,0.01,4,256,0.923076987266541,"rect"
"balance-scale",0.971999967098236,0.01,4,512,0.974358975887299,"rect"
"balance-scale",0.967999970912933,0.01,3,1024,0.942307710647583,"rect"
"balance-scale",0.962000006437302,0.01,2,512,0.96153849363327,"cone"
"balance-scale",0.951999992132187,0.01,2,1024,0.935897469520569,"rect"
"balance-scale",0.921999996900559,0.01,2,1024,0.942307710647583,"cone"
"balance-scale",0.913999998569489,0.01,3,256,0.923076927661896,"rect"
"balance-scale",0.907999986410141,0.01,2,256,0.903846144676208,"cone"
"balance-scale",0.901999968290329,0.01,3,512,0.923076987266541,"cone"
"balance-scale",0.892000019550323,0.01,3,512,0.935897469520569,"rect"
"balance-scale",0.889999985694885,0.1,2,256,0.96153849363327,"rect"
"balance-scale",0.88200004696846,0.01,2,512,0.897435903549194,"rect"
"balance-scale",0.872000014781952,0.1,2,512,0.89102566242218,"cone"
"balance-scale",0.865999984741211,0.1,2,1024,0.89102566242218,"cone"
"balance-scale",0.859999960660934,0.01,4,1024,0.910256445407867,"cone"
"balance-scale",0.853999990224838,0.1,2,256,0.942307710647583,"cone"
"balance-scale",0.847999995946884,0.1,2,512,0.942307710647583,"rect"
"balance-scale",0.836000007390976,0.01,4,256,0.903846144676208,"cone"
"balance-scale",0.825999987125397,0.1,3,512,0.878205180168152,"cone"
"balance-scale",0.819999992847443,0.1,4,256,0.903846144676208,"cone"
"balance-scale",0.819999992847443,0.1,2,1024,0.903846144676208,"rect"
"balance-scale",0.809999990463257,0.1,3,256,0.903846144676208,"cone"
"balance-scale",0.800000011920929,0.1,3,256,0.871794939041138,"rect"
"balance-scale",0.787999975681305,0.01,4,512,0.801282107830048,"cone"
"balance-scale",0.543999981880188,0.1,3,512,0.493589758872986,"rect"
"balance-scale",0.523999953269959,0.1,3,1024,0.46153849363327,"rect"
"balance-scale",0.5,0.01,32,256,0.461538463830948,"cone"
"balance-scale",0.5,0.1,32,256,0.461538463830948,"cone"
"balance-scale",0.5,0.01,8,512,0.461538463830948,"cone"
"balance-scale",0.5,0.1,8,512,0.46153849363327,"cone"
"balance-scale",0.5,0.1,4,512,0.46153849363327,"cone"
"balance-scale",0.5,0.1,4,256,0.461538463830948,"rect"
"balance-scale",0.489999997615814,1,2,256,0.480769246816635,"cone"
"balance-scale",0.463999998569489,1,32,512,0.461538463830948,"cone"
"balance-scale",0.451999998092651,1,32,1024,0.46153849363327,"cone"
"balance-scale",0.451999998092651,1,4,512,0.46153849363327,"cone"
"balance-scale",0.451999998092651,1,32,256,0.46153849363327,"cone"
"balance-scale",0.451999998092651,1,16,1024,0.46153849363327,"rect"
"balance-scale",0.451999998092651,0.01,8,1024,0.46153849363327,"rect"
"balance-scale",0.443999996781349,0.1,3,1024,0.480769246816635,"cone"
"balance-scale",0.439999997615814,1,16,512,0.46153849363327,"cone"
"balance-scale",0.427999997138977,1,16,512,0.46153849363327,"rect"
"balance-scale",0.41599999666214,1,8,512,0.46153849363327,"cone"
"balance-scale",0.41599999666214,1,4,1024,0.46153849363327,"cone"
"balance-scale",0.403999996185303,1,16,256,0.46153849363327,"rect"
"balance-scale",0.379999995231628,0.01,32,512,0.46153849363327,"cone"
"balance-scale",0.379999995231628,0.1,16,1024,0.46153849363327,"cone"
"balance-scale",0.379999995231628,0.1,16,512,0.46153849363327,"cone"
"balance-scale",0.379999995231628,0.1,16,256,0.46153849363327,"cone"
"balance-scale",0.379999995231628,0.1,16,256,0.46153849363327,"rect"
"balance-scale",0.379999995231628,0.01,8,1024,0.46153849363327,"cone"
"balance-scale",0.379999995231628,0.1,8,256,0.46153849363327,"cone"
"balance-scale",0.379999995231628,0.1,8,256,0.46153849363327,"rect"
"balance-scale",0.379999995231628,0.01,3,256,0.46153849363327,"cone"
"balance-scale",0.157999997586012,0.01,8,512,0.0769230797886848,"rect"
"balance-scale",0.157999997586012,0.01,8,256,0.0769230797886848,"rect"
"balance-scale",0.157999997586012,1,4,256,0.0769230797886848,"cone"
"balance-scale",0.157999997586012,1,2,1024,0.0769230797886848,"cone"
"balance-scale",0.157999997586012,1,2,1024,0.0769230797886848,"rect"
"balance-scale",0.145999997109175,0.01,8,256,0.0769230797886848,"cone"
"balance-scale",0.145999997109175,1,2,512,0.0769230797886848,"cone"
"balance-scale",0.143999996036291,1,3,256,0.0769230797886848,"rect"
"balance-scale",0.135999994724989,1,2,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.01,32,1024,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.01,32,1024,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.01,32,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.01,32,256,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.1,32,1024,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.1,32,1024,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.1,32,512,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.1,32,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.1,32,256,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,1,32,1024,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,1,32,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,1,32,256,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.01,16,1024,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.01,16,1024,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.01,16,512,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.01,16,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.01,16,256,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.01,16,256,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.1,16,1024,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.1,16,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,1,16,1024,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,1,16,256,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.1,8,1024,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.1,8,1024,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.1,8,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,1,8,1024,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,1,8,1024,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,1,8,512,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,1,8,256,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,1,8,256,0.0769230797886848,"rect"
"balance-scale",0.119999997317791,0.1,4,1024,0.0769230797886848,"cone"
"balance-scale",0.119999997317791,0.1,4,1024,0.0769230797886848,"rect"
