"dataset","layerForm","valAccuracy","nhidden","nlayers","testAccuracy","learningrate"
"cardiotocography-3clases","rect",0.932592552900314,256,2,0.894538581371307,0.01
"cardiotocography-3clases","cone",0.931111073493958,256,2,0.896421849727631,0.01
"cardiotocography-3clases","cone",0.928148114681244,512,3,0.924670338630676,0.01
"cardiotocography-3clases","cone",0.924444407224655,256,4,0.920903921127319,0.1
"cardiotocography-3clases","rect",0.923703646659851,512,3,0.898305058479309,0.1
"cardiotocography-3clases","cone",0.922962927818298,1024,2,0.91525411605835,0.01
"cardiotocography-3clases","rect",0.922962921857834,1024,2,0.909604430198669,0.1
"cardiotocography-3clases","cone",0.92074071764946,1024,2,0.905838012695312,0.1
"cardiotocography-3clases","rect",0.919999974966049,512,3,0.91525411605835,0.01
"cardiotocography-3clases","rect",0.917777758836746,256,3,0.909604489803314,0.01
"cardiotocography-3clases","rect",0.916296255588532,256,4,0.885122358798981,0.01
"cardiotocography-3clases","rect",0.914814782142639,512,2,0.911487758159637,0.1
"cardiotocography-3clases","rect",0.914074045419693,1024,3,0.894538521766663,0.01
"cardiotocography-3clases","rect",0.913333296775818,512,4,0.907721221446991,0.01
"cardiotocography-3clases","rect",0.911851841211319,1024,8,0.902071595191956,0.01
"cardiotocography-3clases","rect",0.911851823329926,1024,2,0.915254175662994,0.01
"cardiotocography-3clases","cone",0.911111104488373,256,3,0.903954744338989,0.01
"cardiotocography-3clases","cone",0.911111080646515,512,3,0.909604549407959,0.1
"cardiotocography-3clases","cone",0.90740739107132,256,3,0.902071595191956,0.1
"cardiotocography-3clases","cone",0.905925917625427,1024,4,0.900188267230988,0.01
"cardiotocography-3clases","cone",0.903703677654266,1024,3,0.909604370594025,0.01
"cardiotocography-3clases","cone",0.901481461524963,512,2,0.902071595191956,0.01
"cardiotocography-3clases","rect",0.901481461524963,512,2,0.909604489803314,0.01
"cardiotocography-3clases","cone",0.898518508672714,512,2,0.900188326835632,0.1
"cardiotocography-3clases","cone",0.892592567205429,256,2,0.894538521766663,1
"cardiotocography-3clases","rect",0.892592561244965,1024,4,0.892655313014984,0.1
"cardiotocography-3clases","rect",0.891851830482483,1024,4,0.92090380191803,0.01
"cardiotocography-3clases","rect",0.884444427490234,1024,3,0.902071595191956,0.1
"cardiotocography-3clases","cone",0.88074072599411,256,2,0.902071475982666,0.1
"cardiotocography-3clases","rect",0.879259246587753,256,2,0.903954744338989,0.1
"cardiotocography-3clases","cone",0.8755555331707,1024,3,0.873822867870331,0.1
"cardiotocography-3clases","rect",0.874814808368683,512,4,0.888888835906982,0.1
"cardiotocography-3clases","rect",0.863703691959381,256,8,0.885122418403625,0.01
"cardiotocography-3clases","rect",0.862962955236435,512,8,0.870056390762329,0.01
"cardiotocography-3clases","rect",0.861481469869614,256,3,0.875706195831299,0.1
"cardiotocography-3clases","cone",0.813333308696747,512,4,0.839924693107605,0.1
"cardiotocography-3clases","cone",0.77777773141861,1024,32,0.779661059379578,0.01
"cardiotocography-3clases","rect",0.77777773141861,1024,32,0.779661059379578,0.01
"cardiotocography-3clases","cone",0.77777773141861,512,32,0.779660940170288,0.01
"cardiotocography-3clases","rect",0.77777773141861,512,32,0.779660940170288,0.01
"cardiotocography-3clases","cone",0.77777773141861,256,32,0.779661059379578,0.01
"cardiotocography-3clases","rect",0.77777773141861,256,32,0.779661059379578,0.01
"cardiotocography-3clases","cone",0.77777773141861,1024,32,0.779660940170288,0.1
"cardiotocography-3clases","rect",0.77777773141861,1024,32,0.779660940170288,0.1
"cardiotocography-3clases","cone",0.77777773141861,512,32,0.779660940170288,0.1
"cardiotocography-3clases","rect",0.77777773141861,512,32,0.779660999774933,0.1
"cardiotocography-3clases","cone",0.77777773141861,256,32,0.779661059379578,0.1
"cardiotocography-3clases","rect",0.77777773141861,256,32,0.779660999774933,0.1
"cardiotocography-3clases","cone",0.77777773141861,1024,32,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,1024,32,0.779660940170288,1
