"dataset","learningrate","nlayers","testAccuracy","valAccuracy","layerForm","nhidden"
"chess-krvkp",0.01,3,0.991239070892334,1,"cone",512
"chess-krvkp",0.01,3,0.987484455108643,1,"rect",256
"chess-krvkp",0.1,2,0.98998749256134,0.999551576375961,"rect",1024
"chess-krvkp",0.01,2,0.988735914230347,0.997309458255768,"rect",1024
"chess-krvkp",0.1,4,0.991239070892334,0.996861034631729,"cone",512
"chess-krvkp",0.01,4,0.98998761177063,0.995515763759613,"rect",1024
"chess-krvkp",0.01,4,0.986232876777649,0.995515763759613,"rect",512
"chess-krvkp",0.01,3,0.984981298446655,0.995515763759613,"cone",1024
"chess-krvkp",0.1,3,0.991239070892334,0.995515763759613,"rect",512
"chess-krvkp",0.1,3,0.992490649223328,0.995515763759613,"rect",256
"chess-krvkp",0.01,2,0.991239070892334,0.995515763759613,"cone",1024
"chess-krvkp",0.01,2,0.992490649223328,0.995515763759613,"rect",512
"chess-krvkp",0.1,2,0.986232876777649,0.995515763759613,"cone",512
"chess-krvkp",0.01,3,0.984981298446655,0.994618904590607,"cone",256
"chess-krvkp",0.1,4,0.98998761177063,0.994170475006104,"cone",1024
"chess-krvkp",0.1,3,0.988736033439636,0.994170475006104,"rect",1024
"chess-krvkp",0.01,4,0.98998749256134,0.9937220454216,"rect",256
"chess-krvkp",0.1,2,0.988736033439636,0.9937220454216,"rect",512
"chess-krvkp",0.01,2,0.987484455108643,0.991928327083588,"cone",512
"chess-krvkp",0.1,2,0.994993805885315,0.991479897499085,"cone",256
"chess-krvkp",0.01,8,0.988736033439636,0.991031467914581,"rect",512
"chess-krvkp",0.1,3,0.986232876777649,0.991031467914581,"cone",1024
"chess-krvkp",0.1,3,0.986232876777649,0.991031467914581,"cone",512
"chess-krvkp",0.01,2,0.988736033439636,0.991031467914581,"rect",256
"chess-krvkp",0.1,2,0.992490649223328,0.991031467914581,"cone",1024
"chess-krvkp",0.01,2,0.988736033439636,0.989686179161072,"cone",256
"chess-krvkp",0.1,2,0.986232876777649,0.989686179161072,"rect",256
"chess-krvkp",0.01,8,0.978723466396332,0.988789319992066,"cone",1024
"chess-krvkp",0.01,8,0.978723406791687,0.987444031238556,"rect",1024
"chess-krvkp",0.1,4,0.987484455108643,0.98654717206955,"rect",1024
"chess-krvkp",0.01,3,0.984981298446655,0.98654717206955,"rect",512
"chess-krvkp",1,2,0.984981298446655,0.98654717206955,"cone",256
"chess-krvkp",0.01,4,0.984981298446655,0.98385659456253,"cone",1024
"chess-krvkp",0.01,8,0.983729720115662,0.983408164978027,"rect",256
"chess-krvkp",0.01,3,0.984981298446655,0.982062876224518,"rect",1024
"chess-krvkp",0.01,4,0.988736033439636,0.977578580379486,"cone",512
"chess-krvkp",0.1,4,0.981226563453674,0.976233285665512,"rect",512
"chess-krvkp",0.01,4,0.977471888065338,0.96591939330101,"cone",256
"chess-krvkp",0.01,32,0.523153960704803,0.520179390907288,"cone",1024
"chess-krvkp",0.01,32,0.523153960704803,0.520179390907288,"cone",512
"chess-krvkp",0.01,32,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",0.1,32,0.523153960704803,0.520179390907288,"cone",512
"chess-krvkp",0.1,32,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",1,32,0.523153960704803,0.520179390907288,"cone",1024
"chess-krvkp",1,32,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",0.01,16,0.523153960704803,0.520179390907288,"cone",1024
"chess-krvkp",0.01,16,0.523153960704803,0.520179390907288,"cone",512
"chess-krvkp",0.1,16,0.523153960704803,0.520179390907288,"cone",1024
"chess-krvkp",0.1,16,0.523153960704803,0.520179390907288,"cone",512
"chess-krvkp",0.1,16,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",1,16,0.523153960704803,0.520179390907288,"cone",1024
"chess-krvkp",1,16,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",0.1,8,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",1,8,0.523153960704803,0.520179390907288,"cone",1024
"chess-krvkp",0.1,4,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",1,4,0.523153960704803,0.520179390907288,"rect",512
"chess-krvkp",1,4,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",0.1,3,0.523153960704803,0.520179390907288,"cone",256
"chess-krvkp",1,3,0.523153960704803,0.520179390907288,"cone",1024
"chess-krvkp",1,16,0.523153960704803,0.516143518686295,"rect",512
"chess-krvkp",1,8,0.476846039295197,0.516143518686295,"cone",512
"chess-krvkp",1,4,0.523153960704803,0.516143518686295,"cone",1024
"chess-krvkp",1,3,0.523153960704803,0.516143518686295,"rect",1024
"chess-krvkp",1,3,0.523153960704803,0.516143518686295,"rect",256
"chess-krvkp",0.1,32,0.476846039295197,0.508071774244308,"cone",1024
"chess-krvkp",0.1,32,0.476846039295197,0.479820668697357,"rect",1024
"chess-krvkp",0.1,32,0.476846039295197,0.479820668697357,"rect",512
"chess-krvkp",0.1,32,0.476846039295197,0.479820668697357,"rect",256
"chess-krvkp",1,32,0.476846039295197,0.479820668697357,"rect",1024
"chess-krvkp",1,32,0.476846039295197,0.479820668697357,"cone",512
"chess-krvkp",1,32,0.476846039295197,0.479820668697357,"rect",512
"chess-krvkp",0.01,16,0.476846039295197,0.479820668697357,"rect",1024
"chess-krvkp",0.01,16,0.476846039295197,0.479820668697357,"rect",512
"chess-krvkp",0.01,16,0.476846039295197,0.479820668697357,"cone",256
"chess-krvkp",0.01,16,0.476846039295197,0.479820668697357,"rect",256
"chess-krvkp",0.1,16,0.476846039295197,0.479820668697357,"rect",1024
"chess-krvkp",0.1,16,0.476846039295197,0.479820668697357,"rect",512
"chess-krvkp",0.1,16,0.476846039295197,0.479820668697357,"rect",256
"chess-krvkp",1,16,0.476846039295197,0.479820668697357,"rect",1024
"chess-krvkp",1,16,0.476846039295197,0.479820668697357,"rect",256
"chess-krvkp",0.01,8,0.476846039295197,0.479820668697357,"cone",256
"chess-krvkp",0.1,8,0.476846039295197,0.479820668697357,"cone",1024
"chess-krvkp",0.1,8,0.476846039295197,0.479820668697357,"cone",512
"chess-krvkp",0.1,8,0.476846039295197,0.479820668697357,"rect",256
"chess-krvkp",1,8,0.476846039295197,0.479820668697357,"rect",512
"chess-krvkp",1,8,0.476846039295197,0.479820668697357,"cone",256
"chess-krvkp",1,4,0.476846039295197,0.479820668697357,"rect",1024
"chess-krvkp",1,4,0.476846039295197,0.479820668697357,"cone",512
"chess-krvkp",1,4,0.476846039295197,0.479820668697357,"rect",256
"chess-krvkp",1,3,0.476846039295197,0.479820668697357,"cone",256
"chess-krvkp",1,2,0.476846039295197,0.479820668697357,"cone",1024
"chess-krvkp",1,2,0.476846039295197,0.479820668697357,"rect",1024
"chess-krvkp",1,2,0.476846039295197,0.479820668697357,"cone",512
"chess-krvkp",1,2,0.476846039295197,0.479820668697357,"rect",512
"chess-krvkp",1,2,0.476846039295197,0.479820668697357,"rect",256
"chess-krvkp",0.01,32,0.476846039295197,0.479820665717125,"rect",1024
"chess-krvkp",0.01,32,0.476846039295197,0.479820665717125,"rect",256
