"dataset","learningrate","valAccuracy","nlayers","layerForm","testAccuracy","nhidden"
"connect-4",0.1,0.884308463335037,2,"rect",0.883297324180603,1024
"connect-4",0.1,0.88108714222908,2,"rect",0.877494692802429,512
"connect-4",0.1,0.875237357616425,3,"rect",0.880336821079254,1024
"connect-4",0.1,0.87187762260437,4,"cone",0.866007924079895,512
"connect-4",0.1,0.870118755102158,2,"cone",0.873053967952728,256
"connect-4",0.1,0.868992298841476,3,"cone",0.867547333240509,1024
"connect-4",0.1,0.86899226307869,3,"cone",0.864764511585236,256
"connect-4",0.1,0.86889346241951,2,"cone",0.864882946014404,1024
"connect-4",0.01,0.868715590238571,2,"rect",0.870803952217102,1024
"connect-4",0.01,0.867885559797287,4,"rect",0.866659224033356,512
"connect-4",0.1,0.867806524038315,3,"rect",0.866895973682404,256
"connect-4",0.1,0.867470514774323,2,"cone",0.871336817741394,512
"connect-4",0.1,0.867371702194214,3,"rect",0.865119695663452,512
"connect-4",0.01,0.866739290952683,2,"cone",0.868613123893738,512
"connect-4",0.01,0.866640484333038,3,"rect",0.867665827274323,1024
"connect-4",0.1,0.86624521613121,4,"cone",0.866955280303955,256
"connect-4",0.1,0.865494227409363,2,"rect",0.86819863319397,256
"connect-4",0.01,0.865079206228256,8,"rect",0.866007924079895,1024
"connect-4",0.1,0.864545619487763,3,"cone",0.863106667995453,512
"connect-4",0.01,0.863834136724472,3,"cone",0.862869799137115,1024
"connect-4",0.01,0.863597011566162,2,"cone",0.863224983215332,1024
"connect-4",0.01,0.863438904285431,3,"cone",0.863521099090576,256
"connect-4",0.01,0.863221508264542,4,"rect",0.864468455314636,1024
"connect-4",0.01,0.862747204303742,8,"rect",0.862455308437347,512
"connect-4",0.1,0.862727457284927,8,"cone",0.858073711395264,256
"connect-4",0.01,0.862371701002121,2,"cone",0.858488202095032,256
"connect-4",0.01,0.861838114261627,2,"rect",0.862040817737579,256
"connect-4",0.01,0.860790675878525,3,"rect",0.860264539718628,512
"connect-4",0.01,0.860573303699493,2,"rect",0.863817095756531,512
"connect-4",0.01,0.860355883836746,3,"cone",0.857896149158478,512
"connect-4",0.01,0.860257095098495,4,"cone",0.859435558319092,512
"connect-4",0.01,0.858320319652558,3,"rect",0.861744821071625,256
"connect-4",0.1,0.857510042190552,4,"cone",0.85748165845871,1024
"connect-4",0.01,0.855118781328201,4,"rect",0.861804008483887,256
"connect-4",0.01,0.852806514501572,4,"cone",0.848659336566925,1024
"connect-4",0.1,0.851976448297501,4,"rect",0.848837018013,256
"connect-4",0.01,0.851699763536453,4,"cone",0.850613296031952,256
"connect-4",0.1,0.849189901351929,4,"rect",0.848304033279419,1024
"connect-4",0.01,0.848201757669449,8,"cone",0.854935586452484,512
"connect-4",0.01,0.846996206045151,8,"rect",0.833264648914337,256
"connect-4",0.1,0.830830192565918,4,"rect",0.829889714717865,512
"connect-4",0.01,0.752964586019516,16,"rect",0.753804564476013,512
"connect-4",0.1,0.752964586019516,16,"rect",0.753804564476013,256
"connect-4",0.01,0.752964580059052,32,"rect",0.753804564476013,256
"connect-4",0.1,0.752964580059052,32,"rect",0.753804564476013,256
"connect-4",1,0.752964580059052,32,"cone",0.753804564476013,512
"connect-4",1,0.752964580059052,16,"cone",0.753804564476013,256
"connect-4",0.1,0.752964580059052,8,"cone",0.753804504871368,512
"connect-4",1,0.752964580059052,4,"rect",0.753804564476013,1024
"connect-4",0.01,0.752964574098587,32,"cone",0.753804564476013,256
"connect-4",0.1,0.752964574098587,32,"rect",0.753804564476013,1024
"connect-4",0.1,0.752964574098587,32,"cone",0.753804564476013,512
"connect-4",1,0.752964574098587,32,"rect",0.753804564476013,256
"connect-4",0.01,0.752964574098587,16,"cone",0.753804564476013,512
"connect-4",0.1,0.752964574098587,16,"rect",0.753804504871368,1024
"connect-4",1,0.752964574098587,16,"rect",0.753804564476013,1024
"connect-4",0.1,0.752964574098587,8,"rect",0.753804564476013,1024
"connect-4",0.1,0.752964574098587,8,"rect",0.753804564476013,256
"connect-4",1,0.752964574098587,8,"rect",0.753804564476013,256
"connect-4",1,0.752964574098587,4,"rect",0.753804564476013,256
"connect-4",1,0.752964574098587,3,"rect",0.753804564476013,1024
"connect-4",1,0.752964574098587,3,"rect",0.753804564476013,256
"connect-4",1,0.752964574098587,2,"cone",0.753804564476013,1024
"connect-4",0.01,0.752964568138123,32,"cone",0.753804564476013,1024
"connect-4",0.01,0.752964568138123,32,"cone",0.753804564476013,512
"connect-4",0.01,0.752964568138123,32,"rect",0.753804564476013,512
"connect-4",1,0.752964568138123,32,"cone",0.753804564476013,1024
"connect-4",1,0.752964568138123,32,"cone",0.753804564476013,256
"connect-4",0.01,0.752964568138123,16,"cone",0.753804564476013,1024
"connect-4",1,0.752964568138123,16,"cone",0.753804564476013,512
"connect-4",1,0.752964568138123,16,"rect",0.753804564476013,256
"connect-4",0.1,0.752964568138123,8,"cone",0.753804504871368,1024
"connect-4",0.1,0.752964568138123,8,"rect",0.753804564476013,512
"connect-4",1,0.752964568138123,8,"rect",0.753804564476013,1024
"connect-4",1,0.752964568138123,8,"rect",0.753804564476013,512
"connect-4",1,0.752964568138123,8,"cone",0.753804564476013,256
"connect-4",1,0.752964568138123,4,"cone",0.753804564476013,1024
"connect-4",1,0.752964568138123,4,"rect",0.753804564476013,512
"connect-4",1,0.752964568138123,2,"cone",0.753804564476013,512
"connect-4",1,0.752964568138123,2,"cone",0.753804564476013,256
"connect-4",0.01,0.752964562177658,32,"rect",0.753804504871368,1024
"connect-4",0.1,0.752964562177658,32,"cone",0.753804564476013,1024
"connect-4",0.1,0.752964562177658,32,"rect",0.753804564476013,512
"connect-4",0.1,0.752964562177658,32,"cone",0.753804564476013,256
"connect-4",0.01,0.752964562177658,16,"cone",0.753804504871368,256
"connect-4",0.01,0.752964562177658,16,"rect",0.753804564476013,256
"connect-4",0.1,0.752964562177658,16,"cone",0.753804504871368,512
"connect-4",1,0.752964562177658,16,"cone",0.753804564476013,1024
"connect-4",1,0.752964562177658,16,"rect",0.753804564476013,512
"connect-4",1,0.752964562177658,8,"cone",0.753804564476013,1024
