"dataset","learningrate","testAccuracy","nlayers","layerForm","nhidden","valAccuracy"
"ecoli",0.01,0.845238149166107,4,"rect",256,0.991891896724701
"ecoli",0.01,0.833333373069763,2,"cone",1024,0.991891896724701
"ecoli",0.01,0.845238089561462,2,"rect",256,0.989189195632935
"ecoli",0.1,0.833333313465118,2,"rect",1024,0.986486494541168
"ecoli",0.01,0.845238149166107,2,"cone",256,0.981081092357636
"ecoli",0.01,0.809523820877075,3,"cone",512,0.97027028799057
"ecoli",0.1,0.761904835700989,3,"rect",512,0.970270276069641
"ecoli",0.01,0.857142925262451,3,"cone",256,0.964864885807037
"ecoli",0.1,0.797619104385376,2,"cone",256,0.962162184715271
"ecoli",0.01,0.821428596973419,2,"rect",1024,0.962162184715271
"ecoli",0.01,0.857142865657806,3,"rect",256,0.956756782531738
"ecoli",0.01,0.821428596973419,3,"cone",1024,0.956756776571274
"ecoli",0.01,0.833333373069763,3,"rect",512,0.954054081439972
"ecoli",0.01,0.809523820877075,2,"rect",512,0.954054081439972
"ecoli",0.01,0.86904764175415,2,"cone",512,0.954054081439972
"ecoli",0.01,0.833333373069763,4,"cone",256,0.951351374387741
"ecoli",0.1,0.785714268684387,3,"cone",256,0.948648679256439
"ecoli",0.01,0.857142925262451,3,"rect",1024,0.94054057598114
"ecoli",0.1,0.797619104385376,3,"rect",256,0.937837862968445
"ecoli",0.1,0.833333313465118,2,"rect",512,0.93783785700798
"ecoli",0.01,0.785714328289032,4,"rect",1024,0.916216212511063
"ecoli",0.01,0.773809552192688,8,"rect",512,0.913513553142548
"ecoli",0.01,0.785714328289032,4,"cone",1024,0.908108162879944
"ecoli",0.01,0.809523820877075,4,"rect",512,0.902702754735947
"ecoli",0.1,0.797619104385376,2,"rect",256,0.900000029802323
"ecoli",0.1,0.785714387893677,3,"cone",512,0.897297358512879
"ecoli",0.1,0.785714268684387,2,"cone",1024,0.89729733467102
"ecoli",0.1,0.785714328289032,2,"cone",512,0.862162232398987
"ecoli",0.1,0.619047701358795,3,"cone",1024,0.670270335674286
"ecoli",0.01,0.452380955219269,32,"cone",1024,0.513513565063477
"ecoli",0.01,0.452380955219269,32,"rect",1024,0.513513565063477
"ecoli",0.01,0.452380955219269,32,"rect",512,0.513513565063477
"ecoli",0.01,0.452380955219269,32,"cone",256,0.513513565063477
"ecoli",0.01,0.452380955219269,32,"rect",256,0.513513565063477
"ecoli",0.1,0.452380955219269,32,"cone",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,32,"rect",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,32,"cone",512,0.513513565063477
"ecoli",0.1,0.452380955219269,32,"rect",512,0.513513565063477
"ecoli",0.1,0.452380955219269,32,"cone",256,0.513513565063477
"ecoli",0.1,0.452380955219269,32,"rect",256,0.513513565063477
"ecoli",1,0.452380955219269,32,"cone",1024,0.513513565063477
"ecoli",1,0.452380955219269,32,"rect",1024,0.513513565063477
"ecoli",1,0.452380955219269,32,"cone",512,0.513513565063477
"ecoli",1,0.452380955219269,32,"rect",512,0.513513565063477
"ecoli",1,0.452380955219269,32,"cone",256,0.513513565063477
"ecoli",1,0.452380955219269,32,"rect",256,0.513513565063477
"ecoli",0.01,0.452380955219269,16,"rect",1024,0.513513565063477
"ecoli",0.01,0.452380955219269,16,"cone",512,0.513513565063477
"ecoli",0.01,0.452380955219269,16,"rect",512,0.513513565063477
"ecoli",0.01,0.452380955219269,16,"cone",256,0.513513565063477
"ecoli",0.01,0.452380955219269,16,"rect",256,0.513513565063477
"ecoli",0.1,0.452380955219269,16,"cone",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,16,"rect",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,16,"cone",512,0.513513565063477
"ecoli",0.1,0.452380955219269,16,"rect",512,0.513513565063477
"ecoli",0.1,0.452380955219269,16,"cone",256,0.513513565063477
"ecoli",0.1,0.452380955219269,16,"rect",256,0.513513565063477
"ecoli",1,0.452380955219269,16,"cone",1024,0.513513565063477
"ecoli",1,0.452380955219269,16,"rect",1024,0.513513565063477
"ecoli",1,0.452380955219269,16,"cone",512,0.513513565063477
"ecoli",1,0.452380955219269,16,"rect",512,0.513513565063477
"ecoli",1,0.452380955219269,16,"cone",256,0.513513565063477
"ecoli",1,0.452380955219269,16,"rect",256,0.513513565063477
"ecoli",0.01,0.452380955219269,8,"cone",1024,0.513513565063477
"ecoli",0.01,0.452380955219269,8,"rect",1024,0.513513565063477
"ecoli",0.01,0.452380955219269,8,"cone",256,0.513513565063477
"ecoli",0.01,0.452380955219269,8,"rect",256,0.513513565063477
"ecoli",0.1,0.452380955219269,8,"cone",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,8,"rect",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,8,"cone",512,0.513513565063477
"ecoli",0.1,0.452380955219269,8,"rect",512,0.513513565063477
"ecoli",0.1,0.452380955219269,8,"cone",256,0.513513565063477
"ecoli",0.1,0.452380955219269,8,"rect",256,0.513513565063477
"ecoli",1,0.452380955219269,8,"cone",1024,0.513513565063477
"ecoli",1,0.452380955219269,8,"rect",1024,0.513513565063477
"ecoli",1,0.452380955219269,8,"cone",512,0.513513565063477
"ecoli",1,0.452380955219269,8,"rect",512,0.513513565063477
"ecoli",1,0.452380955219269,8,"cone",256,0.513513565063477
"ecoli",1,0.452380955219269,8,"rect",256,0.513513565063477
"ecoli",0.01,0.452380955219269,4,"cone",512,0.513513565063477
"ecoli",0.1,0.452380955219269,4,"cone",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,4,"rect",1024,0.513513565063477
"ecoli",0.1,0.452380955219269,4,"cone",512,0.513513565063477
"ecoli",0.1,0.452380955219269,4,"rect",512,0.513513565063477
"ecoli",0.1,0.452380955219269,4,"rect",256,0.513513565063477
"ecoli",1,0.452380955219269,4,"cone",1024,0.513513565063477
"ecoli",1,0.452380955219269,4,"rect",1024,0.513513565063477
"ecoli",1,0.452380955219269,4,"cone",512,0.513513565063477
"ecoli",1,0.452380955219269,4,"rect",512,0.513513565063477
"ecoli",1,0.452380955219269,4,"cone",256,0.513513565063477
"ecoli",1,0.452380955219269,4,"rect",256,0.513513565063477
"ecoli",0.1,0.452380955219269,3,"rect",1024,0.513513565063477
"ecoli",1,0.452380955219269,3,"cone",1024,0.513513565063477
"ecoli",1,0.452380955219269,3,"rect",1024,0.513513565063477
"ecoli",1,0.452380955219269,3,"cone",512,0.513513565063477
"ecoli",1,0.452380955219269,3,"rect",512,0.513513565063477
"ecoli",1,0.452380955219269,3,"cone",256,0.513513565063477
"ecoli",1,0.452380955219269,3,"rect",256,0.513513565063477
"ecoli",1,0.452380955219269,2,"cone",1024,0.513513565063477
"ecoli",1,0.452380955219269,2,"rect",1024,0.513513565063477
"ecoli",1,0.452380955219269,2,"cone",512,0.513513565063477
"ecoli",1,0.452380955219269,2,"rect",512,0.513513565063477
"ecoli",1,0.452380955219269,2,"cone",256,0.513513565063477
"ecoli",1,0.452380955219269,2,"rect",256,0.513513565063477
"ecoli",0.1,0.452380955219269,4,"cone",256,0.38378381729126
"ecoli",0.01,0.0119047621265054,32,"cone",512,0
