"dataset","nlayers","valAccuracy","layerForm","learningrate","testAccuracy","nhidden"
"hayes-roth",2,0.850000035762787,"cone",0.01,0.571428596973419,1024
"hayes-roth",2,0.850000035762787,"rect",0.01,0.5,256
"hayes-roth",2,0.833333373069763,"cone",0.01,0.678571462631226,512
"hayes-roth",2,0.825000035762787,"rect",0.01,0.785714268684387,1024
"hayes-roth",2,0.816666698455811,"rect",0.01,0.5,512
"hayes-roth",3,0.78333335518837,"rect",0.01,0.571428596973419,512
"hayes-roth",3,0.766666674613953,"cone",0.01,0.5,512
"hayes-roth",4,0.733333337306976,"cone",0.01,0.607142865657806,256
"hayes-roth",3,0.683333349227905,"rect",0.01,0.678571462631226,256
"hayes-roth",3,0.666666686534882,"cone",0.01,0.535714268684387,1024
"hayes-roth",2,0.633333361148834,"cone",0.1,0.571428596973419,256
"hayes-roth",4,0.63333335518837,"rect",0.01,0.607142925262451,1024
"hayes-roth",2,0.583333373069763,"cone",0.1,0.357142865657806,512
"hayes-roth",2,0.566666692495346,"cone",0.1,0.5,1024
"hayes-roth",2,0.566666692495346,"cone",0.01,0.535714328289032,256
"hayes-roth",2,0.558333361148834,"rect",0.1,0.5,256
"hayes-roth",3,0.541666686534882,"rect",0.01,0.5,1024
"hayes-roth",8,0.5,"cone",0.01,0.678571462631226,256
"hayes-roth",4,0.5,"rect",0.01,0.428571432828903,512
"hayes-roth",4,0.5,"rect",0.01,0.464285731315613,256
"hayes-roth",4,0.5,"cone",0.1,0.5,1024
"hayes-roth",3,0.433333349227905,"cone",0.1,0.535714328289032,512
"hayes-roth",4,0.433333337306976,"rect",0.1,0.0357142873108387,256
"hayes-roth",32,0.416666686534882,"cone",0.01,0.5,1024
"hayes-roth",32,0.416666686534882,"rect",0.01,0.5,1024
"hayes-roth",32,0.416666686534882,"rect",0.01,0.5,512
"hayes-roth",32,0.416666686534882,"cone",0.01,0.5,256
"hayes-roth",32,0.416666686534882,"rect",0.01,0.5,256
"hayes-roth",32,0.416666686534882,"cone",0.1,0.5,1024
"hayes-roth",32,0.416666686534882,"rect",0.1,0.5,1024
"hayes-roth",32,0.416666686534882,"cone",0.1,0.5,512
"hayes-roth",32,0.416666686534882,"rect",0.1,0.5,512
"hayes-roth",32,0.416666686534882,"cone",0.1,0.5,256
"hayes-roth",32,0.416666686534882,"rect",0.1,0.5,256
"hayes-roth",32,0.416666686534882,"cone",1,0.5,1024
"hayes-roth",32,0.416666686534882,"rect",1,0.5,512
"hayes-roth",16,0.416666686534882,"rect",0.01,0.5,1024
"hayes-roth",16,0.416666686534882,"rect",0.01,0.5,512
"hayes-roth",16,0.416666686534882,"cone",0.01,0.5,256
"hayes-roth",16,0.416666686534882,"rect",0.01,0.5,256
"hayes-roth",16,0.416666686534882,"rect",0.1,0.5,1024
"hayes-roth",16,0.416666686534882,"cone",0.1,0.5,512
"hayes-roth",16,0.416666686534882,"rect",0.1,0.5,512
"hayes-roth",16,0.416666686534882,"cone",0.1,0.5,256
"hayes-roth",16,0.416666686534882,"rect",0.1,0.5,256
"hayes-roth",16,0.416666686534882,"rect",1,0.5,1024
"hayes-roth",16,0.416666686534882,"cone",1,0.5,512
"hayes-roth",16,0.416666686534882,"rect",1,0.5,512
"hayes-roth",16,0.416666686534882,"rect",1,0.5,256
"hayes-roth",8,0.416666686534882,"cone",0.01,0.5,1024
"hayes-roth",8,0.416666686534882,"rect",0.01,0.5,1024
"hayes-roth",8,0.416666686534882,"rect",0.01,0.5,512
"hayes-roth",8,0.416666686534882,"rect",0.01,0.5,256
"hayes-roth",8,0.416666686534882,"cone",0.1,0.5,1024
"hayes-roth",8,0.416666686534882,"rect",0.1,0.5,1024
"hayes-roth",8,0.416666686534882,"cone",0.1,0.5,512
"hayes-roth",8,0.416666686534882,"rect",0.1,0.5,512
"hayes-roth",8,0.416666686534882,"rect",0.1,0.5,256
"hayes-roth",8,0.416666686534882,"rect",1,0.5,512
"hayes-roth",8,0.416666686534882,"rect",1,0.5,256
"hayes-roth",4,0.416666686534882,"cone",0.01,0.5,1024
"hayes-roth",4,0.416666686534882,"rect",0.1,0.5,1024
"hayes-roth",4,0.416666686534882,"cone",0.1,0.5,512
"hayes-roth",4,0.416666686534882,"rect",0.1,0.5,512
"hayes-roth",4,0.416666686534882,"cone",0.1,0.5,256
"hayes-roth",4,0.416666686534882,"cone",1,0.5,1024
"hayes-roth",4,0.416666686534882,"cone",1,0.5,512
"hayes-roth",4,0.416666686534882,"rect",1,0.5,512
"hayes-roth",4,0.416666686534882,"cone",1,0.5,256
"hayes-roth",3,0.416666686534882,"rect",0.1,0.5,1024
"hayes-roth",3,0.416666686534882,"rect",0.1,0.5,512
"hayes-roth",3,0.416666686534882,"cone",1,0.5,1024
"hayes-roth",3,0.416666686534882,"rect",1,0.5,1024
"hayes-roth",3,0.416666686534882,"cone",1,0.5,512
"hayes-roth",3,0.416666686534882,"rect",1,0.5,512
"hayes-roth",3,0.416666686534882,"cone",1,0.5,256
"hayes-roth",3,0.416666686534882,"rect",1,0.5,256
"hayes-roth",2,0.416666686534882,"rect",1,0.5,1024
"hayes-roth",2,0.416666686534882,"rect",1,0.5,512
