"dataset","nhidden","layerForm","valAccuracy","testAccuracy","nlayers","learningrate"
"heart-hungarian",512,"rect",0.830000019073486,0.753424644470215,3,0.01
"heart-hungarian",512,"rect",0.800000011920929,0.767123222351074,8,0.01
"heart-hungarian",256,"rect",0.800000011920929,0.794520556926727,4,0.01
"heart-hungarian",1024,"rect",0.795000010728836,0.794520497322083,2,0.1
"heart-hungarian",256,"cone",0.790000009536743,0.835616409778595,2,0.01
"heart-hungarian",512,"cone",0.790000009536743,0.835616409778595,2,0.1
"heart-hungarian",256,"rect",0.775000011920929,0.849315047264099,2,0.1
"heart-hungarian",512,"rect",0.775000005960465,0.767123281955719,4,0.01
"heart-hungarian",512,"rect",0.775000005960464,0.808219134807587,3,0.1
"heart-hungarian",1024,"rect",0.760000002384186,0.808219194412231,8,0.01
"heart-hungarian",1024,"cone",0.760000002384186,0.821917772293091,3,0.1
"heart-hungarian",512,"cone",0.755000013113022,0.726027369499207,4,0.1
"heart-hungarian",256,"cone",0.755000013113022,0.849315047264099,3,0.01
"heart-hungarian",512,"cone",0.755000001192093,0.794520497322083,3,0.1
"heart-hungarian",512,"cone",0.755000001192093,0.863013684749603,3,0.01
"heart-hungarian",256,"cone",0.755000001192093,0.821917772293091,2,0.1
"heart-hungarian",1024,"cone",0.750000017881393,0.863013684749603,2,0.01
"heart-hungarian",1024,"rect",0.7450000166893,0.835616409778595,3,0.01
"heart-hungarian",1024,"cone",0.745000004768372,0.849315047264099,2,0.1
"heart-hungarian",256,"rect",0.740000015497208,0.835616409778595,3,0.1
"heart-hungarian",1024,"rect",0.735000032186508,0.767123281955719,3,0.1
"heart-hungarian",1024,"rect",0.735000020265579,0.863013684749603,4,0.01
"heart-hungarian",256,"cone",0.735000020265579,0.821917772293091,3,0.1
"heart-hungarian",256,"cone",0.735000020265579,0.849315047264099,4,0.1
"heart-hungarian",512,"rect",0.735000020265579,0.821917772293091,2,0.1
"heart-hungarian",512,"cone",0.725000029802322,0.835616409778595,2,0.01
"heart-hungarian",512,"rect",0.720000028610229,0.821917772293091,2,0.01
"heart-hungarian",256,"rect",0.715000033378601,0.821917772293091,3,0.01
"heart-hungarian",1024,"rect",0.710000032186508,0.821917772293091,2,0.01
"heart-hungarian",1024,"cone",0.700000047683716,0.821917772293091,3,0.01
"heart-hungarian",256,"rect",0.700000023841858,0.849315047264099,2,0.01
"heart-hungarian",512,"cone",0.605000025033951,0.643835604190826,2,1
"heart-hungarian",512,"rect",0.605000025033951,0.643835604190826,2,1
"heart-hungarian",1024,"cone",0.600000023841858,0.643835604190826,32,0.01
"heart-hungarian",1024,"rect",0.600000023841858,0.643835604190826,32,0.01
"heart-hungarian",512,"rect",0.600000023841858,0.643835604190826,32,0.01
"heart-hungarian",256,"cone",0.600000023841858,0.643835604190826,32,0.01
"heart-hungarian",256,"rect",0.600000023841858,0.643835604190826,32,0.01
"heart-hungarian",1024,"cone",0.600000023841858,0.643835604190826,32,0.1
"heart-hungarian",1024,"rect",0.600000023841858,0.643835604190826,32,0.1
"heart-hungarian",512,"cone",0.600000023841858,0.643835604190826,32,0.1
"heart-hungarian",512,"rect",0.600000023841858,0.643835604190826,32,0.1
"heart-hungarian",256,"cone",0.600000023841858,0.643835604190826,32,0.1
"heart-hungarian",256,"rect",0.600000023841858,0.643835604190826,32,0.1
"heart-hungarian",1024,"cone",0.600000023841858,0.643835604190826,32,1
"heart-hungarian",1024,"rect",0.600000023841858,0.643835604190826,32,1
"heart-hungarian",512,"cone",0.600000023841858,0.643835604190826,32,1
