"dataset","nhidden","learningrate","nlayers","layerForm","testAccuracy","valAccuracy"
"hepatitis",512,0.01,4,"rect",0.846153855323792,1
"hepatitis",512,0.1,4,"cone",0.82051283121109,1
"hepatitis",1024,0.01,3,"cone",0.846153855323792,1
"hepatitis",1024,0.01,2,"rect",0.82051283121109,1
"hepatitis",1024,0.1,2,"rect",0.82051283121109,1
"hepatitis",512,0.1,2,"cone",0.769230782985687,1
"hepatitis",256,0.1,2,"cone",0.846153855323792,1
"hepatitis",256,0.1,2,"rect",0.846153855323792,1
"hepatitis",512,0.01,3,"cone",0.846153855323792,0.979999995231628
"hepatitis",256,0.01,2,"rect",0.82051283121109,0.93999999165535
"hepatitis",1024,0.1,2,"cone",0.871794879436493,0.9299999833107
"hepatitis",1024,0.1,3,"cone",0.846153855323792,0.909999984502793
"hepatitis",512,0.1,3,"cone",0.846153855323792,0.909999978542328
"hepatitis",1024,0.01,4,"rect",0.871794879436493,0.899999976158142
"hepatitis",1024,0.01,3,"rect",0.871794879436493,0.899999976158142
"hepatitis",256,0.01,3,"rect",0.769230782985687,0.899999976158142
"hepatitis",1024,0.01,2,"cone",0.871794879436493,0.899999976158142
"hepatitis",512,0.01,2,"rect",0.82051283121109,0.899999976158142
"hepatitis",512,0.01,3,"rect",0.769230782985687,0.889999979734421
"hepatitis",256,1,2,"cone",0.769230782985687,0.879999995231629
"hepatitis",512,0.01,4,"cone",0.794871807098389,0.8799999833107
"hepatitis",512,0.01,8,"rect",0.769230782985687,0.869999986886978
"hepatitis",256,0.1,3,"cone",0.794871807098389,0.839999997615814
"hepatitis",256,0.1,3,"rect",0.743589758872986,0.839999997615814
"hepatitis",256,0.1,4,"rect",0.769230782985687,0.830000001192093
"hepatitis",256,0.01,2,"cone",0.743589758872986,0.830000001192093
"hepatitis",256,0.01,4,"rect",0.794871807098389,0.81000000834465
"hepatitis",1024,0.01,32,"cone",0.794871807098389,0.800000011920929
"hepatitis",512,0.01,32,"cone",0.794871807098389,0.800000011920929
"hepatitis",1024,0.1,32,"cone",0.794871807098389,0.800000011920929
"hepatitis",512,0.1,32,"cone",0.794871807098389,0.800000011920929
"hepatitis",256,0.1,32,"cone",0.794871807098389,0.800000011920929
