"dataset","testAccuracy","layerForm","valAccuracy","nlayers","nhidden","learningrate"
"image-segmentation",0.89380943775177,"cone",0.877777773141861,3,256,0.01
"image-segmentation",0.909523725509644,"cone",0.859259247779846,2,256,0.1
"image-segmentation",0.883809447288513,"rect",0.855555540323258,2,512,0.1
"image-segmentation",0.886666536331177,"cone",0.855555528402328,2,512,0.1
"image-segmentation",0.901428461074829,"rect",0.85185182094574,4,1024,0.01
"image-segmentation",0.857618987560272,"rect",0.84814812541008,4,512,0.01
"image-segmentation",0.899523615837097,"rect",0.833333313465119,2,256,0.01
"image-segmentation",0.877619028091431,"cone",0.829629617929459,4,512,0.01
"image-segmentation",0.891428470611572,"rect",0.82592591047287,3,256,0.01
"image-segmentation",0.907618939876556,"cone",0.822222208976746,4,256,0.1
"image-segmentation",0.907142758369446,"rect",0.822222208976746,2,512,0.01
"image-segmentation",0.901904582977295,"cone",0.818518507480621,3,1024,0.01
"image-segmentation",0.877618968486786,"cone",0.814814811944962,3,512,0.01
"image-segmentation",0.900476098060608,"cone",0.811111110448837,2,512,0.01
"image-segmentation",0.898571312427521,"cone",0.811111104488373,2,256,0.01
"image-segmentation",0.908571243286133,"cone",0.807407408952713,4,256,0.01
"image-segmentation",0.867142736911774,"rect",0.807407402992249,4,256,0.01
"image-segmentation",0.899999856948853,"cone",0.803703701496124,2,1024,0.01
"image-segmentation",0.886666595935822,"rect",0.8,3,512,0.01
"image-segmentation",0.86809515953064,"cone",0.792592597007752,2,1024,0.1
"image-segmentation",0.885714113712311,"rect",0.788888895511627,2,256,0.1
"image-segmentation",0.903333187103271,"rect",0.785185194015503,3,1024,0.01
"image-segmentation",0.893809378147125,"cone",0.785185194015503,3,256,0.1
"image-segmentation",0.871428430080414,"cone",0.781481486558914,3,512,0.1
"image-segmentation",0.88523805141449,"rect",0.77407408952713,2,1024,0.01
"image-segmentation",0.837618947029114,"rect",0.711111122369766,2,1024,0.1
"image-segmentation",0.74142849445343,"cone",0.637037038803101,3,1024,0.1
"image-segmentation",0.785714209079742,"rect",0.55555557012558,3,256,0.1
"image-segmentation",0.511904776096344,"cone",0.481481486558914,8,256,0.01
"image-segmentation",0.599047541618347,"cone",0.459259262681007,8,1024,0.01
"image-segmentation",0.428571432828903,"cone",0.32962963283062,4,1024,0.1
"image-segmentation",0.142857149243355,"cone",0.222222223877907,16,512,0.01
"image-segmentation",0.142857134342194,"rect",0.222222223877907,4,512,0.1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,1024,0.01
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,1024,0.01
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,512,0.01
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,256,0.01
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,256,0.01
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,1024,0.1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,1024,0.1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,512,0.1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,512,0.1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,256,0.1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,256,0.1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,1024,1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,1024,1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,512,1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,512,1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,32,256,1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,32,256,1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,16,1024,0.01
"image-segmentation",0.142857134342194,"rect",0.185185194015503,16,1024,0.01
"image-segmentation",0.142857134342194,"rect",0.185185194015503,16,512,0.01
"image-segmentation",0.142857134342194,"cone",0.185185194015503,16,256,0.01
"image-segmentation",0.142857134342194,"rect",0.185185194015503,16,256,0.01
"image-segmentation",0.142857134342194,"cone",0.185185194015503,16,1024,0.1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,16,1024,0.1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,16,512,0.1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,16,512,0.1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,16,256,0.1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,16,256,0.1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,16,512,1
