"dataset","layerForm","testAccuracy","nhidden","valAccuracy","nlayers","learningrate"
"ionosphere","rect",0.931818187236786,1024,0.956666707992554,4,0.01
"ionosphere","rect",0.920454502105713,512,0.943333387374878,3,0.01
"ionosphere","rect",0.875,1024,0.943333387374878,2,0.1
"ionosphere","cone",0.886363625526428,1024,0.940000057220459,2,0.1
"ionosphere","rect",0.954545497894287,512,0.933333396911621,8,0.01
"ionosphere","rect",0.909090876579285,512,0.933333396911621,4,0.01
"ionosphere","rect",0.897727251052856,1024,0.933333396911621,3,0.01
"ionosphere","cone",0.931818187236786,256,0.933333396911621,2,0.01
"ionosphere","rect",0.943181812763214,256,0.933333390951157,8,0.01
"ionosphere","cone",0.920454502105713,512,0.926666736602783,2,0.01
"ionosphere","rect",0.886363625526428,256,0.923333406448364,2,0.1
"ionosphere","cone",0.852272748947144,256,0.916666734218597,3,0.1
"ionosphere","cone",0.886363625526428,1024,0.910000085830688,3,0.01
"ionosphere","cone",0.920454502105713,1024,0.910000079870224,4,0.01
"ionosphere","rect",0.909090876579285,256,0.90333342552185,3,0.01
"ionosphere","rect",0.931818127632141,1024,0.90333342552185,2,0.01
"ionosphere","rect",0.943181872367859,256,0.900000095367432,4,0.01
"ionosphere","cone",0.943181872367859,1024,0.900000095367432,2,0.01
"ionosphere","rect",0.897727251052856,512,0.900000095367432,2,0.01
"ionosphere","rect",0.909090876579285,256,0.900000095367432,2,0.01
"ionosphere","cone",0.909090876579285,1024,0.896666759252548,3,0.1
"ionosphere","rect",0.875,512,0.893333423137665,3,0.1
"ionosphere","rect",0.840909123420715,512,0.893333423137665,2,0.1
"ionosphere","cone",0.909090876579285,256,0.886666733026505,4,0.01
"ionosphere","cone",0.909090876579285,256,0.876666742563248,2,0.1
"ionosphere","rect",0.909090876579285,1024,0.876666742563248,3,0.1
"ionosphere","cone",0.863636374473572,512,0.873333406448364,2,0.1
"ionosphere","cone",0.920454561710358,512,0.866666740179062,3,0.01
"ionosphere","cone",0.920454502105713,256,0.85000005364418,3,0.01
"ionosphere","rect",0.886363625526428,1024,0.830000042915344,8,0.01
"ionosphere","rect",0.727272748947144,256,0.760000056028366,3,0.1
"ionosphere","cone",0.647727251052856,1024,0.733333349227905,32,0.01
"ionosphere","cone",0.647727251052856,512,0.733333349227905,32,0.01
"ionosphere","cone",0.647727251052856,256,0.733333349227905,32,0.01
"ionosphere","cone",0.647727251052856,1024,0.733333349227905,32,0.1
"ionosphere","cone",0.647727251052856,512,0.733333349227905,32,0.1
"ionosphere","cone",0.647727251052856,1024,0.733333349227905,32,1
"ionosphere","cone",0.647727251052856,512,0.733333349227905,32,1
"ionosphere","cone",0.647727251052856,256,0.733333349227905,32,1
"ionosphere","cone",0.647727251052856,256,0.733333349227905,16,0.01
"ionosphere","cone",0.647727251052856,1024,0.733333349227905,16,1
"ionosphere","cone",0.647727251052856,512,0.733333349227905,16,1
"ionosphere","cone",0.647727251052856,256,0.733333349227905,16,1
"ionosphere","cone",0.647727251052856,1024,0.733333349227905,8,0.01
"ionosphere","cone",0.647727251052856,512,0.733333349227905,8,0.01
"ionosphere","cone",0.647727251052856,256,0.733333349227905,8,0.01
"ionosphere","cone",0.647727251052856,256,0.733333349227905,8,0.1
