"dataset","nhidden","layerForm","learningrate","valAccuracy","nlayers","testAccuracy"
"lung-cancer",1024,"cone",0.01,0.733333346247673,3,0.5
"lung-cancer",256,"cone",0.01,0.666666686534881,32,0.5
"lung-cancer",512,"cone",0.1,0.666666686534881,32,0.5
"lung-cancer",1024,"cone",0.01,0.666666686534881,4,0.5
"lung-cancer",512,"cone",0.01,0.666666686534881,4,0.5
"lung-cancer",512,"cone",0.1,0.666666686534881,4,0.5
"lung-cancer",512,"cone",0.1,0.666666686534881,3,0.5
"lung-cancer",512,"rect",0.1,0.633333352208137,32,0.5
"lung-cancer",512,"cone",0.1,0.600000017881393,16,0.5
"lung-cancer",1024,"rect",0.1,0.600000017881393,4,0.5
"lung-cancer",256,"cone",0.01,0.566666683554649,2,0.375
"lung-cancer",512,"cone",1,0.533333349227905,16,0.25
"lung-cancer",1024,"cone",1,0.533333349227905,3,0.25
"lung-cancer",256,"rect",1,0.500000014901161,8,0.5
"lung-cancer",1024,"rect",1,0.500000014901161,16,0.5
"lung-cancer",256,"rect",1,0.466666680574417,16,0.25
"lung-cancer",256,"cone",1,0.466666680574417,8,0.25
"lung-cancer",1024,"rect",1,0.466666680574417,3,0.5
"lung-cancer",1024,"cone",1,0.466666680574417,16,0.5
"lung-cancer",512,"rect",1,0.433333346247673,16,0.25
"lung-cancer",512,"cone",1,0.400000011920929,8,0.25
"lung-cancer",1024,"cone",1,0.366666677594185,32,0.25
"lung-cancer",512,"rect",1,0.366666677594185,2,0.25
"lung-cancer",256,"rect",0.01,0.366666677594185,2,0.25
"lung-cancer",512,"cone",1,0.333333343267441,4,0.25
"lung-cancer",256,"rect",0.1,0.333333343267441,2,0.75
"lung-cancer",256,"cone",0.1,0.333333343267441,32,0.25
"lung-cancer",512,"rect",0.01,0.333333343267441,8,0.25
"lung-cancer",1024,"cone",0.1,0.333333343267441,8,0.25
"lung-cancer",256,"cone",0.01,0.333333343267441,4,0.25
"lung-cancer",1024,"cone",0.1,0.333333343267441,4,0.25
"lung-cancer",256,"cone",0.1,0.333333343267441,3,0.25
"lung-cancer",512,"cone",0.01,0.333333343267441,2,0.375
"lung-cancer",256,"cone",0.1,0.333333343267441,2,0.5
"lung-cancer",256,"rect",0.01,0.16666667163372,3,0.375
"lung-cancer",1024,"cone",0.01,0.133333337306976,2,0.5
"lung-cancer",1024,"rect",0.01,0.100000002980232,2,0.5
"lung-cancer",512,"rect",0.01,0.0666666686534882,3,0.375
"lung-cancer",256,"cone",0.01,0.0666666686534882,3,0.25
"lung-cancer",512,"cone",0.1,0.0666666686534882,2,0.5
"lung-cancer",1024,"rect",0.01,0.0333333343267441,3,0.25
"lung-cancer",512,"rect",0.01,0.0333333343267441,2,0.25
"lung-cancer",1024,"cone",0.1,0.0333333343267441,2,0.25
"lung-cancer",256,"cone",1,0.0333333343267441,2,0.375
"lung-cancer",1024,"cone",0.01,0,32,0.25
"lung-cancer",1024,"rect",0.01,0,32,0.25
"lung-cancer",512,"cone",0.01,0,32,0.25
"lung-cancer",512,"rect",0.01,0,32,0.25
"lung-cancer",256,"rect",0.01,0,32,0.25
"lung-cancer",1024,"cone",0.1,0,32,0.25
