"dataset","testAccuracy","layerForm","nlayers","valAccuracy","nhidden","learningrate"
"magic",0.86898010969162,"cone",2,0.871368181705475,1024,0.01
"magic",0.865404844284058,"rect",4,0.867983108758926,256,0.01
"magic",0.870452165603638,"cone",3,0.867348408699036,512,0.01
"magic",0.859516382217407,"cone",2,0.866361129283905,512,0.1
"magic",0.869190454483032,"rect",2,0.865655893087387,512,0.01
"magic",0.868559420108795,"rect",3,0.864809614419937,512,0.1
"magic",0.871503710746765,"cone",3,0.863540244102478,256,0.01
"magic",0.853207230567932,"rect",4,0.862976056337357,512,0.01
"magic",0.86855947971344,"cone",2,0.862482416629791,256,0.01
"magic",0.862460732460022,"cone",4,0.862411868572235,256,0.1
"magic",0.863512277603149,"rect",3,0.862129801511765,1024,0.01
"magic",0.870031595230103,"cone",8,0.861706680059433,512,0.01
"magic",0.868769764900208,"cone",4,0.860578316450119,256,0.01
"magic",0.869821310043335,"cone",2,0.859732037782669,1024,0.1
"magic",0.863301873207092,"cone",2,0.859379398822784,512,0.01
"magic",0.857203125953674,"rect",4,0.85923838019371,1024,0.01
"magic",0.865404963493347,"rect",2,0.859167885780334,256,0.01
"magic",0.871503710746765,"cone",4,0.85740482211113,512,0.01
"magic",0.867087364196777,"cone",2,0.857122749090195,256,0.1
"magic",0.87276554107666,"cone",3,0.856840640306473,1024,0.01
"magic",0.86435341835022,"rect",2,0.856699627637863,1024,0.01
"magic",0.868138909339905,"rect",3,0.855641782283783,256,0.01
"magic",0.861198782920837,"rect",2,0.852115702629089,512,0.1
"magic",0.852155685424805,"rect",3,0.851692563295364,512,0.01
"magic",0.85257625579834,"cone",3,0.849224305152893,512,0.1
"magic",0.843953788280487,"rect",8,0.847672826051712,256,0.01
"magic",0.842271327972412,"rect",3,0.847038114070892,1024,0.1
"magic",0.849001109600067,"cone",3,0.845486658811569,1024,0.1
"magic",0.848159968852997,"rect",2,0.845486623048782,256,0.1
"magic",0.84837019443512,"cone",4,0.845345604419708,1024,0.1
"magic",0.845636248588562,"rect",2,0.844287753105164,1024,0.1
"magic",0.850893914699554,"rect",8,0.842454195022583,512,0.01
"magic",0.84626716375351,"rect",8,0.841819512844086,1024,0.01
"magic",0.810094714164734,"rect",3,0.813610726594925,256,0.1
"magic",0.648370146751404,"cone",8,0.627644598484039,1024,0.1
"magic",0.648370146751404,"rect",4,0.627644598484039,256,1
"magic",0.648370146751404,"rect",32,0.627644592523575,256,0.1
"magic",0.648370146751404,"cone",16,0.627644592523575,1024,0.1
"magic",0.648370146751404,"rect",16,0.627644592523575,512,0.1
"magic",0.648370146751404,"cone",16,0.627644592523575,256,0.1
"magic",0.648370146751404,"cone",16,0.627644592523575,512,1
"magic",0.648370146751404,"cone",8,0.627644592523575,256,0.1
"magic",0.648370146751404,"rect",8,0.627644592523575,256,0.1
"magic",0.648370146751404,"cone",8,0.627644592523575,1024,1
"magic",0.648370146751404,"rect",8,0.627644592523575,1024,1
"magic",0.648370146751404,"rect",4,0.627644592523575,1024,0.1
"magic",0.648370146751404,"rect",3,0.627644592523575,1024,1
"magic",0.648370146751404,"rect",3,0.627644592523575,512,1
"magic",0.648370146751404,"rect",3,0.627644592523575,256,1
"magic",0.648370146751404,"cone",2,0.627644592523575,256,1
"magic",0.648370146751404,"cone",32,0.627644586563111,256,0.1
"magic",0.648370146751404,"cone",32,0.627644586563111,512,1
"magic",0.648370146751404,"cone",16,0.627644586563111,512,0.01
"magic",0.648370146751404,"cone",16,0.627644586563111,512,0.1
"magic",0.648370146751404,"rect",4,0.627644586563111,512,0.1
"magic",0.648370206356049,"rect",32,0.627644580602646,1024,0.01
"magic",0.648370146751404,"cone",32,0.627644580602646,1024,0.1
"magic",0.648370146751404,"rect",32,0.627644580602646,512,0.1
"magic",0.648370146751404,"cone",32,0.627644580602646,256,1
"magic",0.648370146751404,"rect",8,0.627644580602646,1024,0.1
"magic",0.648370146751404,"cone",8,0.627644580602646,512,1
"magic",0.648370146751404,"cone",3,0.627644580602646,256,0.1
"magic",0.648370146751404,"cone",3,0.627644580602646,512,1
"magic",0.648370146751404,"cone",2,0.627644580602646,1024,1
"magic",0.648370146751404,"cone",2,0.627644580602646,512,1
"magic",0.648370206356049,"cone",32,0.627644580602646,1024,0.01
"magic",0.648370146751404,"rect",32,0.627644580602646,512,0.01
"magic",0.648370146751404,"rect",32,0.627644580602646,256,0.01
"magic",0.648370206356049,"cone",32,0.627644580602646,512,0.1
"magic",0.648370146751404,"cone",16,0.627644580602646,256,1
"magic",0.648370146751404,"cone",4,0.627644580602646,512,1
"magic",0.648370146751404,"rect",8,0.627644574642182,256,1
"magic",0.648370146751404,"cone",4,0.627644574642182,512,0.1
"magic",0.648370146751404,"rect",4,0.627644574642182,512,1
"magic",0.648370146751404,"cone",3,0.627644574642182,256,1
"magic",0.648370146751404,"cone",32,0.627644574642181,1024,1
"magic",0.648370146751404,"rect",16,0.627644574642181,1024,0.01
"magic",0.648370146751404,"rect",16,0.627644574642181,1024,0.1
"magic",0.648370146751404,"rect",16,0.627644574642181,256,0.1
"magic",0.648370146751404,"rect",16,0.627644574642181,256,1
"magic",0.648370146751404,"cone",4,0.627644574642181,1024,0.01
"magic",0.648370146751404,"rect",32,0.627644568681717,256,1
"magic",0.648370146751404,"cone",16,0.627644568681717,1024,1
"magic",0.648370146751404,"cone",32,0.627644568681717,256,0.01
"magic",0.648370146751404,"rect",32,0.627644568681717,1024,0.1
"magic",0.648370146751404,"cone",16,0.627644568681717,256,0.01
"magic",0.648370146751404,"rect",16,0.627644568681717,1024,1
"magic",0.648370146751404,"cone",8,0.627644568681717,256,0.01
"magic",0.648370206356049,"rect",4,0.627644568681717,256,0.1
"magic",0.648370146751404,"cone",4,0.627644568681717,256,1
"magic",0.648370146751404,"rect",2,0.627644568681717,1024,1
"magic",0.648370146751404,"rect",2,0.627644568681717,512,1
"magic",0.648370146751404,"rect",2,0.627644568681717,256,1
"magic",0.648370146751404,"rect",16,0.627644568681717,512,1
"magic",0.648370146751404,"cone",3,0.627644562721253,1024,1
"magic",0.648370146751404,"rect",32,0.627644562721253,1024,1
"magic",0.648370146751404,"rect",32,0.627644562721253,512,1
"magic",0.648370206356049,"cone",16,0.627644562721253,1024,0.01
"magic",0.648370146751404,"rect",16,0.627644562721253,512,0.01
"magic",0.648370146751404,"cone",8,0.627644562721253,1024,0.01
"magic",0.648370146751404,"rect",8,0.627644562721253,512,0.1
"magic",0.648370146751404,"cone",8,0.627644562721253,256,1
"magic",0.648370146751404,"cone",4,0.627644562721253,1024,1
"magic",0.648370146751404,"rect",4,0.627644562721253,1024,1
"magic",0.648370146751404,"cone",32,0.627644562721252,512,0.01
"magic",0.648370146751404,"rect",16,0.627644562721252,256,0.01
"magic",0.648370146751404,"rect",8,0.627644556760788,512,1
"magic",0.648370146751404,"cone",8,0.627644556760788,512,0.1
