"dataset","learningrate","nlayers","nhidden","testAccuracy","layerForm","valAccuracy"
"miniboone",0.01,2,512,0.927205920219421,"cone",0.931602221727371
"miniboone",0.01,3,512,0.92794394493103,"cone",0.930311298370361
"miniboone",0.01,2,1024,0.925237596035004,"cone",0.930053126811981
"miniboone",0.01,2,256,0.923915266990662,"cone",0.929939514398575
"miniboone",0.01,2,1024,0.925329923629761,"rect",0.929557400941849
"miniboone",0.1,2,256,0.925237536430359,"cone",0.929474800825119
"miniboone",0.01,2,256,0.925360679626465,"rect",0.929299223423004
"miniboone",0.01,4,512,0.925268411636353,"cone",0.929206269979477
"miniboone",0.01,2,512,0.92569887638092,"rect",0.92865891456604
"miniboone",0.01,3,1024,0.924807071685791,"rect",0.928638255596161
"miniboone",0.01,3,256,0.924684107303619,"rect",0.928442066907883
"miniboone",0.01,3,1024,0.92674458026886,"cone",0.928369760513306
"miniboone",0.1,3,256,0.924868583679199,"cone",0.92823548913002
"miniboone",0.01,3,256,0.923023462295532,"cone",0.928101235628128
"miniboone",0.01,4,256,0.920470774173737,"cone",0.927874022722244
"miniboone",0.01,4,1024,0.925452947616577,"cone",0.927584880590439
"miniboone",0.1,2,256,0.92210066318512,"rect",0.927564233541489
"miniboone",0.1,2,512,0.922992587089539,"cone",0.927533251047134
"miniboone",0.01,3,512,0.925791144371033,"rect",0.926892954111099
"miniboone",0.1,2,1024,0.917610645294189,"cone",0.926696741580963
"miniboone",0.01,4,256,0.925114631652832,"rect",0.926397234201431
"miniboone",0.1,2,1024,0.921362638473511,"rect",0.926386898756027
"miniboone",0.1,2,512,0.92259281873703,"rect",0.926180320978165
"miniboone",0.1,3,256,0.916134417057037,"rect",0.926015084981919
"miniboone",0.1,3,512,0.921516418457031,"cone",0.925911819934845
"miniboone",0.1,4,1024,0.92243903875351,"cone",0.925705283880234
"miniboone",0.01,4,1024,0.917487561702728,"rect",0.924930715560913
"miniboone",0.01,4,512,0.911982595920563,"rect",0.924517631530762
"miniboone",0.1,3,1024,0.924253523349762,"cone",0.924187159538269
"miniboone",0.01,8,1024,0.916318893432617,"rect",0.921502059698105
"miniboone",0.01,8,512,0.917518377304077,"rect",0.920314359664917
"miniboone",0.01,32,1024,0.719400227069855,"cone",0.715480923652649
"miniboone",0.01,32,512,0.719400227069855,"cone",0.715480923652649
"miniboone",0.01,32,256,0.719400227069855,"cone",0.715480923652649
"miniboone",0.1,32,512,0.719400227069855,"cone",0.715480923652649
"miniboone",0.1,32,256,0.719400227069855,"cone",0.715480923652649
"miniboone",1,32,512,0.719400227069855,"cone",0.715480923652649
"miniboone",1,32,256,0.719400227069855,"cone",0.715480923652649
"miniboone",0.01,16,1024,0.719400227069855,"cone",0.715480923652649
"miniboone",0.01,16,512,0.719400227069855,"cone",0.715480923652649
"miniboone",0.01,16,256,0.719400227069855,"cone",0.715480923652649
"miniboone",0.1,16,1024,0.719400227069855,"cone",0.715480923652649
