"dataset","layerForm","learningrate","testAccuracy","nhidden","valAccuracy","nlayers"
"monks-3","cone",0.1,0.523148119449615,1024,0.890909123420715,2
"monks-3","cone",0.01,0.537037014961243,512,0.881818217039108,2
"monks-3","rect",0.01,0.564814805984497,256,0.86363639831543,3
"monks-3","rect",0.01,0.636574029922485,512,0.863636392354965,2
"monks-3","rect",0.01,0.587962985038757,512,0.845454567670822,3
"monks-3","rect",0.01,0.534722208976746,256,0.845454567670822,2
"monks-3","rect",0.01,0.439814835786819,1024,0.818181872367859,3
"monks-3","cone",0.1,0.631944417953491,256,0.809090948104858,3
"monks-3","rect",0.01,0.571759223937988,1024,0.790909135341644,4
"monks-3","rect",0.01,0.541666686534882,256,0.781818228960037,4
"monks-3","cone",0.01,0.537037014961243,1024,0.718181842565537,3
"monks-3","rect",0.01,0.555555582046509,1024,0.618181824684143,2
"monks-3","cone",0.01,0.527777791023254,512,0.545454561710358,32
"monks-3","cone",0.1,0.527777791023254,512,0.545454561710358,32
"monks-3","cone",0.01,0.527777791023254,1024,0.545454561710358,16
"monks-3","rect",0.01,0.527777791023254,256,0.545454561710358,16
"monks-3","cone",0.1,0.527777791023254,1024,0.545454561710358,16
"monks-3","cone",0.1,0.527777791023254,256,0.545454561710358,16
"monks-3","cone",0.01,0.527777791023254,512,0.545454561710358,8
"monks-3","rect",0.01,0.527777791023254,512,0.545454561710358,8
"monks-3","cone",0.01,0.527777791023254,256,0.545454561710358,8
"monks-3","cone",0.1,0.527777791023254,512,0.545454561710358,8
"monks-3","cone",0.01,0.527777791023254,256,0.545454561710358,4
"monks-3","cone",0.01,0.527777791023254,512,0.545454561710358,3
"monks-3","cone",0.01,0.497685223817825,256,0.545454561710358,3
"monks-3","rect",0.1,0.587962985038757,256,0.536363652348518,2
"monks-3","rect",0.1,0.530092656612396,1024,0.527272742986679,2
"monks-3","cone",0.1,0.527777791023254,1024,0.51818183362484,32
"monks-3","cone",1,0.527777791023254,1024,0.51818183362484,32
"monks-3","cone",1,0.472222238779068,512,0.51818183362484,32
"monks-3","cone",0.1,0.527777791023254,512,0.51818183362484,16
"monks-3","cone",1,0.472222238779068,512,0.51818183362484,16
"monks-3","cone",0.1,0.527777791023254,256,0.51818183362484,4
"monks-3","rect",1,0.527777791023254,512,0.51818183362484,4
"monks-3","cone",0.1,0.601851880550385,512,0.51818183362484,2
"monks-3","rect",0.1,0.527777791023254,512,0.51818183362484,2
"monks-3","cone",1,0.527777791023254,1024,0.509090924263001,8
"monks-3","rect",1,0.527777791023254,256,0.509090924263001,4
"monks-3","rect",1,0.506944417953491,256,0.509090924263001,2
"monks-3","rect",1,0.527777791023254,512,0.509090924263001,32
"monks-3","cone",0.1,0.527777791023254,256,0.509090924263001,8
"monks-3","rect",1,0.527777791023254,1024,0.509090924263001,8
"monks-3","rect",1,0.472222238779068,512,0.509090924263001,8
"monks-3","cone",0.01,0.365740716457367,1024,0.509090924263001,4
"monks-3","rect",1,0.527777791023254,1024,0.509090924263001,4
"monks-3","cone",1,0.472222238779068,256,0.509090924263001,4
"monks-3","cone",1,0.467592597007751,256,0.509090924263001,3
"monks-3","rect",1,0.472222238779068,1024,0.500000014901161,32
"monks-3","cone",1,0.472222238779068,256,0.500000014901161,32
"monks-3","cone",1,0.472222238779068,1024,0.500000014901161,16
"monks-3","cone",1,0.520833313465118,256,0.500000014901161,16
"monks-3","cone",0.01,0.516203701496124,512,0.500000014901161,4
"monks-3","rect",0.01,0.384259253740311,512,0.500000014901161,4
"monks-3","rect",0.1,0.400462925434113,1024,0.500000014901161,3
"monks-3","cone",0.1,0.472222238779068,512,0.500000014901161,3
"monks-3","cone",1,0.472222238779068,512,0.500000014901161,3
"monks-3","cone",1,0.5625,1024,0.500000014901161,2
"monks-3","cone",0.01,0.472222238779068,1024,0.490909105539322,32
"monks-3","cone",1,0.472222238779068,256,0.490909105539322,2
"monks-3","rect",1,0.472222238779068,256,0.490909105539322,8
"monks-3","cone",0.01,0.407407402992249,1024,0.490909105539322,2
"monks-3","cone",0.01,0.472222238779068,256,0.490909105539322,2
"monks-3","cone",1,0.587962925434113,512,0.490909105539322,2
"monks-3","rect",0.1,0.472222238779068,512,0.481818196177483,3
"monks-3","cone",0.1,0.446759283542633,256,0.481818196177483,2
"monks-3","cone",0.01,0.472222238779068,256,0.481818196177483,32
"monks-3","cone",0.1,0.472222238779068,512,0.463636377453804,4
"monks-3","rect",0.1,0.472222238779068,256,0.463636377453804,3
"monks-3","rect",0.01,0.472222238779068,1024,0.454545468091965,32
"monks-3","rect",0.01,0.472222238779068,512,0.454545468091965,32
"monks-3","rect",0.01,0.472222238779068,256,0.454545468091965,32
"monks-3","rect",0.1,0.472222238779068,1024,0.454545468091965,32
"monks-3","rect",0.1,0.472222238779068,512,0.454545468091965,32
"monks-3","cone",0.1,0.472222238779068,256,0.454545468091965,32
"monks-3","rect",0.1,0.472222238779068,256,0.454545468091965,32
"monks-3","rect",1,0.472222238779068,256,0.454545468091965,32
"monks-3","rect",0.01,0.472222238779068,1024,0.454545468091965,16
"monks-3","cone",0.01,0.472222238779068,512,0.454545468091965,16
"monks-3","rect",0.01,0.472222238779068,512,0.454545468091965,16
"monks-3","cone",0.01,0.472222238779068,256,0.454545468091965,16
"monks-3","rect",0.1,0.472222238779068,1024,0.454545468091965,16
"monks-3","rect",0.1,0.472222238779068,512,0.454545468091965,16
"monks-3","rect",0.1,0.472222238779068,256,0.454545468091965,16
