"dataset","testAccuracy","learningrate","layerForm","nlayers","valAccuracy","nhidden"
"musk-1",0.899159789085388,0.01,"cone",4,1,256
"musk-1",0.882352948188782,0.01,"rect",4,0.96666669845581,1024
"musk-1",0.848739504814148,0.01,"rect",2,0.96666669845581,512
"musk-1",0.890756368637085,0.1,"cone",2,0.963333368301391,256
"musk-1",0.890756368637085,0.1,"cone",3,0.953333377838135,256
"musk-1",0.907563090324402,0.1,"cone",2,0.943333387374878,512
"musk-1",0.865546226501465,0.01,"cone",3,0.940000057220459,1024
"musk-1",0.899159789085388,0.01,"rect",4,0.93666672706604,256
"musk-1",0.899159669876099,0.1,"cone",4,0.933333396911621,1024
"musk-1",0.865546345710754,0.01,"rect",3,0.933333396911621,1024
"musk-1",0.899159789085388,0.1,"cone",2,0.926666736602783,1024
"musk-1",0.890756368637085,0.1,"rect",2,0.926666736602783,512
"musk-1",0.890756368637085,0.1,"cone",4,0.923333388566971,512
"musk-1",0.882352948188782,0.1,"cone",3,0.920000058412552,1024
"musk-1",0.865546226501465,0.01,"rect",2,0.916666740179062,1024
"musk-1",0.873949646949768,0.1,"rect",2,0.916666710376739,256
"musk-1",0.882353067398071,0.01,"rect",3,0.900000095367432,256
"musk-1",0.857142925262451,0.01,"cone",2,0.900000089406967,256
"musk-1",0.865546345710754,0.01,"cone",3,0.900000035762787,256
"musk-1",0.831932783126831,0.01,"rect",2,0.896666759252548,256
"musk-1",0.873949646949768,0.1,"rect",3,0.896666747331619,1024
"musk-1",0.831932902336121,0.01,"rect",8,0.890000075101852,1024
"musk-1",0.857142925262451,0.01,"cone",2,0.886666750907898,512
"musk-1",0.815126061439514,0.1,"rect",2,0.870000076293945,1024
"musk-1",0.848739504814148,0.01,"rect",4,0.870000016689301,512
"musk-1",0.873949646949768,0.01,"rect",3,0.866666734218597,512
"musk-1",0.865546345710754,0.01,"cone",2,0.846666741371155,1024
"musk-1",0.848739504814148,0.1,"cone",3,0.846666723489761,512
"musk-1",0.890756368637085,0.01,"cone",3,0.836666703224182,512
"musk-1",0.739495873451233,0.1,"rect",3,0.82666671872139,512
"musk-1",0.773109316825867,0.01,"cone",4,0.823333406448364,512
"musk-1",0.571428656578064,0.01,"rect",8,0.536666697263718,512
"musk-1",0.571428656578064,0.01,"cone",32,0.533333361148834,1024
"musk-1",0.571428656578064,0.01,"rect",32,0.533333361148834,1024
"musk-1",0.571428656578064,0.01,"cone",32,0.533333361148834,512
"musk-1",0.571428656578064,0.01,"rect",32,0.533333361148834,512
"musk-1",0.571428656578064,0.01,"cone",32,0.533333361148834,256
"musk-1",0.571428656578064,0.01,"rect",32,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"cone",32,0.533333361148834,1024
"musk-1",0.571428656578064,0.1,"rect",32,0.533333361148834,1024
"musk-1",0.571428656578064,0.1,"cone",32,0.533333361148834,512
"musk-1",0.571428656578064,0.1,"rect",32,0.533333361148834,512
"musk-1",0.571428656578064,0.1,"cone",32,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"rect",32,0.533333361148834,256
"musk-1",0.571428656578064,1,"cone",32,0.533333361148834,1024
"musk-1",0.571428656578064,1,"rect",32,0.533333361148834,1024
"musk-1",0.571428656578064,1,"cone",32,0.533333361148834,512
"musk-1",0.571428656578064,1,"rect",32,0.533333361148834,512
"musk-1",0.571428656578064,1,"cone",32,0.533333361148834,256
"musk-1",0.571428656578064,1,"rect",32,0.533333361148834,256
"musk-1",0.571428656578064,0.01,"cone",16,0.533333361148834,1024
"musk-1",0.571428656578064,0.01,"rect",16,0.533333361148834,1024
"musk-1",0.571428656578064,0.01,"cone",16,0.533333361148834,512
"musk-1",0.571428656578064,0.01,"rect",16,0.533333361148834,512
"musk-1",0.571428656578064,0.01,"rect",16,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"cone",16,0.533333361148834,1024
"musk-1",0.571428656578064,0.1,"rect",16,0.533333361148834,1024
"musk-1",0.571428656578064,0.1,"cone",16,0.533333361148834,512
"musk-1",0.571428656578064,0.1,"rect",16,0.533333361148834,512
"musk-1",0.571428656578064,0.1,"cone",16,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"rect",16,0.533333361148834,256
"musk-1",0.571428656578064,1,"cone",16,0.533333361148834,1024
"musk-1",0.571428656578064,1,"rect",16,0.533333361148834,1024
"musk-1",0.571428656578064,1,"cone",16,0.533333361148834,512
"musk-1",0.571428656578064,1,"rect",16,0.533333361148834,512
"musk-1",0.571428656578064,1,"cone",16,0.533333361148834,256
"musk-1",0.571428656578064,1,"rect",16,0.533333361148834,256
"musk-1",0.571428656578064,0.01,"cone",8,0.533333361148834,1024
"musk-1",0.571428656578064,0.01,"cone",8,0.533333361148834,256
"musk-1",0.571428656578064,0.01,"rect",8,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"cone",8,0.533333361148834,1024
"musk-1",0.571428656578064,0.1,"rect",8,0.533333361148834,1024
"musk-1",0.571428656578064,0.1,"cone",8,0.533333361148834,512
"musk-1",0.571428656578064,0.1,"rect",8,0.533333361148834,512
"musk-1",0.571428656578064,0.1,"cone",8,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"rect",8,0.533333361148834,256
"musk-1",0.571428656578064,1,"cone",8,0.533333361148834,1024
"musk-1",0.571428656578064,1,"rect",8,0.533333361148834,1024
"musk-1",0.571428656578064,1,"cone",8,0.533333361148834,512
"musk-1",0.571428656578064,1,"rect",8,0.533333361148834,512
"musk-1",0.571428656578064,1,"cone",8,0.533333361148834,256
"musk-1",0.571428656578064,1,"rect",8,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"rect",4,0.533333361148834,1024
"musk-1",0.571428656578064,0.1,"rect",4,0.533333361148834,512
"musk-1",0.571428656578064,0.1,"cone",4,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"rect",4,0.533333361148834,256
"musk-1",0.571428656578064,1,"cone",4,0.533333361148834,1024
"musk-1",0.571428656578064,1,"rect",4,0.533333361148834,1024
"musk-1",0.571428656578064,1,"cone",4,0.533333361148834,512
"musk-1",0.571428656578064,1,"rect",4,0.533333361148834,512
"musk-1",0.571428656578064,1,"cone",4,0.533333361148834,256
"musk-1",0.571428656578064,1,"rect",4,0.533333361148834,256
"musk-1",0.571428656578064,0.1,"rect",3,0.533333361148834,256
"musk-1",0.571428656578064,1,"cone",3,0.533333361148834,1024
"musk-1",0.571428656578064,1,"rect",3,0.533333361148834,1024
"musk-1",0.571428656578064,1,"cone",3,0.533333361148834,512
"musk-1",0.571428656578064,1,"rect",3,0.533333361148834,512
"musk-1",0.571428656578064,1,"cone",3,0.533333361148834,256
"musk-1",0.571428656578064,1,"rect",3,0.533333361148834,256
"musk-1",0.571428656578064,1,"cone",2,0.533333361148834,1024
"musk-1",0.571428656578064,1,"rect",2,0.533333361148834,1024
"musk-1",0.571428656578064,1,"cone",2,0.533333361148834,512
"musk-1",0.571428656578064,1,"rect",2,0.533333361148834,512
"musk-1",0.571428656578064,1,"cone",2,0.533333361148834,256
"musk-1",0.571428656578064,1,"rect",2,0.533333361148834,256
"musk-1",0.428571462631226,0.01,"cone",4,0.490000033378601,1024
"musk-1",0.428571462631226,0.01,"cone",16,0.46666669845581,256
"musk-1",0.428571462631226,0.01,"cone",8,0.46666669845581,512
