"dataset","layerForm","nhidden","testAccuracy","valAccuracy","nlayers","learningrate"
"oocytes_trisopterus_nucleus_2f","rect",256,0.793859720230103,0.878125,3,0.01
"oocytes_trisopterus_nucleus_2f","rect",256,0.842105269432068,0.8734375,4,0.01
"oocytes_trisopterus_nucleus_2f","cone",256,0.780701816082001,0.846875,8,0.01
"oocytes_trisopterus_nucleus_2f","cone",256,0.793859720230103,0.8453125,4,0.1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.79824560880661,0.8453125,4,0.01
"oocytes_trisopterus_nucleus_2f","cone",512,0.793859660625458,0.840625,2,0.1
"oocytes_trisopterus_nucleus_2f","rect",512,0.771929860115051,0.8390625,2,0.1
"oocytes_trisopterus_nucleus_2f","rect",256,0.828947365283966,0.8375,8,0.01
"oocytes_trisopterus_nucleus_2f","rect",1024,0.697368383407593,0.8359375,8,0.01
"oocytes_trisopterus_nucleus_2f","rect",1024,0.824561417102814,0.834375,3,0.01
"oocytes_trisopterus_nucleus_2f","cone",512,0.811403453350067,0.83125,4,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.780701756477356,0.8296875,2,0.1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.793859660625458,0.8296875,2,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.824561417102814,0.828125,2,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.802631556987762,0.825,8,0.01
"oocytes_trisopterus_nucleus_2f","rect",1024,0.798245549201965,0.8234375,4,0.01
"oocytes_trisopterus_nucleus_2f","cone",512,0.842105269432068,0.8234375,3,0.1
"oocytes_trisopterus_nucleus_2f","cone",256,0.837719321250916,0.8234375,2,0.01
"oocytes_trisopterus_nucleus_2f","rect",512,0.793859720230103,0.821875,3,0.01
"oocytes_trisopterus_nucleus_2f","rect",256,0.732456207275391,0.8203125,2,0.1
"oocytes_trisopterus_nucleus_2f","rect",256,0.80701756477356,0.8203125,2,0.01
"oocytes_trisopterus_nucleus_2f","cone",256,0.811403512954712,0.8171875,2,0.1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.780701756477356,0.815625,3,0.01
"oocytes_trisopterus_nucleus_2f","cone",256,0.815789401531219,0.815625,3,0.1
"oocytes_trisopterus_nucleus_2f","cone",512,0.728070139884949,0.8140625,3,0.01
"oocytes_trisopterus_nucleus_2f","cone",512,0.793859601020813,0.8125,2,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.802631616592407,0.809375,2,0.01
"oocytes_trisopterus_nucleus_2f","rect",512,0.758771896362305,0.8,4,0.01
"oocytes_trisopterus_nucleus_2f","rect",512,0.70175439119339,0.7828125,3,0.1
"oocytes_trisopterus_nucleus_2f","rect",512,0.802631556987762,0.7828125,2,0.01
"oocytes_trisopterus_nucleus_2f","rect",512,0.706140339374542,0.778125,8,0.01
"oocytes_trisopterus_nucleus_2f","cone",256,0.644736886024475,0.7640625,3,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.684210538864136,0.6828125,3,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.570175468921661,0.5875,3,0.1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.578947365283966,0.5625,32,0.01
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,32,0.01
"oocytes_trisopterus_nucleus_2f","rect",256,0.578947365283966,0.5625,32,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.578947365283966,0.5625,32,0.1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,32,0.1
"oocytes_trisopterus_nucleus_2f","cone",256,0.578947365283966,0.5625,32,0.1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.578947365283966,0.5625,32,1
"oocytes_trisopterus_nucleus_2f","cone",256,0.578947365283966,0.5625,32,1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,16,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.578947365283966,0.5625,16,0.1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,16,0.1
"oocytes_trisopterus_nucleus_2f","cone",256,0.578947365283966,0.5625,16,0.1
"oocytes_trisopterus_nucleus_2f","rect",256,0.578947365283966,0.5625,16,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.578947365283966,0.5625,16,1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,16,1
"oocytes_trisopterus_nucleus_2f","cone",256,0.578947365283966,0.5625,16,1
"oocytes_trisopterus_nucleus_2f","rect",256,0.578947365283966,0.5625,16,1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,8,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.578947365283966,0.5625,8,0.1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,8,0.1
"oocytes_trisopterus_nucleus_2f","cone",256,0.578947365283966,0.5625,8,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.578947365283966,0.5625,8,1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,8,1
"oocytes_trisopterus_nucleus_2f","cone",256,0.578947365283966,0.5625,8,1
"oocytes_trisopterus_nucleus_2f","cone",512,0.578947365283966,0.5625,4,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.578947365283966,0.5625,4,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.578947365283966,0.5625,4,0.1
"oocytes_trisopterus_nucleus_2f","rect",512,0.578947365283966,0.5625,4,0.1
"oocytes_trisopterus_nucleus_2f","rect",256,0.578947305679321,0.5625,4,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.578947365283966,0.5625,4,1
