"dataset","nlayers","testAccuracy","nhidden","valAccuracy","layerForm","learningrate"
"ozone",3,0.974763512611389,512,0.982075482606888,"rect",0.1
"ozone",2,0.971608877182007,1024,0.981603735685349,"cone",0.01
"ozone",8,0.971608877182007,256,0.981132125854492,"cone",1
"ozone",16,0.971608877182007,512,0.981132113933563,"cone",1
"ozone",4,0.971608877182007,256,0.98113209605217,"cone",1
"ozone",8,0.971608877182007,512,0.981132090091705,"cone",1
"ozone",16,0.971608877182007,1024,0.981132084131241,"cone",1
"ozone",8,0.971608877182007,1024,0.981132084131241,"cone",0.1
"ozone",8,0.971608877182007,512,0.981132084131241,"rect",1
"ozone",4,0.971608936786652,512,0.981132084131241,"rect",0.1
"ozone",4,0.971608877182007,1024,0.981132078170776,"cone",1
"ozone",8,0.971608877182007,1024,0.981132072210312,"rect",1
"ozone",32,0.971608877182007,512,0.981132072210312,"rect",0.01
"ozone",32,0.971608877182007,512,0.981132072210312,"rect",0.1
"ozone",32,0.971608877182007,256,0.981132072210312,"cone",0.1
"ozone",32,0.971608877182007,1024,0.981132072210312,"cone",1
"ozone",32,0.971608877182007,256,0.981132072210312,"rect",1
"ozone",16,0.971608877182007,512,0.981132072210312,"rect",0.01
"ozone",16,0.971608877182007,1024,0.981132072210312,"cone",0.1
"ozone",16,0.971608877182007,512,0.981132072210312,"cone",0.1
"ozone",16,0.971608877182007,512,0.981132072210312,"rect",1
"ozone",8,0.971608877182007,1024,0.981132072210312,"cone",0.01
"ozone",8,0.971608877182007,512,0.981132072210312,"cone",0.01
"ozone",8,0.971608877182007,512,0.981132072210312,"rect",0.1
"ozone",8,0.971608996391296,256,0.981132072210312,"rect",1
"ozone",4,0.971608877182007,1024,0.981132072210312,"cone",0.1
"ozone",4,0.971608877182007,512,0.981132072210312,"cone",0.1
"ozone",4,0.971608936786652,512,0.981132072210312,"cone",1
"ozone",3,0.971608877182007,256,0.981132072210312,"rect",0.1
"ozone",3,0.971608877182007,1024,0.981132072210312,"rect",1
"ozone",32,0.971608877182007,1024,0.981132066249848,"rect",0.1
"ozone",32,0.971608936786652,512,0.981132066249848,"cone",0.1
"ozone",32,0.971608936786652,512,0.981132066249848,"cone",1
"ozone",32,0.971608877182007,512,0.981132066249848,"rect",1
"ozone",16,0.971608877182007,512,0.981132066249848,"cone",0.01
"ozone",16,0.971608996391296,256,0.981132066249848,"cone",0.1
"ozone",16,0.971608877182007,1024,0.981132066249848,"rect",1
"ozone",16,0.971608877182007,256,0.981132066249848,"cone",1
"ozone",32,0.971608877182007,256,0.981132060289383,"cone",0.01
"ozone",32,0.971608877182007,256,0.981132060289383,"rect",0.1
"ozone",16,0.971608877182007,256,0.981132060289383,"cone",0.01
"ozone",8,0.971608877182007,1024,0.981132060289383,"rect",0.1
"ozone",4,0.971608936786652,1024,0.981132060289383,"cone",0.01
"ozone",4,0.971608996391296,256,0.981132060289383,"rect",0.1
"ozone",4,0.971608877182007,256,0.981132060289383,"rect",1
"ozone",3,0.971608877182007,1024,0.981132060289383,"cone",1
"ozone",2,0.971608877182007,1024,0.981132060289383,"rect",1
"ozone",2,0.971608877182007,512,0.981132060289383,"cone",1
"ozone",32,0.971608877182007,1024,0.981132054328919,"rect",0.01
"ozone",16,0.971608936786652,256,0.981132054328919,"rect",1
"ozone",8,0.971608877182007,256,0.981132054328919,"rect",0.1
"ozone",4,0.971608877182007,512,0.981132054328919,"rect",1
"ozone",3,0.971608877182007,1024,0.981132054328919,"cone",0.1
"ozone",3,0.971608996391296,256,0.981132054328919,"cone",0.1
"ozone",3,0.971608877182007,256,0.981132054328919,"cone",1
"ozone",2,0.971608877182007,1024,0.981132054328919,"cone",1
"ozone",2,0.971608877182007,256,0.981132054328919,"rect",1
"ozone",32,0.971608877182007,1024,0.981132048368454,"cone",0.01
"ozone",32,0.971608877182007,512,0.981132048368454,"cone",0.01
"ozone",32,0.971608877182007,1024,0.981132048368454,"cone",0.1
