"dataset","testAccuracy","learningrate","layerForm","nhidden","nlayers","valAccuracy"
"pima",0.697916746139526,0.1,"cone",1024,2,0.875362348556519
"pima",0.718750059604645,0.01,"cone",512,2,0.850724673271179
"pima",0.677083373069763,0.01,"cone",256,2,0.850724673271179
"pima",0.71875,0.1,"cone",256,3,0.843478298187256
"pima",0.729166686534882,0.01,"rect",1024,4,0.843478298187256
"pima",0.718750059604645,0.1,"cone",256,2,0.840579748153687
"pima",0.723958313465118,0.1,"cone",512,2,0.836231923103333
"pima",0.734375059604645,0.01,"rect",512,3,0.827536273002625
"pima",0.708333313465118,0.1,"rect",256,2,0.82608699798584
"pima",0.776041686534882,0.1,"rect",1024,2,0.815942072868347
"pima",0.692708373069763,0.01,"cone",1024,2,0.814492797851562
"pima",0.734375059604645,0.01,"cone",1024,3,0.813043522834778
"pima",0.697916626930237,0.01,"cone",512,3,0.807246422767639
"pima",0.697916686534882,0.01,"rect",512,2,0.807246422767639
"pima",0.697916686534882,0.01,"rect",512,4,0.805797129869461
"pima",0.708333313465118,0.1,"rect",256,3,0.801449322700501
"pima",0.708333373069763,0.1,"rect",512,2,0.800000047683716
"pima",0.729166686534882,0.1,"rect",512,3,0.800000047683716
"pima",0.739583373069763,0.01,"cone",256,8,0.797101491689682
"pima",0.723958373069763,0.01,"rect",256,3,0.797101479768753
"pima",0.682291686534882,0.01,"rect",256,4,0.788405841588974
"pima",0.697916746139526,0.01,"rect",256,2,0.784058010578156
"pima",0.703125,0.1,"rect",1024,3,0.782608741521835
"pima",0.703125,0.01,"rect",1024,3,0.775362366437912
"pima",0.723958313465118,0.1,"cone",1024,3,0.772463798522949
"pima",0.651041686534882,0.01,"cone",1024,8,0.759420317411423
"pima",0.723958373069763,0.01,"rect",1024,2,0.752173960208893
"pima",0.692708373069763,0.01,"rect",256,8,0.752173912525177
"pima",0.671875,0.01,"rect",1024,8,0.711594271659851
"pima",0.651041686534882,0.1,"cone",1024,4,0.697101521492004
"pima",0.651041686534882,0.01,"rect",1024,32,0.69565224647522
"pima",0.651041686534882,0.01,"cone",512,32,0.69565224647522
"pima",0.651041686534882,0.01,"rect",512,32,0.69565224647522
"pima",0.651041686534882,0.01,"cone",256,32,0.69565224647522
"pima",0.651041686534882,0.01,"rect",256,32,0.69565224647522
"pima",0.651041686534882,0.1,"cone",1024,32,0.69565224647522
"pima",0.651041686534882,0.1,"rect",1024,32,0.69565224647522
"pima",0.651041686534882,0.1,"cone",512,32,0.69565224647522
"pima",0.651041686534882,0.1,"rect",512,32,0.69565224647522
"pima",0.651041686534882,0.1,"cone",256,32,0.69565224647522
"pima",0.651041686534882,0.1,"rect",256,32,0.69565224647522
"pima",0.651041686534882,1,"cone",1024,32,0.69565224647522
"pima",0.651041686534882,1,"rect",1024,32,0.69565224647522
"pima",0.651041686534882,1,"cone",512,32,0.69565224647522
"pima",0.651041686534882,1,"rect",512,32,0.69565224647522
"pima",0.651041686534882,1,"cone",256,32,0.69565224647522
"pima",0.651041686534882,1,"rect",256,32,0.69565224647522
"pima",0.651041686534882,0.01,"cone",1024,16,0.69565224647522
"pima",0.651041686534882,0.01,"rect",1024,16,0.69565224647522
"pima",0.651041686534882,0.01,"rect",512,16,0.69565224647522
"pima",0.651041686534882,0.01,"cone",256,16,0.69565224647522
"pima",0.651041686534882,0.01,"rect",256,16,0.69565224647522
"pima",0.651041686534882,0.1,"cone",1024,16,0.69565224647522
"pima",0.651041686534882,0.1,"rect",1024,16,0.69565224647522
"pima",0.651041686534882,0.1,"cone",512,16,0.69565224647522
"pima",0.651041686534882,0.1,"rect",512,16,0.69565224647522
"pima",0.651041686534882,0.1,"cone",256,16,0.69565224647522
"pima",0.651041686534882,0.1,"rect",256,16,0.69565224647522
"pima",0.651041686534882,1,"cone",1024,16,0.69565224647522
"pima",0.651041686534882,1,"rect",1024,16,0.69565224647522
"pima",0.651041686534882,1,"cone",512,16,0.69565224647522
"pima",0.651041686534882,1,"rect",512,16,0.69565224647522
"pima",0.651041686534882,1,"cone",256,16,0.69565224647522
"pima",0.651041686534882,1,"rect",256,16,0.69565224647522
"pima",0.651041686534882,0.1,"cone",1024,8,0.69565224647522
"pima",0.651041686534882,0.1,"rect",1024,8,0.69565224647522
"pima",0.651041686534882,0.1,"cone",512,8,0.69565224647522
"pima",0.651041686534882,0.1,"rect",512,8,0.69565224647522
"pima",0.651041686534882,0.1,"cone",256,8,0.69565224647522
"pima",0.651041686534882,0.1,"rect",256,8,0.69565224647522
"pima",0.651041686534882,1,"cone",1024,8,0.69565224647522
"pima",0.651041686534882,1,"rect",1024,8,0.69565224647522
"pima",0.651041686534882,1,"cone",512,8,0.69565224647522
"pima",0.651041686534882,1,"rect",512,8,0.69565224647522
"pima",0.651041686534882,1,"cone",256,8,0.69565224647522
"pima",0.651041686534882,1,"rect",256,8,0.69565224647522
"pima",0.651041686534882,0.01,"cone",1024,4,0.69565224647522
"pima",0.651041686534882,0.01,"cone",512,4,0.69565224647522
"pima",0.651041686534882,0.01,"cone",256,4,0.69565224647522
"pima",0.651041686534882,0.1,"rect",1024,4,0.69565224647522
"pima",0.651041686534882,0.1,"cone",512,4,0.69565224647522
"pima",0.651041686534882,0.1,"rect",512,4,0.69565224647522
"pima",0.651041686534882,0.1,"cone",256,4,0.69565224647522
"pima",0.651041686534882,0.1,"rect",256,4,0.69565224647522
"pima",0.651041686534882,1,"cone",1024,4,0.69565224647522
"pima",0.651041686534882,1,"rect",1024,4,0.69565224647522
"pima",0.651041686534882,1,"cone",512,4,0.69565224647522
"pima",0.651041686534882,1,"rect",512,4,0.69565224647522
"pima",0.651041686534882,1,"cone",256,4,0.69565224647522
"pima",0.651041686534882,1,"rect",256,4,0.69565224647522
"pima",0.651041686534882,0.01,"cone",256,3,0.69565224647522
"pima",0.651041686534882,0.1,"cone",512,3,0.69565224647522
"pima",0.651041686534882,1,"cone",1024,3,0.69565224647522
"pima",0.651041686534882,1,"rect",1024,3,0.69565224647522
"pima",0.651041686534882,1,"cone",512,3,0.69565224647522
"pima",0.651041686534882,1,"rect",512,3,0.69565224647522
"pima",0.651041686534882,1,"cone",256,3,0.69565224647522
"pima",0.651041686534882,1,"rect",256,3,0.69565224647522
"pima",0.651041686534882,1,"cone",1024,2,0.69565224647522
"pima",0.651041686534882,1,"rect",1024,2,0.69565224647522
"pima",0.651041686534882,1,"cone",512,2,0.69565224647522
"pima",0.651041686534882,1,"rect",512,2,0.69565224647522
"pima",0.651041686534882,1,"cone",256,2,0.69565224647522
"pima",0.651041686534882,1,"rect",256,2,0.69565224647522
"pima",0.651041686534882,0.01,"rect",512,8,0.668116009235382
"pima",0.348958343267441,0.01,"cone",1024,32,0.304347813129425
"pima",0.348958343267441,0.01,"cone",512,16,0.304347813129425
"pima",0.348958343267441,0.01,"cone",512,8,0.304347813129425
