"dataset","nhidden","valAccuracy","nlayers","testAccuracy","layerForm","learningrate"
"pittsburg-bridges-REL-L",512,0.955555564165115,3,0.653846144676208,"cone",0.01
"pittsburg-bridges-REL-L",1024,0.92222226858139,2,0.653846204280853,"cone",0.01
"pittsburg-bridges-REL-L",256,0.911111164093018,3,0.769230842590332,"rect",0.01
"pittsburg-bridges-REL-L",512,0.911111152172089,2,0.769230782985687,"rect",0.01
"pittsburg-bridges-REL-L",256,0.900000059604645,4,0.653846204280853,"rect",0.01
"pittsburg-bridges-REL-L",256,0.888888955116272,3,0.769230842590332,"cone",0.1
"pittsburg-bridges-REL-L",256,0.87777783870697,3,0.769230842590332,"cone",0.01
"pittsburg-bridges-REL-L",256,0.87777783870697,2,0.807692408561707,"rect",0.1
"pittsburg-bridges-REL-L",1024,0.87777783870697,4,0.769230782985687,"rect",0.01
"pittsburg-bridges-REL-L",256,0.87777783870697,4,0.615384697914124,"cone",0.1
"pittsburg-bridges-REL-L",1024,0.877777826786041,3,0.807692348957062,"rect",0.01
"pittsburg-bridges-REL-L",512,0.877777802944183,4,0.692307710647583,"cone",0.01
"pittsburg-bridges-REL-L",1024,0.866666704416275,2,0.653846144676208,"rect",0.01
"pittsburg-bridges-REL-L",512,0.855555605888367,3,0.730769276618958,"rect",0.01
"pittsburg-bridges-REL-L",256,0.855555605888367,2,0.692307710647583,"cone",0.1
"pittsburg-bridges-REL-L",512,0.855555605888367,2,0.692307710647583,"cone",0.1
"pittsburg-bridges-REL-L",512,0.855555564165115,2,0.576923131942749,"cone",0.01
"pittsburg-bridges-REL-L",512,0.844444453716278,4,0.653846204280853,"rect",0.01
"pittsburg-bridges-REL-L",1024,0.83333335518837,2,0.807692348957062,"rect",0.1
"pittsburg-bridges-REL-L",256,0.822222256660461,2,0.615384697914124,"cone",0.01
"pittsburg-bridges-REL-L",1024,0.75555557012558,3,0.538461565971375,"cone",0.01
"pittsburg-bridges-REL-L",256,0.75555557012558,2,0.769230782985687,"rect",0.01
"pittsburg-bridges-REL-L",512,0.744444474577904,2,0.615384638309479,"rect",0.1
"pittsburg-bridges-REL-L",1024,0.666666686534881,32,0.576923131942749,"cone",0.01
"pittsburg-bridges-REL-L",512,0.666666686534881,32,0.576923131942749,"cone",0.01
"pittsburg-bridges-REL-L",1024,0.666666686534881,32,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",512,0.666666686534881,32,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",512,0.666666686534881,32,0.576923131942749,"rect",0.1
"pittsburg-bridges-REL-L",512,0.666666686534881,32,0.576923131942749,"cone",1
"pittsburg-bridges-REL-L",256,0.666666686534881,32,0.576923131942749,"cone",1
"pittsburg-bridges-REL-L",512,0.666666686534881,16,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",1024,0.666666686534881,16,0.576923131942749,"cone",1
"pittsburg-bridges-REL-L",1024,0.666666686534881,8,0.576923131942749,"cone",0.01
"pittsburg-bridges-REL-L",256,0.666666686534881,8,0.576923131942749,"cone",0.01
"pittsburg-bridges-REL-L",256,0.666666686534881,8,0.576923131942749,"rect",0.01
"pittsburg-bridges-REL-L",1024,0.666666686534881,8,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",256,0.666666686534881,8,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",1024,0.666666686534881,8,0.576923131942749,"rect",1
"pittsburg-bridges-REL-L",1024,0.666666686534881,4,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",512,0.666666686534881,4,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",256,0.666666686534881,4,0.576923131942749,"rect",0.1
"pittsburg-bridges-REL-L",512,0.666666686534881,4,0.576923131942749,"rect",1
"pittsburg-bridges-REL-L",512,0.666666686534881,3,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",256,0.666666686534881,3,0.576923131942749,"cone",1
"pittsburg-bridges-REL-L",256,0.622222240269184,32,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",1024,0.622222240269184,32,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",512,0.622222240269184,3,0.576923131942749,"rect",1
"pittsburg-bridges-REL-L",1024,0.600000017881393,2,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",1024,0.577777794003487,4,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",512,0.577777794003487,3,0.576923131942749,"rect",0.1
"pittsburg-bridges-REL-L",256,0.577777794003487,3,0.576923131942749,"rect",0.1
"pittsburg-bridges-REL-L",1024,0.533333349227905,3,0.576923131942749,"cone",0.1
"pittsburg-bridges-REL-L",1024,0.522222236543894,3,0.576923131942749,"rect",0.1
"pittsburg-bridges-REL-L",256,0.444444455206394,2,0.576923131942749,"rect",1
"pittsburg-bridges-REL-L",1024,0.266666670143604,2,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",512,0.266666670143604,2,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",512,0.23333333581686,2,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",256,0.23333333581686,2,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",1024,0.222222223877907,32,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",512,0.222222223877907,32,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",256,0.222222223877907,32,0.307692319154739,"cone",0.01
"pittsburg-bridges-REL-L",256,0.222222223877907,32,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",1024,0.222222223877907,32,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",256,0.222222223877907,32,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",1024,0.222222223877907,32,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",512,0.222222223877907,32,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",256,0.222222223877907,32,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",1024,0.222222223877907,16,0.307692319154739,"cone",0.01
"pittsburg-bridges-REL-L",1024,0.222222223877907,16,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",512,0.222222223877907,16,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",256,0.222222223877907,16,0.307692319154739,"cone",0.01
"pittsburg-bridges-REL-L",256,0.222222223877907,16,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",1024,0.222222223877907,16,0.307692319154739,"cone",0.1
"pittsburg-bridges-REL-L",1024,0.222222223877907,16,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",512,0.222222223877907,16,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",256,0.222222223877907,16,0.307692319154739,"cone",0.1
"pittsburg-bridges-REL-L",256,0.222222223877907,16,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",1024,0.222222223877907,16,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",512,0.222222223877907,16,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",512,0.222222223877907,16,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",256,0.222222223877907,16,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",256,0.222222223877907,16,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",1024,0.222222223877907,8,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",512,0.222222223877907,8,0.307692319154739,"cone",0.01
"pittsburg-bridges-REL-L",512,0.222222223877907,8,0.307692319154739,"rect",0.01
"pittsburg-bridges-REL-L",1024,0.222222223877907,8,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",512,0.222222223877907,8,0.307692319154739,"cone",0.1
"pittsburg-bridges-REL-L",512,0.222222223877907,8,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",256,0.222222223877907,8,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",1024,0.222222223877907,8,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",512,0.222222223877907,8,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",512,0.222222223877907,8,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",256,0.222222223877907,8,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",256,0.222222223877907,8,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",256,0.222222223877907,4,0.307692319154739,"cone",0.01
"pittsburg-bridges-REL-L",1024,0.222222223877907,4,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",512,0.222222223877907,4,0.307692319154739,"rect",0.1
"pittsburg-bridges-REL-L",1024,0.222222223877907,4,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",512,0.222222223877907,4,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",256,0.222222223877907,4,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",256,0.222222223877907,4,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",1024,0.222222223877907,3,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",1024,0.222222223877907,3,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",512,0.222222223877907,3,0.307692319154739,"cone",1
"pittsburg-bridges-REL-L",256,0.222222223877907,3,0.307692319154739,"rect",1
"pittsburg-bridges-REL-L",1024,0.222222223877907,2,0.307692319154739,"cone",1
