"dataset","learningrate","layerForm","nlayers","testAccuracy","valAccuracy","nhidden"
"pittsburg-bridges-SPAN",0.01,"cone",2,0.65217387676239,0.85,1024
"pittsburg-bridges-SPAN",0.01,"rect",4,0.695652186870575,0.8375,256
"pittsburg-bridges-SPAN",0.1,"cone",2,0.652173936367035,0.8375,256
"pittsburg-bridges-SPAN",0.01,"rect",3,0.52173912525177,0.7875,1024
"pittsburg-bridges-SPAN",0.01,"rect",2,0.65217387676239,0.7625,1024
"pittsburg-bridges-SPAN",0.1,"cone",2,0.60869562625885,0.75,512
"pittsburg-bridges-SPAN",0.1,"rect",2,0.56521737575531,0.75,512
"pittsburg-bridges-SPAN",0.01,"rect",2,0.47826087474823,0.725,256
"pittsburg-bridges-SPAN",0.1,"rect",2,0.60869562625885,0.725,256
"pittsburg-bridges-SPAN",0.01,"cone",3,0.608695685863495,0.7125,512
"pittsburg-bridges-SPAN",0.1,"cone",2,0.56521737575531,0.7125,1024
"pittsburg-bridges-SPAN",0.01,"rect",3,0.56521737575531,0.7,256
"pittsburg-bridges-SPAN",0.1,"rect",2,0.56521737575531,0.6875,1024
"pittsburg-bridges-SPAN",0.01,"rect",3,0.56521737575531,0.675,512
"pittsburg-bridges-SPAN",1,"cone",2,0.60869562625885,0.675,512
"pittsburg-bridges-SPAN",0.01,"rect",2,0.52173912525177,0.6625,512
"pittsburg-bridges-SPAN",0.01,"rect",4,0.391304343938828,0.65,1024
"pittsburg-bridges-SPAN",0.01,"cone",2,0.65217387676239,0.65,512
"pittsburg-bridges-SPAN",0.01,"cone",2,0.47826087474823,0.6375,256
"pittsburg-bridges-SPAN",0.01,"cone",32,0.56521737575531,0.625,1024
"pittsburg-bridges-SPAN",0.1,"cone",32,0.56521737575531,0.625,512
"pittsburg-bridges-SPAN",1,"cone",32,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",0.01,"cone",16,0.56521737575531,0.625,1024
"pittsburg-bridges-SPAN",0.01,"cone",16,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",0.1,"cone",16,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",1,"cone",16,0.56521737575531,0.625,1024
"pittsburg-bridges-SPAN",0.01,"cone",8,0.56521737575531,0.625,512
"pittsburg-bridges-SPAN",0.1,"cone",8,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",0.01,"cone",4,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",0.1,"rect",4,0.56521737575531,0.625,1024
"pittsburg-bridges-SPAN",0.1,"cone",4,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",0.1,"rect",4,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",1,"rect",4,0.56521737575531,0.625,1024
"pittsburg-bridges-SPAN",0.1,"cone",3,0.56521737575531,0.625,1024
"pittsburg-bridges-SPAN",0.1,"cone",3,0.56521737575531,0.625,512
"pittsburg-bridges-SPAN",0.1,"cone",3,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",1,"rect",3,0.56521737575531,0.625,1024
"pittsburg-bridges-SPAN",1,"cone",3,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",1,"rect",3,0.56521737575531,0.625,256
"pittsburg-bridges-SPAN",0.01,"cone",4,0.52173912525177,0.6125,1024
"pittsburg-bridges-SPAN",0.01,"rect",4,0.60869562625885,0.6125,512
"pittsburg-bridges-SPAN",0.1,"rect",3,0.56521737575531,0.575,512
"pittsburg-bridges-SPAN",0.01,"cone",3,0.52173912525177,0.5625,1024
"pittsburg-bridges-SPAN",0.1,"rect",3,0.391304343938828,0.5,256
"pittsburg-bridges-SPAN",0.1,"rect",3,0.217391312122345,0.2875,1024
"pittsburg-bridges-SPAN",1,"rect",2,0.217391312122345,0.2875,512
"pittsburg-bridges-SPAN",0.1,"cone",4,0.217391312122345,0.275,1024
"pittsburg-bridges-SPAN",1,"cone",2,0.217391312122345,0.275,1024
"pittsburg-bridges-SPAN",1,"rect",2,0.217391312122345,0.2625,1024
"pittsburg-bridges-SPAN",0.01,"rect",32,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",0.01,"rect",32,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",0.01,"cone",32,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",0.01,"rect",32,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",0.1,"cone",32,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",0.1,"rect",32,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",0.1,"rect",32,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",0.1,"cone",32,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",0.1,"rect",32,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",1,"cone",32,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",1,"rect",32,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",1,"cone",32,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"rect",32,0.217391312122345,0.25,512
