"dataset","nlayers","layerForm","testAccuracy","learningrate","nhidden","valAccuracy"
"plant-margin",2,"cone",0.817499995231628,0.1,1024,0.814529955387115
"plant-margin",2,"rect",0.807499945163727,0.1,1024,0.803418874740601
"plant-margin",2,"cone",0.817499995231628,0.1,256,0.803418862819672
"plant-margin",2,"rect",0.824999928474426,0.1,512,0.800000071525574
"plant-margin",2,"cone",0.787500023841858,0.01,256,0.798290657997131
"plant-margin",3,"rect",0.797500014305115,0.1,1024,0.796581220626831
"plant-margin",2,"rect",0.805000007152557,0.1,256,0.795726561546326
"plant-margin",3,"rect",0.774999976158142,0.01,512,0.794017148017883
"plant-margin",2,"rect",0.774999976158142,0.01,512,0.782906031608582
"plant-margin",3,"rect",0.73499995470047,0.1,512,0.782051360607147
"plant-margin",2,"cone",0.8125,0.1,512,0.77606840133667
"plant-margin",2,"cone",0.782500028610229,0.01,512,0.775213730335236
"plant-margin",3,"rect",0.747499942779541,0.1,256,0.770085549354553
"plant-margin",3,"cone",0.662499964237213,0.1,1024,0.77008553147316
"plant-margin",3,"cone",0.762499988079071,0.01,1024,0.769230824708939
"plant-margin",3,"rect",0.742499947547913,0.01,256,0.761538505554199
"plant-margin",3,"cone",0.729999959468842,0.1,512,0.757265031337738
"plant-margin",4,"rect",0.677499949932098,0.1,1024,0.745299208164215
"plant-margin",8,"cone",0.685000002384186,0.01,512,0.74529920220375
"plant-margin",4,"rect",0.745000004768372,0.01,1024,0.743589806556701
"plant-margin",3,"cone",0.762499928474426,0.1,256,0.742735117673874
"plant-margin",2,"cone",0.725000023841858,0.01,1024,0.741025680303574
"plant-margin",8,"rect",0.697499990463257,0.01,1024,0.74017106294632
"plant-margin",4,"cone",0.729999959468842,0.01,1024,0.738461583852768
"plant-margin",2,"rect",0.78249990940094,0.01,1024,0.737606930732727
"plant-margin",4,"cone",0.674999952316284,0.1,256,0.735042816400528
"plant-margin",2,"rect",0.764999985694885,0.01,256,0.728205192089081
"plant-margin",3,"rect",0.747499942779541,0.01,1024,0.728205180168152
"plant-margin",4,"rect",0.65749990940094,0.1,256,0.723931682109833
"plant-margin",3,"cone",0.764999985694885,0.01,256,0.711965852975845
"plant-margin",3,"cone",0.720000028610229,0.01,512,0.703418868780136
"plant-margin",8,"rect",0.694999933242798,0.01,256,0.699145340919495
"plant-margin",4,"rect",0.722499966621399,0.01,512,0.693162441253662
"plant-margin",4,"cone",0.759999990463257,0.01,512,0.690598380565643
"plant-margin",8,"cone",0.704999923706055,0.01,1024,0.690598368644714
"plant-margin",8,"rect",0.672499895095825,0.01,512,0.689743638038635
"plant-margin",4,"cone",0.720000028610229,0.01,256,0.673504328727722
"plant-margin",4,"rect",0.745000004768372,0.01,256,0.655555593967438
"plant-margin",8,"cone",0.614999949932098,0.01,256,0.564102637767792
"plant-margin",4,"cone",0.00999999977648258,0.1,512,0.0256410278379917
"plant-margin",4,"rect",0.00999999977648258,1,1024,0.0188034202903509
"plant-margin",8,"rect",0.00999999977648258,0.1,256,0.0170940179377794
"plant-margin",8,"cone",0.00999999977648258,1,256,0.015384616702795
"plant-margin",16,"rect",0.00999999977648258,0.1,512,0.0102564108557999
"plant-margin",4,"cone",0.00999999977648258,0.1,1024,0.00940170986577868
"plant-margin",3,"cone",0.00999999977648258,1,256,0.00940170986577868
"plant-margin",32,"cone",0.00999999977648258,0.01,1024,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,0.01,1024,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,0.01,512,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,0.01,512,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,0.01,256,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,0.01,256,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,0.1,1024,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,0.1,1024,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,0.1,512,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,0.1,512,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,0.1,256,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,0.1,256,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",32,"cone",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",32,"rect",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,0.01,1024,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,0.01,1024,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,0.01,512,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,0.01,512,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,0.01,256,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,0.01,256,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,0.1,1024,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,0.1,1024,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,0.1,512,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,0.1,256,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,0.1,256,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",16,"rect",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",8,"cone",0.00999999977648258,0.1,1024,0.00854700896888971
"plant-margin",8,"rect",0.00999999977648258,0.1,1024,0.00854700896888971
"plant-margin",8,"cone",0.00999999977648258,0.1,512,0.00854700896888971
"plant-margin",8,"rect",0.00999999977648258,0.1,512,0.00854700896888971
"plant-margin",8,"cone",0.00999999977648258,0.1,256,0.00854700896888971
"plant-margin",8,"cone",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",8,"rect",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",8,"cone",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",8,"rect",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",8,"rect",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",4,"cone",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",4,"cone",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",4,"rect",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",4,"cone",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",4,"rect",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",3,"cone",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",3,"rect",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",3,"cone",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",3,"rect",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",3,"rect",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",2,"cone",0.00999999977648258,1,1024,0.00854700896888971
"plant-margin",2,"cone",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",2,"rect",0.00999999977648258,1,512,0.00854700896888971
"plant-margin",2,"cone",0.00999999977648258,1,256,0.00854700896888971
"plant-margin",16,"cone",0.00999999977648258,1,512,0.00769230807200074
"plant-margin",2,"rect",0.00999999977648258,1,1024,0.00170940179377794
"plant-margin",4,"rect",0.00999999977648258,0.1,512,0
"plant-margin",2,"rect",0.00999999977648258,1,256,0
