"dataset","testAccuracy","nhidden","nlayers","learningrate","layerForm","valAccuracy"
"plant-shape",0.657500028610229,256,3,0.01,"cone",0.627826070785523
"plant-shape",0.667500019073486,512,4,0.01,"rect",0.625217360258102
"plant-shape",0.682500004768372,1024,3,0.01,"rect",0.624347805976868
"plant-shape",0.682500004768372,1024,4,0.01,"cone",0.610434758663178
"plant-shape",0.680000066757202,256,3,0.01,"rect",0.594782596826553
"plant-shape",0.644999980926514,256,2,0.01,"rect",0.593043452501297
"plant-shape",0.672499895095825,256,4,0.01,"cone",0.582608675956726
"plant-shape",0.637500047683716,512,3,0.01,"cone",0.573043456673622
"plant-shape",0.642499923706055,512,3,0.01,"rect",0.567826062440872
"plant-shape",0.652499973773956,512,2,0.01,"rect",0.558260858058929
"plant-shape",0.615000009536743,1024,2,0.01,"cone",0.553913033008576
"plant-shape",0.54749995470047,512,4,0.01,"cone",0.551304322481155
"plant-shape",0.599999964237213,512,2,0.01,"cone",0.550434762239456
"plant-shape",0.612499952316284,256,2,0.01,"cone",0.544347810745239
"plant-shape",0.615000009536743,1024,2,0.01,"rect",0.544347801804543
"plant-shape",0.549999952316284,256,4,0.01,"rect",0.543478238582611
"plant-shape",0.63999992609024,1024,3,0.01,"cone",0.526086950302124
"plant-shape",0.634999990463257,1024,4,0.01,"rect",0.513913038372994
"plant-shape",0.530000030994415,1024,2,0.1,"cone",0.506956496834755
"plant-shape",0.532499969005585,256,2,0.1,"cone",0.488695639371872
"plant-shape",0.459999978542328,512,2,0.1,"cone",0.488695627450943
"plant-shape",0.439999997615814,256,2,0.1,"rect",0.420869547128677
"plant-shape",0.280000001192093,256,3,0.1,"cone",0.233043469488621
"plant-shape",0.00999999977648258,1024,8,0.01,"cone",0.0173913035541773
"plant-shape",0.00999999977648258,1024,8,0.01,"rect",0.0173913035541773
"plant-shape",0.00999999977648258,512,8,0.01,"rect",0.0173913035541773
"plant-shape",0.00999999977648258,512,4,0.1,"cone",0.0173913035541773
"plant-shape",0.00999999977648258,1024,3,1,"rect",0.0173913035541773
"plant-shape",0.00999999977648258,512,2,0.1,"rect",0.0173913035541773
"plant-shape",0.00999999977648258,1024,4,1,"cone",0.013043477665633
"plant-shape",0.00999999977648258,1024,32,0.01,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,1024,32,0.01,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,512,32,0.01,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,32,0.01,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,256,32,0.01,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,256,32,0.01,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,1024,32,0.1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,1024,32,0.1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,512,32,0.1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,32,0.1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,256,32,0.1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,256,32,0.1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,1024,32,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,1024,32,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,512,32,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,32,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,256,32,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,256,32,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,1024,16,0.01,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,1024,16,0.01,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,512,16,0.01,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,16,0.01,"rect",0.00869565177708864
