"dataset","nhidden","learningrate","nlayers","testAccuracy","valAccuracy","layerForm"
"primary-tumor",256,0.01,3,0.499999970197678,0.448387083411217,"rect"
"primary-tumor",1024,0.1,2,0.475609719753265,0.448387083411217,"rect"
"primary-tumor",1024,0.1,3,0.46341460943222,0.438709664344788,"rect"
"primary-tumor",1024,0.01,4,0.439024388790131,0.438709664344788,"rect"
"primary-tumor",256,0.01,4,0.46341460943222,0.432258048653603,"rect"
"primary-tumor",256,0.1,3,0.414634108543396,0.429032245278359,"cone"
"primary-tumor",512,0.01,4,0.487804889678955,0.425806438922882,"rect"
"primary-tumor",256,0.01,2,0.487804859876633,0.422580632567406,"cone"
"primary-tumor",256,0.1,2,0.46341460943222,0.416129019856453,"rect"
"primary-tumor",1024,0.01,2,0.46341460943222,0.4096774071455,"rect"
"primary-tumor",512,0.01,3,0.475609749555588,0.403225794434548,"rect"
"primary-tumor",256,0.01,8,0.426829218864441,0.393548375368118,"rect"
"primary-tumor",1024,0.1,4,0.439024388790131,0.393548375368118,"cone"
"primary-tumor",512,0.01,2,0.451219499111176,0.393548375368118,"cone"
"primary-tumor",1024,0.01,8,0.5,0.393548375368118,"rect"
"primary-tumor",256,0.1,2,0.451219499111176,0.387096762657166,"cone"
"primary-tumor",1024,0.01,2,0.54878044128418,0.387096762657166,"cone"
"primary-tumor",512,0.01,2,0.487804889678955,0.387096762657166,"rect"
"primary-tumor",512,0.01,8,0.451219528913498,0.383870956301689,"rect"
"primary-tumor",256,0.01,3,0.451219499111176,0.383870956301689,"cone"
"primary-tumor",1024,0.1,2,0.439024388790131,0.380645149946213,"cone"
"primary-tumor",512,0.01,4,0.46341460943222,0.380645149946213,"cone"
"primary-tumor",256,0.01,2,0.487804889678955,0.380645149946213,"rect"
"primary-tumor",1024,0.1,3,0.48780483007431,0.380645149946213,"cone"
"primary-tumor",1024,0.01,4,0.439024388790131,0.377419343590736,"cone"
"primary-tumor",512,0.1,2,0.499999970197678,0.37419353723526,"rect"
"primary-tumor",256,0.01,4,0.512195110321045,0.370967730879784,"cone"
"primary-tumor",1024,0.01,3,0.426829218864441,0.370967730879784,"cone"
"primary-tumor",512,0.1,2,0.585365831851959,0.361290311813355,"cone"
"primary-tumor",256,0.1,3,0.378048777580261,0.354838699102402,"rect"
"primary-tumor",256,0.1,4,0.353658497333527,0.345161280035973,"cone"
"primary-tumor",512,0.1,4,0.329268276691437,0.33870966732502,"cone"
"primary-tumor",512,0.01,3,0.512195110321045,0.329032248258591,"cone"
"primary-tumor",512,0.1,3,0.463414579629898,0.312903216481209,"rect"
"primary-tumor",1024,0.01,3,0.426829218864441,0.30322579741478,"rect"
"primary-tumor",1024,0.01,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",1024,0.01,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",512,0.01,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",512,0.01,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",256,0.01,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",256,0.01,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",1024,0.1,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",1024,0.1,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",512,0.1,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",512,0.1,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",256,0.1,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",256,0.1,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",1024,1,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",1024,1,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",512,1,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",512,1,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",256,1,32,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",256,1,32,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",1024,0.01,16,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",1024,0.01,16,0.304878056049347,0.290322571992874,"rect"
