"dataset","learningrate","testAccuracy","nhidden","valAccuracy","nlayers","layerForm"
"spambase",0.01,0.950434923171997,512,0.939197552204132,2,"rect"
"spambase",0.1,0.946087062358856,1024,0.938888913393021,2,"cone"
"spambase",0.1,0.943478345870972,512,0.937962979078293,4,"cone"
"spambase",0.1,0.939130544662476,1024,0.936419796943665,3,"cone"
"spambase",0.1,0.947826147079468,1024,0.936111152172089,2,"rect"
"spambase",0.1,0.934782683849335,256,0.93611114025116,2,"cone"
"spambase",0.01,0.947826147079468,1024,0.935802495479584,2,"rect"
"spambase",0.1,0.937391340732574,512,0.935493856668472,2,"rect"
"spambase",0.1,0.94173926115036,512,0.934567922353745,2,"cone"
"spambase",0.1,0.936521768569946,512,0.934567904472351,3,"rect"
"spambase",0.01,0.946087002754211,512,0.93240739107132,2,"cone"
"spambase",0.1,0.941739201545715,512,0.931790161132813,3,"cone"
"spambase",0.1,0.932173907756805,1024,0.929938292503357,4,"cone"
"spambase",0.1,0.938260912895203,256,0.929938280582428,3,"rect"
"spambase",0.01,0.930434823036194,1024,0.929629665613175,4,"cone"
"spambase",0.1,0.931304395198822,512,0.928703737258911,4,"rect"
"spambase",0.1,0.939130485057831,256,0.928086465597153,4,"rect"
"spambase",0.1,0.947826147079468,256,0.926851862668991,2,"rect"
"spambase",0.01,0.93739128112793,256,0.926543259620667,8,"rect"
"spambase",0.01,0.939130485057831,1024,0.926543247699738,3,"rect"
"spambase",0.01,0.939130425453186,1024,0.926543211936951,2,"cone"
"spambase",0.01,0.933043539524078,256,0.926234614849091,2,"rect"
"spambase",0.01,0.929565191268921,256,0.926234591007233,4,"cone"
"spambase",0.01,0.938260912895203,256,0.925925952196121,4,"rect"
"spambase",1,0.938260912895203,256,0.925617307424545,3,"cone"
"spambase",0.01,0.939130425453186,1024,0.925617289543152,8,"rect"
"spambase",0.01,0.940869569778442,256,0.92530866265297,2,"cone"
"spambase",0.01,0.924347817897797,512,0.924074113368988,8,"rect"
"spambase",0.1,0.924347877502441,1024,0.923765480518341,4,"rect"
"spambase",0.01,0.93478262424469,256,0.923765468597412,3,"cone"
"spambase",0.01,0.936521768569946,1024,0.923456829786301,4,"rect"
"spambase",0.01,0.926087021827698,1024,0.923456805944443,3,"cone"
