"dataset","layerForm","valAccuracy","learningrate","testAccuracy","nlayers","nhidden"
"spect","cone",0.957142877578735,0.1,0.63978499174118,2,512
"spect","rect",0.900000047683716,0.01,0.564516127109528,2,512
"spect","rect",0.74285717010498,0.01,0.677419364452362,3,512
"spect","cone",0.742857164144516,0.01,0.661290347576141,3,512
"spect","rect",0.728571456670761,0.1,0.655913949012756,3,256
"spect","cone",0.728571450710296,0.01,0.586021542549133,2,512
"spect","rect",0.714285737276077,0.01,0.586021482944489,3,256
"spect","rect",0.714285731315613,0.01,0.612903237342834,4,1024
"spect","cone",0.685714304447174,0.01,0.634408593177795,2,1024
"spect","cone",0.671428591012955,0.01,0.677419364452362,4,256
"spect","rect",0.671428591012955,0.1,0.666666686534882,2,256
"spect","rect",0.642857164144516,0.01,0.63978499174118,2,1024
"spect","cone",0.628571450710297,0.1,0.591397821903229,2,1024
"spect","rect",0.614285737276077,0.01,0.607526898384094,3,1024
"spect","rect",0.600000029802322,0.1,0.634408593177795,2,1024
"spect","cone",0.600000023841858,0.1,0.709677457809448,2,256
"spect","rect",0.585714310407638,0.1,0.612903237342834,2,512
"spect","cone",0.571428596973419,0.01,0.451612889766693,32,256
"spect","cone",0.571428596973419,0.01,0.451612919569016,16,512
"spect","cone",0.571428596973419,0.01,0.451612889766693,16,256
"spect","cone",0.571428596973419,0.01,0.591397881507874,4,1024
"spect","cone",0.571428596973419,0.01,0.451612889766693,4,512
"spect","cone",0.571428596973419,0.01,0.451612919569016,3,256
"spect","cone",0.571428596973419,0.01,0.629032254219055,2,256
"spect","rect",0.5571428835392,0.01,0.612903237342834,4,512
"spect","rect",0.54285717010498,0.01,0.602150499820709,4,256
"spect","rect",0.514285743236542,0.01,0.596774220466614,2,256
"spect","cone",0.500000029802322,0.01,0.548387050628662,16,1024
"spect","cone",0.485714316368103,0.01,0.548387110233307,8,1024
"spect","cone",0.471428602933884,0.1,0.548387110233307,16,1024
"spect","cone",0.457142889499664,0.1,0.548387110233307,3,256
"spect","cone",0.442857176065445,1,0.548387110233307,16,256
"spect","cone",0.442857176065445,0.1,0.548387110233307,8,1024
"spect","cone",0.442857176065445,1,0.548387110233307,4,512
"spect","rect",0.442857176065445,0.1,0.548387110233307,3,1024
"spect","rect",0.442857176065445,1,0.548387110233307,3,512
"spect","cone",0.442857176065445,1,0.548387110233307,3,256
"spect","cone",0.442857176065445,1,0.548387110233307,2,256
"spect","cone",0.428571462631226,0.01,0.548387050628662,32,1024
"spect","rect",0.428571462631226,0.01,0.548387110233307,32,1024
"spect","cone",0.428571462631226,0.01,0.548387050628662,32,512
"spect","rect",0.428571462631226,0.01,0.548387110233307,32,512
"spect","rect",0.428571462631226,0.01,0.548387110233307,32,256
"spect","cone",0.428571462631226,0.1,0.548387110233307,32,1024
"spect","rect",0.428571462631226,0.1,0.548387110233307,32,1024
"spect","cone",0.428571462631226,0.1,0.548387110233307,32,512
