"dataset","testAccuracy","learningrate","valAccuracy","layerForm","nhidden","nlayers"
"statlog-image",0.95147305727005,0.01,0.964161843061447,"rect",512,4
"statlog-image",0.968804121017456,0.01,0.963005757331848,"rect",1024,2
"statlog-image",0.972270369529724,0.01,0.962427735328675,"rect",512,3
"statlog-image",0.968804121017456,0.01,0.961849725246429,"cone",1024,4
"statlog-image",0.968804121017456,0.01,0.961849695444107,"rect",1024,3
"statlog-image",0.961871743202209,0.01,0.958959519863129,"cone",1024,2
"statlog-image",0.974003434181213,0.1,0.957803446054459,"cone",512,2
"statlog-image",0.953206181526184,0.01,0.957225394248962,"rect",512,8
"statlog-image",0.961871743202209,0.01,0.956647384166718,"cone",512,2
"statlog-image",0.972270369529724,0.1,0.954913288354874,"cone",1024,3
"statlog-image",0.965337932109833,0.1,0.954913276433945,"cone",1024,2
"statlog-image",0.968804121017456,0.1,0.95491327047348,"rect",256,2
"statlog-image",0.967070996761322,0.01,0.952601146697998,"cone",256,3
"statlog-image",0.963604867458344,0.1,0.952601128816605,"cone",256,4
"statlog-image",0.965337932109833,0.01,0.952023142576218,"rect",256,2
"statlog-image",0.968804121017456,0.1,0.952023100852966,"rect",512,2
"statlog-image",0.963604807853699,0.01,0.95144504904747,"cone",256,2
"statlog-image",0.970537304878235,0.01,0.950289022922516,"rect",512,2
"statlog-image",0.951473116874695,0.1,0.950289005041122,"rect",1024,2
"statlog-image",0.970537185668945,0.01,0.949710953235626,"rect",256,4
"statlog-image",0.927209734916687,0.1,0.949132919311523,"rect",256,3
"statlog-image",0.961871743202209,0.01,0.948554915189743,"rect",256,3
"statlog-image",0.961871743202209,0.01,0.948554885387421,"cone",1024,8
"statlog-image",0.968804121017456,0.1,0.947398835420609,"cone",512,4
"statlog-image",0.967071056365967,0.1,0.946820789575577,"cone",512,3
"statlog-image",0.967071056365967,0.01,0.94624274969101,"cone",256,4
"statlog-image",0.963604807853699,0.01,0.945664727687836,"cone",1024,3
"statlog-image",0.965337991714478,0.1,0.944508641958237,"cone",256,3
"statlog-image",0.95147305727005,0.1,0.94335258603096,"rect",1024,3
"statlog-image",0.963604807853699,0.01,0.941040474176407,"cone",512,4
"statlog-image",0.906412482261658,0.1,0.94046243429184,"cone",256,2
"statlog-image",0.904679298400879,0.01,0.940462410449982,"rect",1024,8
"statlog-image",0.937608242034912,0.01,0.940462404489517,"cone",512,3
"statlog-image",0.953206241130829,0.01,0.927167612314224,"rect",1024,4
"statlog-image",0.909878611564636,0.1,0.920809233188629,"rect",512,3
"statlog-image",0.942807555198669,0.01,0.913872826099396,"rect",256,8
"statlog-image",0.927209615707397,0.01,0.913294798135757,"cone",512,8
"statlog-image",0.674176812171936,0.1,0.707514441013336,"cone",1024,4
"statlog-image",0.660311996936798,0.01,0.606936401128769,"cone",256,8
"statlog-image",0.147313684225082,0.01,0.208092480897903,"rect",1024,32
"statlog-image",0.147313684225082,0.01,0.208092480897903,"cone",512,32
"statlog-image",0.147313699126244,0.01,0.208092480897903,"rect",512,32
"statlog-image",0.147313699126244,0.01,0.208092480897903,"rect",256,32
"statlog-image",0.147313699126244,0.1,0.208092480897903,"cone",1024,32
"statlog-image",0.147313684225082,0.1,0.208092480897903,"rect",1024,32
"statlog-image",0.147313684225082,0.1,0.208092480897903,"rect",512,32
"statlog-image",0.147313684225082,0.1,0.208092480897903,"rect",256,32
"statlog-image",0.147313684225082,1,0.208092480897903,"cone",1024,32
"statlog-image",0.147313684225082,1,0.208092480897903,"rect",1024,32
"statlog-image",0.147313684225082,1,0.208092480897903,"cone",512,32
"statlog-image",0.147313684225082,1,0.208092480897903,"rect",512,32
"statlog-image",0.147313699126244,1,0.208092480897903,"cone",256,32
"statlog-image",0.147313684225082,1,0.208092480897903,"rect",256,32
"statlog-image",0.147313699126244,0.01,0.208092480897903,"cone",1024,16
