"dataset","nlayers","nhidden","layerForm","learningrate","testAccuracy","valAccuracy"
"statlog-landsat",2,256,"cone",0.01,0.892500042915344,0.916382920742035
"statlog-landsat",3,256,"rect",0.01,0.903500020503998,0.911063796281815
"statlog-landsat",2,512,"rect",0.01,0.903500080108643,0.908723372220993
"statlog-landsat",3,1024,"rect",0.01,0.913000106811523,0.907233995199203
"statlog-landsat",3,256,"cone",0.01,0.892000079154968,0.905957406759262
"statlog-landsat",2,256,"rect",0.01,0.907000064849854,0.905531883239746
"statlog-landsat",4,1024,"rect",0.01,0.904500067234039,0.905319088697433
"statlog-landsat",3,512,"rect",0.01,0.89900004863739,0.902340364456177
"statlog-landsat",4,1024,"cone",0.01,0.898000121116638,0.901276534795761
"statlog-landsat",2,1024,"rect",0.01,0.892500102519989,0.899999964237213
"statlog-landsat",2,1024,"cone",0.01,0.904500067234039,0.897659528255463
"statlog-landsat",4,512,"rect",0.01,0.891000092029572,0.896595686674118
"statlog-landsat",2,256,"rect",0.1,0.897499978542328,0.896170175075531
"statlog-landsat",4,256,"rect",0.01,0.899000108242035,0.895744639635086
"statlog-landsat",3,512,"cone",0.01,0.900500118732452,0.894680804014206
"statlog-landsat",2,512,"cone",0.1,0.884500026702881,0.894255274534225
"statlog-landsat",4,512,"cone",0.01,0.896500051021576,0.893616986274719
"statlog-landsat",2,1024,"cone",0.1,0.90149998664856,0.892127639055252
"statlog-landsat",3,256,"rect",0.1,0.893000066280365,0.889148926734924
"statlog-landsat",3,1024,"cone",0.1,0.894000053405762,0.888297843933105
"statlog-landsat",2,256,"cone",0.1,0.892500042915344,0.888297820091248
"statlog-landsat",4,256,"cone",0.01,0.889500081539154,0.886595720052719
"statlog-landsat",2,1024,"rect",0.1,0.894000053405762,0.886170202493668
"statlog-landsat",2,512,"cone",0.01,0.891500055789948,0.884893572330475
"statlog-landsat",3,1024,"cone",0.01,0.892000019550323,0.883404219150543
"statlog-landsat",3,512,"cone",0.1,0.865000128746033,0.879148918390274
"statlog-landsat",8,1024,"cone",0.01,0.86350005865097,0.87659569978714
"statlog-landsat",3,256,"cone",0.1,0.858000040054321,0.870638233423233
"statlog-landsat",2,512,"rect",0.1,0.875500023365021,0.849787223339081
"statlog-landsat",8,512,"cone",0.01,0.820500075817108,0.823191452026367
"statlog-landsat",32,256,"rect",0.01,0.234999984502792,0.223404234647751
"statlog-landsat",8,256,"cone",0.01,0.234999984502792,0.223404228687286
"statlog-landsat",4,512,"rect",1,0.234999984502792,0.222127640247345
"statlog-landsat",8,1024,"rect",1,0.230499997735023,0.221702113747597
