"dataset","layerForm","testAccuracy","valAccuracy","nhidden","nlayers","learningrate"
"statlog-shuttle","rect",0.998828113079071,0.999086505174637,256,2,0.01
"statlog-shuttle","cone",0.998621225357056,0.999063670635223,1024,2,0.01
"statlog-shuttle","rect",0.998759150505066,0.999063664674759,512,4,0.01
"statlog-shuttle","cone",0.998828113079071,0.998972308635712,256,3,0.01
"statlog-shuttle","cone",0.998828113079071,0.998926657438278,512,2,0.01
"statlog-shuttle","cone",0.998759150505066,0.998721146583557,256,3,0.1
"statlog-shuttle","cone",0.998621225357056,0.998698300123215,512,2,0.1
"statlog-shuttle","rect",0.998759150505066,0.998675459623337,256,3,0.01
"statlog-shuttle","rect",0.998759150505066,0.998606950044632,512,2,0.01
"statlog-shuttle","rect",0.997448861598969,0.998584121465683,1024,2,0.1
"statlog-shuttle","rect",0.99841433763504,0.99846995472908,1024,2,0.01
"statlog-shuttle","rect",0.999103963375092,0.998378598690033,512,2,0.1
"statlog-shuttle","rect",0.998690187931061,0.998355758190155,256,3,0.1
"statlog-shuttle","rect",0.998690187931061,0.998355746269226,256,2,0.1
"statlog-shuttle","rect",0.998483300209045,0.998332959413528,1024,4,0.01
"statlog-shuttle","cone",0.997724711894989,0.998195916414261,512,4,0.1
"statlog-shuttle","cone",0.99827641248703,0.998173069953918,1024,8,0.01
"statlog-shuttle","cone",0.998690187931061,0.998036056756973,1024,3,0.01
"statlog-shuttle","rect",0.99827641248703,0.997899061441421,256,4,0.01
"statlog-shuttle","cone",0.998759150505066,0.997807723283768,256,2,0.1
"statlog-shuttle","cone",0.998621225357056,0.997807705402374,256,2,0.01
"statlog-shuttle","rect",0.999035000801086,0.997739201784134,512,3,0.01
"statlog-shuttle","cone",0.997517824172974,0.997739183902741,512,4,0.01
"statlog-shuttle","cone",0.998345375061035,0.997693508863449,256,4,0.01
"statlog-shuttle","rect",0.996000587940216,0.99762499332428,1024,8,0.01
"statlog-shuttle","cone",0.997655749320984,0.997510832548141,512,8,0.01
"statlog-shuttle","cone",0.997104048728943,0.997282463312149,1024,3,0.1
"statlog-shuttle","cone",0.997862637042999,0.997236788272858,1024,4,0.01
"statlog-shuttle","rect",0.998207449913025,0.997008430957794,1024,3,0.01
"statlog-shuttle","cone",0.997586786746979,0.996917068958282,1024,2,0.1
"statlog-shuttle","cone",0.996759235858917,0.996551710367203,512,3,0.1
"statlog-shuttle","cone",0.996828198432922,0.996346199512482,512,3,0.01
"statlog-shuttle","cone",0.994897186756134,0.994313758611679,256,8,0.01
"statlog-shuttle","cone",0.791586399078369,0.784882462024689,1024,8,1
"statlog-shuttle","cone",0.791586458683014,0.784882462024689,512,8,1
"statlog-shuttle","cone",0.791586518287659,0.78488245010376,256,32,0.01
"statlog-shuttle","cone",0.791586458683014,0.78488245010376,1024,8,0.1
"statlog-shuttle","cone",0.791586458683014,0.78488245010376,256,4,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882444143295,256,32,1
"statlog-shuttle","cone",0.791586458683014,0.784882444143295,256,16,1
"statlog-shuttle","cone",0.791586458683014,0.784882438182831,1024,16,0.01
"statlog-shuttle","rect",0.791586458683014,0.784882438182831,512,16,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882438182831,256,8,0.1
"statlog-shuttle","cone",0.791586518287659,0.784882438182831,1024,4,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882438182831,512,4,0.1
"statlog-shuttle","rect",0.791586518287659,0.784882438182831,1024,4,1
"statlog-shuttle","rect",0.791586399078369,0.784882438182831,512,2,1
"statlog-shuttle","rect",0.791586399078369,0.784882438182831,256,2,1
"statlog-shuttle","rect",0.791586518287659,0.784882438182831,1024,32,0.01
"statlog-shuttle","cone",0.791586458683014,0.784882438182831,512,16,0.01
"statlog-shuttle","cone",0.791586518287659,0.784882438182831,512,16,1
"statlog-shuttle","rect",0.791586518287659,0.784882438182831,512,16,1
"statlog-shuttle","rect",0.791586518287659,0.784882438182831,512,8,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882438182831,512,8,1
"statlog-shuttle","rect",0.791586399078369,0.784882438182831,256,8,1
"statlog-shuttle","cone",0.791586518287659,0.784882438182831,512,4,1
