"dataset","learningrate","nlayers","nhidden","testAccuracy","valAccuracy","layerForm"
"steel-plates",0.01,3,1024,0.785567045211792,0.775000029802323,"rect"
"steel-plates",0.01,3,256,0.744329929351807,0.770625019073486,"cone"
"steel-plates",0.01,3,512,0.738144278526306,0.765625041723251,"rect"
"steel-plates",0.1,2,256,0.752577364444733,0.764375001192093,"rect"
"steel-plates",0.01,2,512,0.760824739933014,0.763125032186508,"rect"
"steel-plates",0.1,3,256,0.773195922374725,0.762500017881394,"rect"
"steel-plates",0.01,2,1024,0.762886583805084,0.762500011920929,"rect"
"steel-plates",0.01,2,512,0.76907217502594,0.761250025033951,"cone"
"steel-plates",0.01,3,512,0.750515460968018,0.761250007152557,"cone"
"steel-plates",0.1,2,512,0.756701111793518,0.759999996423721,"rect"
"steel-plates",0.1,3,256,0.723711371421814,0.759999984502792,"cone"
"steel-plates",0.1,2,256,0.738144338130951,0.758749997615814,"cone"
"steel-plates",0.01,3,256,0.711340248584747,0.756250011920929,"rect"
"steel-plates",0.01,2,256,0.760824739933014,0.752500015497208,"cone"
"steel-plates",0.01,4,512,0.756701052188873,0.748125010728836,"rect"
"steel-plates",0.01,2,1024,0.744329869747162,0.745625019073486,"cone"
"steel-plates",0.01,2,256,0.760824739933014,0.744374990463257,"rect"
"steel-plates",0.1,2,512,0.746391773223877,0.74375,"cone"
"steel-plates",0.01,8,1024,0.752577364444733,0.742500007152557,"cone"
"steel-plates",0.1,2,1024,0.742268025875092,0.741249984502792,"rect"
"steel-plates",0.01,8,256,0.752577304840088,0.740625023841858,"rect"
"steel-plates",0.1,2,1024,0.746391713619232,0.740625005960465,"cone"
"steel-plates",0.01,4,1024,0.740206182003021,0.740625,"rect"
"steel-plates",0.01,4,512,0.73402065038681,0.736875027418137,"cone"
"steel-plates",0.01,4,256,0.738144397735596,0.736875003576279,"rect"
"steel-plates",0.01,3,1024,0.719587564468384,0.735624998807907,"cone"
"steel-plates",0.1,3,1024,0.711340248584747,0.73500000834465,"cone"
"steel-plates",0.01,4,1024,0.738144397735596,0.734375023841858,"cone"
"steel-plates",0.01,8,512,0.729896903038025,0.733749985694885,"rect"
"steel-plates",0.1,4,512,0.668041288852692,0.728750014305115,"cone"
"steel-plates",0.01,8,256,0.73195880651474,0.710000014305115,"cone"
"steel-plates",0.1,3,512,0.727835059165955,0.708125007152557,"rect"
"steel-plates",0.1,3,1024,0.707216501235962,0.705624985694885,"rect"
"steel-plates",0.01,8,1024,0.686597943305969,0.699999988079071,"rect"
"steel-plates",0.01,32,256,0.352577358484268,0.337500005960464,"cone"
"steel-plates",0.1,32,512,0.352577328681946,0.337500005960464,"cone"
"steel-plates",1,32,1024,0.352577328681946,0.337500005960464,"cone"
"steel-plates",1,32,256,0.352577328681946,0.337500005960464,"cone"
"steel-plates",0.1,16,256,0.352577328681946,0.337500005960464,"rect"
"steel-plates",1,16,512,0.352577328681946,0.337500005960464,"rect"
"steel-plates",0.01,4,256,0.352577328681946,0.337500005960464,"cone"
"steel-plates",0.1,4,256,0.352577328681946,0.337500005960464,"cone"
"steel-plates",1,4,1024,0.352577358484268,0.337500005960464,"rect"
"steel-plates",0.1,3,512,0.352577328681946,0.337500005960464,"cone"
"steel-plates",1,3,1024,0.352577358484268,0.337500005960464,"cone"
"steel-plates",1,3,1024,0.352577358484268,0.337500005960464,"rect"
"steel-plates",1,3,512,0.352577328681946,0.337500005960464,"cone"
"steel-plates",1,2,1024,0.352577358484268,0.337500005960464,"rect"
"steel-plates",0.01,8,512,0.200000017881393,0.206249997019768,"cone"
"steel-plates",0.01,32,1024,0.0969072133302689,0.125,"cone"
