"dataset","nlayers","testAccuracy","nhidden","valAccuracy","layerForm","learningrate"
"synthetic-control",4,0.986666679382324,1024,1,"cone",0.01
"synthetic-control",2,0.986666798591614,512,1,"rect",0.01
"synthetic-control",2,0.993333458900452,256,1,"cone",0.01
"synthetic-control",2,0.993333339691162,512,1,"cone",0.1
"synthetic-control",3,0.979999959468842,512,0.997959184646606,"cone",0.1
"synthetic-control",2,1,256,0.997959184646606,"cone",0.1
"synthetic-control",2,1.00000011920929,256,0.989795923233032,"rect",0.1
"synthetic-control",2,0.986666679382324,1024,0.983673477172852,"cone",0.1
"synthetic-control",3,0.973333358764648,256,0.981632608175278,"rect",0.1
"synthetic-control",4,0.986666798591614,512,0.979591846466065,"cone",0.01
"synthetic-control",3,0.980000019073486,1024,0.979591846466065,"rect",0.01
"synthetic-control",3,0.973333299160004,512,0.979591846466065,"rect",0.01
"synthetic-control",3,0.993333339691162,256,0.979591846466065,"rect",0.01
"synthetic-control",2,0.986666679382324,512,0.979591846466065,"cone",0.01
"synthetic-control",2,0.993333458900452,512,0.979591846466065,"rect",0.1
"synthetic-control",2,0.973333358764648,1024,0.977551025152207,"rect",0.01
"synthetic-control",8,0.973333358764648,1024,0.975510144233704,"rect",0.01
"synthetic-control",2,0.973333358764648,1024,0.967346858978272,"rect",0.1
"synthetic-control",2,0.980000019073486,256,0.961224400997162,"rect",0.01
"synthetic-control",3,1.00000011920929,1024,0.959183633327484,"cone",0.01
"synthetic-control",2,0.993333458900452,1024,0.959183633327484,"cone",0.01
"synthetic-control",3,0.986666798591614,512,0.955101943016052,"cone",0.01
"synthetic-control",3,0.993333458900452,256,0.95306116938591,"cone",0.01
"synthetic-control",4,0.993333339691162,1024,0.946938705444336,"rect",0.01
"synthetic-control",4,0.973333358764648,512,0.938775420188904,"rect",0.01
"synthetic-control",4,0.960000038146973,256,0.938775420188904,"cone",0.01
"synthetic-control",4,0.980000019073486,256,0.904081559181213,"rect",0.01
"synthetic-control",3,0.919999957084656,1024,0.8857142329216,"cone",0.1
"synthetic-control",8,0.966666638851166,512,0.826530569791794,"cone",0.01
"synthetic-control",8,0.819999992847443,512,0.791836714744568,"rect",0.01
"synthetic-control",8,0.506666660308838,256,0.648979580402374,"cone",0.01
"synthetic-control",4,0.513333320617676,1024,0.555102014541626,"cone",0.1
"synthetic-control",32,0.166666656732559,1024,0.204081624746323,"cone",0.01
"synthetic-control",32,0.166666656732559,512,0.204081624746323,"cone",0.01
"synthetic-control",32,0.166666656732559,256,0.204081624746323,"rect",0.01
"synthetic-control",8,0.166666656732559,1024,0.204081624746323,"rect",0.1
"synthetic-control",4,0.166666656732559,512,0.204081624746323,"rect",0.1
"synthetic-control",4,0.166666656732559,256,0.204081624746323,"rect",0.1
"synthetic-control",3,0.166666656732559,1024,0.167346934974194,"rect",0.1
"synthetic-control",32,0.166666656732559,1024,0.16326530277729,"cone",0.1
"synthetic-control",16,0.166666656732559,256,0.16326530277729,"cone",0.01
"synthetic-control",8,0.166666656732559,1024,0.16326530277729,"cone",0.01
"synthetic-control",4,0.166666656732559,1024,0.16326530277729,"rect",0.1
"synthetic-control",32,0.166666656732559,512,0.157142853736877,"cone",1
"synthetic-control",4,0.166666656732559,256,0.157142852246761,"rect",1
"synthetic-control",4,0.166666656732559,512,0.148979586362839,"rect",1
"synthetic-control",3,0.166666656732559,256,0.144897954165936,"cone",1
"synthetic-control",8,0.166666656732559,256,0.144897954165936,"cone",1
"synthetic-control",3,0.166666656732559,512,0.142857141792774,"cone",1
"synthetic-control",8,0.166666656732559,512,0.142857134342194,"cone",0.1
"synthetic-control",16,0.166666656732559,1024,0.138775505125523,"cone",1
"synthetic-control",4,0.166666656732559,1024,0.136734691262245,"rect",1
"synthetic-control",4,0.166666656732559,256,0.130612245202065,"cone",0.1
"synthetic-control",4,0.166666656732559,512,0.126530613005161,"cone",0.1
"synthetic-control",3,0.166666656732559,256,0.126530613005161,"cone",0.1
"synthetic-control",8,0.166666656732559,256,0.124489796161652,"rect",0.01
"synthetic-control",3,0.166666656732559,512,0.124489796161652,"rect",0.1
"synthetic-control",32,0.166666656732559,1024,0.122448980808258,"rect",0.01
"synthetic-control",32,0.166666656732559,512,0.122448980808258,"rect",0.01
"synthetic-control",32,0.166666656732559,256,0.122448980808258,"cone",0.01
"synthetic-control",32,0.166666656732559,1024,0.122448980808258,"rect",0.1
"synthetic-control",32,0.166666656732559,512,0.122448980808258,"cone",0.1
"synthetic-control",32,0.166666656732559,512,0.122448980808258,"rect",0.1
"synthetic-control",32,0.166666656732559,256,0.122448980808258,"cone",0.1
"synthetic-control",32,0.166666656732559,256,0.122448980808258,"rect",0.1
"synthetic-control",32,0.166666656732559,1024,0.122448980808258,"cone",1
"synthetic-control",32,0.166666656732559,1024,0.122448980808258,"rect",1
"synthetic-control",32,0.166666656732559,512,0.122448980808258,"rect",1
"synthetic-control",32,0.166666656732559,256,0.122448980808258,"cone",1
"synthetic-control",32,0.166666656732559,256,0.122448980808258,"rect",1
"synthetic-control",16,0.166666656732559,1024,0.122448980808258,"cone",0.01
"synthetic-control",16,0.166666656732559,1024,0.122448980808258,"rect",0.01
"synthetic-control",16,0.166666656732559,512,0.122448980808258,"cone",0.01
"synthetic-control",16,0.166666656732559,512,0.122448980808258,"rect",0.01
"synthetic-control",16,0.166666656732559,256,0.122448980808258,"rect",0.01
"synthetic-control",16,0.166666656732559,1024,0.122448980808258,"cone",0.1
"synthetic-control",16,0.166666656732559,1024,0.122448980808258,"rect",0.1
"synthetic-control",16,0.166666656732559,512,0.122448980808258,"cone",0.1
"synthetic-control",16,0.166666656732559,512,0.122448980808258,"rect",0.1
"synthetic-control",16,0.166666656732559,256,0.122448980808258,"cone",0.1
"synthetic-control",16,0.166666656732559,256,0.122448980808258,"rect",0.1
"synthetic-control",16,0.166666656732559,1024,0.122448980808258,"rect",1
"synthetic-control",16,0.166666656732559,512,0.122448980808258,"cone",1
"synthetic-control",16,0.166666656732559,512,0.122448980808258,"rect",1
"synthetic-control",16,0.166666656732559,256,0.122448980808258,"cone",1
"synthetic-control",16,0.166666656732559,256,0.122448980808258,"rect",1
"synthetic-control",8,0.166666656732559,1024,0.122448980808258,"cone",0.1
"synthetic-control",8,0.166666656732559,512,0.122448980808258,"rect",0.1
"synthetic-control",8,0.166666656732559,256,0.122448980808258,"cone",0.1
"synthetic-control",8,0.166666656732559,256,0.122448980808258,"rect",0.1
"synthetic-control",8,0.166666656732559,1024,0.122448980808258,"cone",1
"synthetic-control",8,0.166666656732559,1024,0.122448980808258,"rect",1
"synthetic-control",8,0.166666656732559,512,0.122448980808258,"cone",1
"synthetic-control",8,0.166666656732559,512,0.122448980808258,"rect",1
"synthetic-control",8,0.166666656732559,256,0.122448980808258,"rect",1
"synthetic-control",4,0.166666656732559,1024,0.122448980808258,"cone",1
