"dataset","valAccuracy","testAccuracy","learningrate","nlayers","nhidden","layerForm"
"titanic",0.787730067968369,0.781818151473999,0.01,3,512,"rect"
"titanic",0.782822090387345,0.789090931415558,0.01,2,512,"cone"
"titanic",0.780368101596832,0.774545431137085,0.01,2,1024,"rect"
"titanic",0.77914109826088,0.778181850910187,0.01,3,1024,"rect"
"titanic",0.774846631288528,0.77454549074173,0.1,3,512,"cone"
"titanic",0.771779137849808,0.77454549074173,0.01,2,256,"rect"
"titanic",0.77116562128067,0.769090950489044,0.1,2,256,"rect"
"titanic",0.766871166229248,0.789090871810913,0.01,2,1024,"cone"
"titanic",0.76687114238739,0.789090931415558,0.01,4,1024,"rect"
"titanic",0.76564416885376,0.789090871810913,0.01,2,256,"cone"
"titanic",0.763803684711456,0.787272691726685,0.01,2,512,"rect"
"titanic",0.761963188648224,0.787272751331329,0.01,3,256,"rect"
"titanic",0.755214726924896,0.772727251052856,0.1,2,256,"cone"
"titanic",0.754601240158081,0.781818151473999,0.1,3,256,"cone"
"titanic",0.754601228237152,0.763636350631714,0.01,4,512,"rect"
"titanic",0.704294490814209,0.694545447826385,0.01,4,256,"rect"
"titanic",0.680981594324112,0.699999988079071,0.01,4,512,"cone"
"titanic",0.663190180063248,0.683636367321014,0.1,3,1024,"cone"
"titanic",0.659509187936783,0.689090967178345,0.1,2,1024,"rect"
"titanic",0.656441748142242,0.678181827068329,0.1,32,512,"cone"
"titanic",0.656441748142242,0.678181827068329,0.01,3,512,"cone"
"titanic",0.656441742181778,0.678181827068329,1,3,512,"cone"
"titanic",0.656441736221314,0.678181827068329,0.01,16,1024,"rect"
"titanic",0.656441736221314,0.678181827068329,1,4,1024,"cone"
"titanic",0.656441730260849,0.678181827068329,1,32,256,"rect"
"titanic",0.656441730260849,0.678181827068329,0.1,8,1024,"cone"
"titanic",0.656441730260849,0.678181827068329,0.1,4,1024,"cone"
"titanic",0.656441730260849,0.678181827068329,1,3,512,"rect"
"titanic",0.656441724300385,0.678181827068329,0.1,16,512,"cone"
"titanic",0.656441724300385,0.678181827068329,0.1,8,512,"cone"
"titanic",0.656441724300385,0.678181827068329,1,8,1024,"rect"
"titanic",0.656441724300385,0.678181827068329,1,4,256,"cone"
"titanic",0.656441724300385,0.678181827068329,1,3,256,"cone"
"titanic",0.656441724300385,0.678181827068329,0.1,2,1024,"cone"
"titanic",0.65644171833992,0.678181827068329,0.1,32,1024,"cone"
"titanic",0.65644171833992,0.678181827068329,1,32,512,"rect"
"titanic",0.65644171833992,0.678181827068329,1,32,256,"cone"
"titanic",0.65644171833992,0.678181827068329,0.01,16,512,"rect"
"titanic",0.65644171833992,0.678181827068329,0.1,16,512,"rect"
"titanic",0.65644171833992,0.678181827068329,0.1,16,256,"cone"
"titanic",0.65644171833992,0.678181827068329,1,16,1024,"cone"
"titanic",0.65644171833992,0.678181827068329,1,16,512,"rect"
"titanic",0.65644171833992,0.678181827068329,0.01,8,512,"rect"
"titanic",0.65644171833992,0.678181827068329,0.1,8,512,"rect"
"titanic",0.65644171833992,0.678181827068329,0.1,8,256,"rect"
"titanic",0.65644171833992,0.678181827068329,0.01,3,1024,"cone"
"titanic",0.65644171833992,0.678181827068329,0.1,3,1024,"rect"
"titanic",0.65644171833992,0.678181827068329,1,3,1024,"cone"
"titanic",0.65644171833992,0.678181827068329,1,2,512,"rect"
"titanic",0.656441712379456,0.678181827068329,0.01,32,1024,"cone"
"titanic",0.656441712379456,0.678181827068329,0.01,32,512,"rect"
"titanic",0.656441712379456,0.678181827068329,0.01,32,256,"rect"
"titanic",0.656441712379456,0.678181827068329,0.1,32,512,"rect"
"titanic",0.656441712379456,0.678181827068329,0.1,32,256,"rect"
"titanic",0.656441712379456,0.678181827068329,0.01,16,1024,"cone"
"titanic",0.656441712379456,0.678181827068329,0.01,16,512,"cone"
"titanic",0.656441712379456,0.678181827068329,0.01,16,256,"rect"
"titanic",0.656441712379456,0.678181827068329,0.1,16,1024,"rect"
"titanic",0.656441712379456,0.678181827068329,1,16,1024,"rect"
"titanic",0.656441712379456,0.678181827068329,1,16,256,"cone"
"titanic",0.656441712379456,0.678181827068329,1,16,256,"rect"
"titanic",0.656441712379456,0.678181827068329,0.01,8,1024,"rect"
"titanic",0.656441712379456,0.678181827068329,0.1,8,1024,"rect"
"titanic",0.656441712379456,0.678181827068329,1,8,512,"cone"
"titanic",0.656441712379456,0.678181827068329,1,8,512,"rect"
"titanic",0.656441712379456,0.678181827068329,1,8,256,"rect"
"titanic",0.656441712379456,0.678181827068329,0.1,4,1024,"rect"
"titanic",0.656441712379456,0.678181827068329,0.1,4,512,"cone"
"titanic",0.656441712379456,0.678181827068329,0.1,4,256,"rect"
"titanic",0.656441712379456,0.678181827068329,1,4,512,"rect"
"titanic",0.656441712379456,0.678181827068329,1,4,256,"rect"
"titanic",0.656441712379456,0.678181827068329,0.01,3,256,"cone"
"titanic",0.656441712379456,0.678181827068329,1,3,1024,"rect"
"titanic",0.656441712379456,0.678181827068329,1,2,1024,"cone"
"titanic",0.656441712379456,0.678181827068329,1,2,512,"cone"
"titanic",0.656441712379456,0.678181827068329,1,2,256,"rect"
"titanic",0.656441712379456,0.678181827068329,0.01,8,256,"rect"
"titanic",0.656441706418991,0.678181827068329,0.01,32,1024,"rect"
"titanic",0.656441706418991,0.678181827068329,0.01,32,256,"cone"
"titanic",0.656441706418991,0.678181827068329,0.1,32,1024,"rect"
"titanic",0.656441706418991,0.678181827068329,0.1,32,256,"cone"
"titanic",0.656441706418991,0.678181827068329,1,32,1024,"cone"
"titanic",0.656441706418991,0.678181827068329,1,32,1024,"rect"
"titanic",0.656441706418991,0.678181827068329,0.01,16,256,"cone"
"titanic",0.656441706418991,0.678181827068329,0.01,8,512,"cone"
"titanic",0.656441706418991,0.678181827068329,1,4,1024,"rect"
"titanic",0.656441706418991,0.678181827068329,1,4,512,"cone"
"titanic",0.656441706418991,0.678181827068329,0.1,2,512,"cone"
"titanic",0.656441706418991,0.678181827068329,1,2,1024,"rect"
"titanic",0.656441706418991,0.678181827068329,1,2,256,"cone"
"titanic",0.656441700458527,0.678181827068329,0.1,16,256,"rect"
"titanic",0.656441700458527,0.678181827068329,0.01,8,256,"cone"
"titanic",0.656441700458527,0.678181827068329,0.1,4,512,"rect"
"titanic",0.656441700458527,0.678181827068329,0.1,4,256,"cone"
"titanic",0.656441700458527,0.678181827068329,0.1,3,512,"rect"
"titanic",0.656441700458527,0.678181827068329,1,3,256,"rect"
"titanic",0.656441694498062,0.678181827068329,0.01,32,512,"cone"
"titanic",0.656441694498062,0.678181827068329,1,32,512,"cone"
"titanic",0.656441694498062,0.678181827068329,0.01,4,1024,"cone"
"titanic",0.656441694498062,0.678181827068329,0.1,3,256,"rect"
"titanic",0.656441694498062,0.678181827068329,0.1,2,512,"rect"
"titanic",0.656441688537598,0.678181827068329,0.1,16,1024,"cone"
"titanic",0.656441688537598,0.678181827068329,1,16,512,"cone"
"titanic",0.656441688537598,0.678181827068329,0.01,8,1024,"cone"
"titanic",0.656441688537598,0.678181827068329,0.1,8,256,"cone"
"titanic",0.656441688537598,0.678181827068329,1,8,1024,"cone"
"titanic",0.656441688537598,0.678181827068329,1,8,256,"cone"
"titanic",0.656441688537598,0.678181827068329,0.01,4,256,"cone"
