"dataset","testAccuracy","nlayers","learningrate","nhidden","layerForm","valAccuracy"
"vertebral-column-3clases",0.74025970697403,2,0.01,512,"cone",0.910714322328568
"vertebral-column-3clases",0.805194795131683,3,0.1,512,"cone",0.889285749197006
"vertebral-column-3clases",0.831168830394745,2,0.01,256,"cone",0.878571486473084
"vertebral-column-3clases",0.818181812763214,3,0.01,1024,"cone",0.878571486473084
"vertebral-column-3clases",0.831168830394745,3,0.01,256,"rect",0.878571486473084
"vertebral-column-3clases",0.805194795131683,2,0.01,256,"rect",0.878571486473084
"vertebral-column-3clases",0.792207777500153,3,0.01,512,"rect",0.875000035762787
"vertebral-column-3clases",0.831168830394745,2,0.1,256,"cone",0.871428626775742
"vertebral-column-3clases",0.844155848026276,2,0.01,1024,"rect",0.853571474552155
"vertebral-column-3clases",0.766233742237091,2,0.1,1024,"cone",0.846428632736206
"vertebral-column-3clases",0.740259766578674,4,0.01,256,"rect",0.839285778999329
"vertebral-column-3clases",0.766233742237091,3,0.1,256,"rect",0.828571492433548
"vertebral-column-3clases",0.740259766578674,3,0.1,1024,"cone",0.81071429848671
"vertebral-column-3clases",0.779220759868622,2,0.01,1024,"cone",0.807142895460129
"vertebral-column-3clases",0.766233801841736,2,0.1,512,"cone",0.800000059604645
"vertebral-column-3clases",0.779220759868622,3,0.01,512,"cone",0.800000011920929
"vertebral-column-3clases",0.753246784210205,3,0.1,256,"cone",0.796428602933884
"vertebral-column-3clases",0.779220759868622,2,0.1,256,"rect",0.792857176065445
"vertebral-column-3clases",0.844155848026276,2,0.01,512,"rect",0.792857146263123
"vertebral-column-3clases",0.805194795131683,4,0.01,1024,"rect",0.789285731315613
"vertebral-column-3clases",0.818181812763214,3,0.01,256,"cone",0.789285719394684
"vertebral-column-3clases",0.753246784210205,4,0.01,256,"cone",0.782142895460129
"vertebral-column-3clases",0.727272748947144,4,0.01,1024,"cone",0.760714310407639
"vertebral-column-3clases",0.75324672460556,4,0.1,256,"cone",0.732142889499664
"vertebral-column-3clases",0.675324678421021,2,0.1,512,"rect",0.714285731315613
"vertebral-column-3clases",0.779220759868622,3,0.01,1024,"rect",0.667857176065445
"vertebral-column-3clases",0.636363625526428,4,0.1,512,"cone",0.657142901420593
"vertebral-column-3clases",0.727272689342499,4,0.01,512,"rect",0.646428602933884
"vertebral-column-3clases",0.480519473552704,3,0.1,512,"rect",0.528571456670761
"vertebral-column-3clases",0.480519473552704,2,0.1,1024,"rect",0.482142865657807
"vertebral-column-3clases",0.324675321578979,32,0.01,512,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,32,0.01,256,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,32,0.1,256,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,32,1,512,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,32,1,256,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,16,0.1,1024,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,16,0.1,512,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,16,0.1,512,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,16,0.1,256,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,16,1,512,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,16,1,256,"cone",0.428571462631226
"vertebral-column-3clases",0.324675321578979,8,0.01,1024,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,8,0.01,512,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,8,0.01,256,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,8,0.1,1024,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,8,0.1,512,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,8,0.1,256,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,8,1,1024,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,4,0.01,512,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,4,0.1,1024,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,4,0.1,1024,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,4,0.1,512,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,4,1,1024,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,4,1,512,"cone",0.428571462631226
"vertebral-column-3clases",0.480519473552704,3,1,1024,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,3,1,512,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,3,1,256,"rect",0.428571462631226
"vertebral-column-3clases",0.480519473552704,2,1,256,"cone",0.428571462631226
"vertebral-column-3clases",0.194805204868317,2,1,512,"cone",0.182142865657806
"vertebral-column-3clases",0.194805204868317,8,0.01,512,"rect",0.171428580582142
"vertebral-column-3clases",0.194805204868317,3,1,256,"cone",0.171428580582142
"vertebral-column-3clases",0.194805204868317,2,1,256,"rect",0.171428580582142
"vertebral-column-3clases",0.194805204868317,32,0.01,1024,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.01,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.01,512,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.01,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.1,1024,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.1,512,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.1,512,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,0.1,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,1,1024,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,32,1,512,"rect",0.142857149243355
