"dataset","learningrate","valAccuracy","layerForm","nhidden","nlayers","testAccuracy"
"waveform-noise",0.1,0.870976305007935,"cone",1024,2,0.863999903202057
"waveform-noise",0.1,0.868601620197296,"rect",256,2,0.858399987220764
"waveform-noise",0.01,0.867282330989838,"cone",256,4,0.851999938488007
"waveform-noise",0.1,0.866490828990936,"rect",1024,3,0.849599957466125
"waveform-noise",0.1,0.866490799188614,"rect",256,4,0.861599922180176
"waveform-noise",0.01,0.86358842253685,"cone",512,4,0.84879994392395
"waveform-noise",0.1,0.863324582576752,"cone",512,2,0.854399919509888
"waveform-noise",0.1,0.860158336162567,"rect",512,2,0.856799960136414
"waveform-noise",0.1,0.859894514083862,"cone",256,4,0.87119996547699
"waveform-noise",0.1,0.859894490242004,"cone",512,3,0.835999965667725
"waveform-noise",0.01,0.859630626440048,"cone",256,3,0.844799935817719
"waveform-noise",0.01,0.858047550916672,"rect",1024,2,0.842400014400482
"waveform-noise",0.01,0.857783710956574,"cone",256,2,0.852799952030182
"waveform-noise",0.1,0.856992149353027,"cone",256,2,0.860799968242645
"waveform-noise",0.01,0.856200575828552,"rect",512,8,0.867199957370758
"waveform-noise",0.1,0.855409026145935,"cone",1024,4,0.839999914169312
"waveform-noise",0.01,0.855409008264542,"cone",1024,4,0.808799922466278
"waveform-noise",0.01,0.854353624582291,"rect",256,8,0.84960001707077
"waveform-noise",0.01,0.854353606700897,"rect",1024,8,0.856800019741058
"waveform-noise",0.1,0.854353588819504,"cone",256,3,0.855199933052063
"waveform-noise",0.01,0.854089796543122,"cone",1024,2,0.851199924945831
"waveform-noise",0.1,0.854089742898941,"rect",256,3,0.856800019741058
"waveform-noise",0.01,0.854089713096619,"rect",1024,3,0.844799935817719
"waveform-noise",0.01,0.85382587313652,"cone",1024,3,0.824000000953674
"waveform-noise",0.01,0.853298187255859,"rect",512,3,0.841599941253662
"waveform-noise",0.1,0.852506619691849,"rect",512,3,0.862399995326996
"waveform-noise",0.01,0.849868112802506,"rect",512,2,0.849599957466125
"waveform-noise",0.01,0.849604225158691,"rect",1024,4,0.85999995470047
"waveform-noise",0.01,0.849340426921845,"rect",256,2,0.842399954795837
"waveform-noise",0.1,0.847757321596146,"rect",1024,2,0.8367999792099
"waveform-noise",0.01,0.845910322666168,"cone",512,3,0.8367999792099
"waveform-noise",0.01,0.844327211380005,"cone",512,2,0.855999886989594
"waveform-noise",0.01,0.843007934093476,"rect",512,4,0.84879994392395
"waveform-noise",0.1,0.841688704490662,"cone",1024,3,0.833599984645844
"waveform-noise",0.01,0.841688656806946,"rect",256,4,0.839999914169312
"waveform-noise",0.01,0.840897125005722,"cone",1024,8,0.855999946594238
"waveform-noise",0.01,0.826385235786438,"rect",256,3,0.855199933052063
"waveform-noise",0.1,0.354881286621094,"cone",512,4,0.465599954128265
"waveform-noise",0.01,0.33509236574173,"cone",256,32,0.330399990081787
"waveform-noise",0.01,0.33509236574173,"cone",1024,16,0.330399990081787
"waveform-noise",0.01,0.33509236574173,"cone",512,8,0.330399990081787
"waveform-noise",1,0.334036949276924,"cone",256,16,0.330399960279465
"waveform-noise",1,0.33403694331646,"cone",512,8,0.339199960231781
"waveform-noise",1,0.333509254455566,"rect",1024,4,0.339199960231781
"waveform-noise",1,0.333509254455566,"cone",256,2,0.330399990081787
"waveform-noise",1,0.333509251475334,"cone",256,8,0.339199960231781
"waveform-noise",1,0.33298154771328,"cone",512,32,0.339199990034103
"waveform-noise",1,0.332981544733048,"rect",256,3,0.330399990081787
"waveform-noise",1,0.332981541752815,"cone",1024,32,0.339199990034103
"waveform-noise",1,0.332981541752815,"rect",512,16,0.330399990081787
"waveform-noise",1,0.332981538772583,"cone",1024,3,0.330400019884109
"waveform-noise",0.1,0.331926143169403,"rect",512,16,0.339199990034103
"waveform-noise",0.1,0.331926143169403,"rect",1024,4,0.339199990034103
"waveform-noise",0.1,0.331926140189171,"cone",256,8,0.339199960231781
"waveform-noise",0.1,0.331926131248474,"cone",1024,16,0.339199960231781
"waveform-noise",0.01,0.331398439407349,"cone",1024,32,0.330399990081787
"waveform-noise",0.1,0.331398439407349,"cone",256,32,0.339199960231781
"waveform-noise",0.1,0.330343028903007,"cone",1024,32,0.339199960231781
"waveform-noise",0.01,0.329815328121185,"rect",1024,32,0.339199960231781
"waveform-noise",0.01,0.329815328121185,"cone",512,32,0.339199990034103
"waveform-noise",0.01,0.329815328121185,"rect",512,32,0.339199960231781
"waveform-noise",0.01,0.329815328121185,"rect",256,32,0.339199960231781
"waveform-noise",0.1,0.329815328121185,"rect",1024,32,0.339199960231781
"waveform-noise",0.1,0.329815328121185,"cone",512,32,0.339199990034103
"waveform-noise",0.1,0.329815328121185,"rect",512,32,0.339199960231781
"waveform-noise",0.1,0.329815328121185,"rect",256,32,0.339199990034103
"waveform-noise",1,0.329815328121185,"rect",1024,32,0.339199990034103
"waveform-noise",1,0.329815328121185,"rect",512,32,0.339199990034103
"waveform-noise",1,0.329815328121185,"cone",256,32,0.339200019836426
